Bee number,Subspecies,Hive,Task,Flying
001,Ca,26,PF,F
002,Ca,26,PF,F
003,Ca,26,PF,T
004,Ca,26,PF,F
005,Ca,26,PF,F
006,Ca,26,PF,F
007,Ca,22,PF,T
008,Ca,26,PF,T
009,Ca,26,PF,T
010,Ca,22,PF,T
011,Ca,22,PF,T
012,Ca,22,PF,T
013,Ca,26,PF,T
014,Ca,26,PF,T
015,Ca,22,PF,T
016,Ca,22,PF,F
017,Ca,22,PF,F
018,Ca,22,PF,F
019,Ca,22,PF,F
020,Ca,22,PF,F
021,Ib,36,PF,F
022,Ib,36,PF,T
023,Ib,34,PF,F
024,Ib,36,PF,F
025,Ib,36,PF,F
026,Ib,36,PF,F
027,Ib,36,PF,T
028,Ib,34,PF,T
029,Ib,34,PF,T
030,Ib,34,PF,T
031,Ib,34,PF,F
032,Ib,34,PF,F
033,Ib,34,PF,T
034,Ib,34,PF,F
035,Ib,34,PF,F
036,Ib,36,PF,F
037,Ib,34,PF,T
038,Ib,36,PF,T
039,Ib,36,PF,T
040,Ib,36,PF,T
