#Peaks: + TIC Scan - DR_Fly_029_2.D (DR_Fly_029_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.501,6041.16,3178.67,,,0.05,0.1,,
2,5.011,22981.07,6033.9,,,0.138,0.043,,
3,6.507,14242.95,3057.85,,,0.164,0.07,,
4,7.28,44782.38,12548.78,,,0.19,0.047,,
5,8.245,14096.56,2337.59,,,0.2,0.565,,
6,8.604,88182.84,20186.69,,,0.192,0.072,,
7,9.059,161452.48,38753.62,,,0.24,0.055,,
8,9.817,38436.27,12148.77,,,0.153,0.043,,
9,11.527,41699.46,9971.17,,,0.207,0.053,,
10,12.196,4913.59,1941.59,,,0.083,0.046,,
11,13.03,361039.3,128315.76,,,0.143,0.044,,
12,13.989,20329.34,4972.14,,,0.138,0.069,,
13,14.513,2690.14,1754.33,,,0.058,0.109,,
14,14.699,7713.45,3053.34,,,0.08,0.044,,
15,14.94,10388.72,3032.72,,,0.124,0.071,,
16,16.044,11052.9,3319.22,,,0.124,0.054,,
17,16.34,26240.06,9390.67,,,0.106,0.045,,
18,17.112,41402.17,16075.77,,,0.12,0.038,,
19,17.25,144443.37,53414.47,,,0.123,0.043,,
20,18.085,4453.52,2129.39,,,0.069,0.259,,
21,18.664,16397.27,5914.4,,,0.103,0.04,,
22,19.416,10193.22,3428.86,,,0.097,0.046,,
23,19.705,15721.49,5985.85,,,0.111,0.042,,
24,20.381,14353.26,6894.84,,,0.077,0.033,,
25,20.96,37869.7,12970.16,,,0.105,0.047,,
26,21.091,109289.21,27362.05,,,0.144,0.064,,
27,21.608,588643.56,229649.23,,,0.131,0.04,,
28,21.877,42043.39,15982.67,,,0.087,0.041,,
29,21.939,26138.12,9509.11,,,0.101,0.064,,
30,22.587,7283.81,3398.11,,,0.067,0.039,,
31,22.932,21886.74,4881.67,,,0.202,0.078,,
32,23.346,2884.44,1865.02,,,0.055,0.072,,
33,23.739,5856568.08,1924746.66,,,0.217,0.048,,
34,24.056,29352.96,11529.84,,,0.086,0.04,,
35,24.435,9732.49,4353.26,,,0.072,0.036,,
36,24.504,14155.71,6158.32,,,0.068,0.037,,
37,24.628,10484.1,4709.87,,,0.085,0.037,,
38,24.732,4381.29,2392.99,,,0.07,0.032,,
39,25.049,22946.45,5431.83,,,0.13,0.082,,
40,25.18,81762.78,25065.72,,,0.179,0.046,,
41,25.332,14204.32,5004.38,,,0.085,0.052,,
42,25.594,64845.86,17636.18,,,0.096,0.074,,
43,25.814,64776993.88,12665955.42,,,0.317,0.082,,
44,26.111,204809.76,61622.94,,,0.172,0.052,,
45,26.242,6740.54,3932.76,,,0.073,0.031,,
46,27.028,1915232.9,479431.02,,,0.214,0.055,,
47,27.276,117528.89,44186.22,,,0.098,0.041,,
48,27.614,4024549.95,1425259.13,,,0.13,0.044,,
49,27.69,285409.71,87241.38,,,0.136,0.05,,
50,28,737346.56,274805.26,,,0.13,0.042,,
51,28.124,48613.08,16915.76,,,0.107,0.045,,
52,28.421,254755.13,82641.3,,,0.152,0.048,,
53,28.828,42087.74,15730.28,,,0.086,0.045,,
54,28.938,313609.24,106062,,,0.131,0.047,,
55,29.173,10493983.4,3258510.32,,,0.248,0.05,,
56,29.504,34761071.03,7642515.05,,,0.2,0.073,,
57,29.593,5938673.73,1427192.9,,,0.131,0.067,,
58,29.704,559467.31,206630.43,,,0.122,0.041,,
59,29.855,13964.4,7726.59,,,0.061,0.027,,
60,30.428,27836179.82,2778732.79,,,0.518,0.145,,
61,30.662,669428.15,131572.29,,,0.103,0.117,,
62,30.793,2633038.23,781670.96,,,0.159,0.047,,
63,30.952,541930.33,153209.28,,,0.214,0.048,,
64,31.179,1485140.61,520787.79,,,0.129,0.045,,
65,31.551,690490.04,218579.09,,,0.152,0.044,,
66,31.724,429296.78,145660.2,,,0.128,0.045,,
67,31.979,69728.87,24129.2,,,0.102,0.045,,
68,32.324,620540.42,186715.7,,,0.117,0.054,,
69,32.427,2560019.44,726709.03,,,0.09,0.058,,
70,32.558,16075817.52,4265911.7,,,0.179,0.05,,
71,32.662,880292.13,231208.02,,,0.117,0.061,,
72,32.903,19599480.84,5531849.12,,,0.193,0.056,,
73,33.02,348623.61,97429.62,,,0.179,0.046,,
74,33.289,7658260.32,2431474.87,,,0.172,0.049,,
75,33.427,524509.17,149856.57,,,0.136,0.054,,
76,34.179,35074870.59,5290197.13,,,0.379,0.082,,
77,34.461,769971.45,259128.56,,,0.124,0.045,,
78,34.778,2672125.33,821326.62,,,0.13,0.051,,
79,34.916,5147578.64,1262651.14,,,0.172,0.061,,
80,35.075,1890197.02,588868.38,,,0.144,0.049,,
81,35.213,33031.17,14478.87,,,0.072,0.035,,
82,35.351,782326.36,204692.39,,,0.186,0.057,,
83,35.806,102769955.05,13795880.33,,,0.4,0.116,,
84,36.082,24266801.02,5819806.35,,,0.248,0.059,,
85,36.247,788702.75,156578.17,,,0.11,0.124,,
86,36.454,25610328.78,5828285.41,,,0.276,0.065,,
87,36.647,1108993.73,335995.54,,,0.124,0.048,,
88,36.895,1489536.22,205174.25,,,0.303,0.089,,
89,37.344,94689202.63,12493022.2,,,0.414,0.12,,
90,37.537,2149031.74,459195.85,,,0.234,0.064,,
91,38.309,172424828.75,22668476.86,,,0.407,0.12,,
92,38.412,672927.38,216379.71,,,0.055,0.076,,
93,38.481,921669.88,286749.75,,,0.083,0.07,,
94,38.73,30106453.33,5737760.75,,,0.31,0.074,,
95,39.033,30999315.16,7278263.22,,,0.268,0.068,,
96,39.205,102588.83,35877.1,,,0.131,0.042,,
97,39.419,613688.69,118686.89,,,0.2,0.086,,
98,39.764,76480.25,21799,,,0.102,0.073,,
99,39.867,27186.14,14713.09,,,0.062,0.033,,
100,40.081,5758908.07,1533423,,,0.131,0.079,,
101,40.15,3217838.21,950362,,,0.103,0.053,,
102,40.267,799115.61,243090,,,0.076,0.073,,
103,40.336,816549.13,266191.37,,,0.095,0.065,,
104,40.44,77999.1,19936.15,,,0.122,0.065,,
105,40.757,819967.82,286346.4,,,0.118,0.045,,
106,41.364,1542891.06,403551.83,,,0.145,0.069,,
107,41.433,1758204.12,560399.83,,,0.062,0.076,,
108,41.481,3343417.64,617371.5,,,0.166,0.088,,
109,41.708,10287640.17,3195099.5,,,0.139,0.05,,
110,41.901,64610.36,20454.72,,,0.108,0.057,,
111,42.088,262172.64,71339.14,,,0.129,0.059,,
112,42.322,429991.91,137583.02,,,0.114,0.05,,
113,42.453,25339.88,9794.08,,,0.08,0.053,,
114,42.894,16815302.52,4160326.6,,,0.193,0.058,,
115,42.977,2182356.72,533214.18,,,0.262,0.069,,
116,43.66,518432.93,156177.03,,,0.092,0.066,,
117,43.743,878102.97,223438.49,,,0.11,0.067,,
118,43.915,14492524.37,3874420.82,,,0.179,0.055,,
119,44.046,2199255.9,611964.46,,,0.076,0.075,,
120,44.149,16641290.57,3659622.72,,,0.138,0.069,,
121,44.239,5112739.06,1294253.03,,,0.247,0.062,,
122,44.694,714490.67,232804.17,,,0.126,0.048,,
123,45.384,9488681.24,2567024.09,,S,0.128,0.075,,
124,45.466,21124383.94,4903448.41,,,0.234,0.069,,
125,45.784,1202513.89,365598.08,,,0.147,0.051,,
126,46.128,465963.79,123126.37,,,0.179,0.055,,
127,46.377,1744168.96,442329.11,,,0.172,0.061,,
128,46.542,40452394.51,7688905.95,,,0.262,0.085,,
129,46.825,326935.32,69897.47,,,0.179,0.078,,
130,47.025,136830.7,36586.09,,,0.117,0.058,,
131,47.149,109464.2,30704.96,,,0.123,0.054,,
132,47.294,47878.93,22344.5,,,0.086,0.034,,
133,47.804,4639728.32,873090.33,,,0.352,0.061,,
134,48.356,27661.33,11188.64,,,0.074,0.053,,
135,48.597,872468.9,258873.35,,,0.122,0.052,,
136,48.687,88399.67,33118.84,,,0.069,0.04,,
137,48.907,347686.09,87657.26,,,0.159,0.058,,
138,50.141,107847.08,18369.15,,,0.207,0.115,,
139,50.817,208564.59,19783.95,,,0.303,0.198,,
140,51.376,94760.27,12832.93,,,0.296,0.485,,
141,52.189,72734.56,15821.57,,,0.138,0.085,,
142,52.486,67915.54,13170.48,,,0.135,0.126,,
143,53.189,61405.7,11108.77,,,0.193,0.511,,
144,54.761,68750.01,9796.37,,,0.228,0.811,,
145,55.892,152278.3,22501.21,,,0.214,0.12,,
146,56.451,6186717.63,818691.03,,,0.428,0.116,,

