#Peaks: + TIC Scan - DR_Fly_036.D (DR_Fly_036.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,5.011,96542.21,20983.12,,,0.262,0.06,,
2,6.514,22569.57,6117.96,,,0.109,0.073,,
3,6.611,39673.75,8837.84,,,0.2,0.112,,
4,7.045,23799.1,3714.15,,,0.2,0.146,,
5,7.273,471636.64,121087.88,,,0.255,0.048,,
6,8.604,13439.01,2609.07,,,0.159,1.177,,
7,9.038,66437.91,14969.03,,,0.214,0.062,,
8,9.81,151160.02,45560.97,,,0.2,0.046,,
9,11.258,14737.24,5273.2,,,0.099,0.05,,
10,11.576,265862.21,69816.61,,,0.205,0.053,,
11,12.196,17660.48,6280.07,,,0.083,0.044,,
12,12.417,13297.63,3769.5,,,0.124,0.049,,
13,12.886,8247.7,2861.92,,,0.103,0.181,,
14,13.044,21476.93,6911.78,,,0.111,0.048,,
15,13.837,13638.1,4514.54,,,0.112,0.05,,
16,13.989,52982.42,16491.04,,,0.179,0.043,,
17,14.706,10053.8,3619.06,,,0.117,0.579,,
18,14.954,17850.08,6737.96,,,0.093,0.043,,
19,15.196,26718.09,8737.61,,,0.121,0.051,,
20,16.03,1794.07,1345.24,,,0.041,0.524,,
21,16.223,10027.26,3687.62,,,0.09,0.041,,
22,16.657,5639.04,2765.98,,,0.063,0.034,,
23,17.119,59174.9,23387.82,,,0.103,0.038,,
24,17.25,32315.55,12228.57,,,0.098,0.041,,
25,17.388,7521.87,3669.58,,,0.062,0.041,,
26,17.506,4421.06,2561.84,,,0.068,0.025,,
27,18.664,5703.24,1734.81,,,0.11,0.044,,
28,19.402,14060.38,4943.46,,,0.09,0.039,,
29,19.719,59499.69,22843.75,,,0.107,0.04,,
30,19.891,1032.56,1390.43,,,0.026,0.02,,
31,20.147,15392.21,4290,,,0.138,0.048,,
32,20.54,18855.63,7285.49,,,0.075,0.043,,
33,20.615,20939.76,7957.82,,,0.089,0.042,,
34,20.96,14054.01,5466.35,,,0.088,0.043,,
