#Peaks: + TIC Scan - STDH_SSL_2208_2.D (STDH_SSL_2208_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.26,3996.71,4575.9,,,0.028,0.015,,
2,4.322,118030.64,86285.66,,,0.076,0.02,,
3,4.37,10524.19,7701.96,,,0.041,0.022,,
4,4.708,109738.78,64809.49,,,0.106,0.023,,
5,4.832,347776.95,155548.65,,,0.097,0.035,,
6,4.922,84565.98,44836.21,,,0.103,0.026,,
7,5.018,7429.12,3994.89,,,0.069,0.066,,
8,5.108,32453.76,18495.01,,,0.095,0.026,,
9,5.246,9688.77,4388.01,,,0.068,0.043,,
10,5.335,408640.1,203728.7,,,0.12,0.029,,
11,5.852,10458.67,6181.87,,,0.067,0.03,,
12,5.956,6642.33,4072.42,,,0.062,0.027,,
13,6.018,16072.01,8739.34,,,0.056,0.029,,
14,6.108,120279.75,58802.38,,,0.128,0.031,,
15,6.473,6209.56,2840.78,,,0.068,0.042,,
16,6.535,3894.6,2912.25,,,0.044,0.024,,
17,6.956,3908.75,1848.87,,,0.064,0.037,,
18,7.128,7597.14,3198.54,,,0.083,0.138,,
19,7.376,18650.15,6127.08,,,0.122,0.033,,
20,7.507,23031.97,9794.52,,,0.099,0.034,,
21,7.99,216822.57,77461.89,,,0.209,0.035,,
22,8.707,363036.75,150791.04,,,0.121,0.036,,
23,8.817,154080.86,63989.13,,,0.097,0.038,,
24,9.342,98645.71,40530.42,,,0.109,0.038,,
25,9.721,5415.63,2676.78,,,0.069,0.035,,
26,10.376,7868.81,3829.11,,,0.069,0.038,,
27,10.672,2116.9,1554.16,,,0.048,0.167,,
28,11.32,6192.99,3292.27,,,0.071,0.033,,
29,11.714,3567.47,1789.5,,,0.069,0.038,,
30,12.045,9285.08,2488.44,,,0.124,0.063,,
31,12.203,4261.49,1927.43,,,0.092,0.038,,
32,12.872,7962.63,2585.29,,,0.089,0.058,,
33,13.031,283316.88,82638.49,,,0.156,0.055,,
34,13.789,14898.56,2882.4,,,0.172,0.102,,
35,14.168,9322.01,2004.13,,,0.149,0.121,,
36,14.458,6585.52,2043.54,,,0.09,0.054,,
37,14.685,6020.19,1919.5,,,0.083,0.058,,
38,15.051,11580.2,3023.17,,,0.165,0.059,,
39,17.23,211592.66,46936.11,,,0.15,0.076,,
40,17.726,8925.99,2073.12,,,0.124,0.073,,
41,18.03,6836.46,1767.4,,,0.138,0.336,,
42,18.512,7223.63,1381.19,,,0.152,0.401,,
43,19.388,7186.08,1964.54,,,0.121,0.066,,
44,21.077,144509.13,33770.21,,,0.165,0.073,,
45,22.188,35460.03,7188.91,,,0.206,0.081,,
46,23.677,6873.03,1747.4,,,0.118,0.077,,
47,24.27,17073.52,5033.9,,,0.14,0.045,,
48,24.422,105720.11,30336.35,,,0.161,0.051,,
49,24.98,6730.66,2617.49,,,0.097,0.041,,
50,25.118,37928.3,11408.01,,,0.17,0.047,,
51,25.759,49904.93,12392.16,,,0.207,0.051,,
52,26.242,232028.84,77189.32,,,0.165,0.045,,
53,26.945,31021.19,11318.87,,,0.117,0.042,,
54,27.428,73090.38,25787.91,,,0.121,0.045,,
55,27.601,37702.75,12113.25,,,0.171,0.045,,
56,28.138,9335.86,2460.55,,,0.124,0.061,,
57,28.752,5283.58,1656.59,,,0.097,0.065,,
58,29.469,18071429.47,5178038.27,,,0.255,0.054,,
59,29.952,154346.61,55558.57,,,0.138,0.043,,
60,30.173,71080.47,25115.93,,,0.124,0.044,,
61,30.69,5499.01,2986.71,,,0.07,0.035,,
62,31.221,17722573.65,5214611.68,,,0.214,0.054,,
63,31.531,5790.16,2803.17,,,0.069,0.035,,
64,31.69,5311.79,2140.52,,,0.083,0.05,,
65,32.482,5241.5,1530.51,,,0.131,0.759,,
66,32.71,55077.23,19548.57,,,0.101,0.046,,
67,32.896,18608974.77,5331402.21,,,0.248,0.056,,
68,33.344,6216.34,2650.56,,,0.083,0.036,,
69,33.8,2301.47,1712.95,,,0.048,0.041,,
70,34.013,15611.35,3529.95,,,0.152,0.073,,
71,34.51,19143986.71,5568940.29,,,0.227,0.055,,
72,35.02,77130.8,26491.47,,,0.13,0.048,,
73,36.054,19146356.1,5494868.55,,,0.255,0.055,,
74,36.399,8444.51,2703.26,,,0.102,0.153,,
75,36.496,4474.01,2342.7,,,0.069,0.028,,
76,36.771,29490.42,10478.65,,,0.115,0.048,,
77,37.213,82560.65,25660.66,,,0.126,0.054,,
78,37.544,18941293.9,5292374.37,,,0.238,0.056,,
79,38.619,7611.97,2755.33,,,0.097,0.068,,
80,38.985,17742445.75,4905540.06,,,0.255,0.056,,
81,39.254,69355.45,21824.47,,,0.108,0.052,,
82,39.447,31547.71,11161.16,,,0.096,0.048,,
83,39.909,58021.4,16627.89,,,0.124,0.059,,
84,40.04,60945.18,19304.49,,,0.124,0.048,,
85,40.371,15915330.6,4678062.84,,,0.241,0.052,,
86,40.619,138200.07,30755.2,,,0.138,0.066,,
87,40.75,102731.38,27531.52,,,0.15,0.053,,
88,41.019,25738.67,8824.8,,,0.104,0.049,,
89,41.178,67639.89,20281.1,,,0.126,0.055,,
90,41.709,13816257.69,4113971.3,,,0.241,0.051,,
91,42.26,31657.11,8582.79,,,0.144,0.059,,
92,42.998,11647269.41,3448725.53,,,0.272,0.05,,
93,44.253,8682432.36,2597059.77,,,0.228,0.048,,
94,44.66,35856.33,9479.17,,,0.116,0.068,,
95,45.466,6096411.48,1752151.46,,,0.226,0.049,,
96,46.646,3636373.43,975588.64,,,0.268,0.051,,
97,47.783,1816256.2,436024.44,,,0.289,0.055,,
98,48.9,755436.25,153196.26,,,0.297,0.062,,
99,50.052,271252.29,61817.72,,,0.194,0.068,,
100,51.397,187875.69,34128.25,,,0.228,0.076,,
101,52.948,146027.38,24737.89,,,0.22,0.083,,
102,54.81,139769.95,19866.94,,,0.276,0.102,,
103,57.037,181568.7,19186.23,,,0.255,0.301,,
104,57.533,606619.21,23837.39,,,0.8,0.712,,

