#Peaks: + TIC Scan - STDL_SSL_2208_2.D (STDL_SSL_2208_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.942,13612462.71,2791963.92,,,0.31,0.054,,
2,5.618,8032.49,2391.8,,,0.102,0.101,,
3,6.941,11366.67,1812.46,,,0.193,0.296,,
4,7.169,14951975.35,3793984.35,,,0.233,0.051,,
5,7.803,1942.32,1220.24,,,0.053,0.189,,
6,8.61,294882.32,85116.59,,,0.196,0.048,,
7,9.665,14730808.54,4448787.87,,,0.224,0.049,,
8,11.265,3787.91,1606.91,,,0.076,0.639,,
9,11.458,9212.73,2073.27,,,0.131,0.094,,
10,12.223,12836753,4365179.95,,,0.206,0.046,,
11,12.865,4925.7,2218.92,,,0.076,0.036,,
12,13.037,530363.56,189679.31,,,0.138,0.043,,
13,13.775,4484.93,1252.74,,,0.11,0.103,,
14,14.733,12930181.66,4395795.69,,,0.211,0.047,,
15,15.595,3749.69,1291.02,,,0.103,0.361,,
16,17.147,13899471.22,4638529.74,,,0.152,0.047,,
17,17.25,675534.25,237485.54,,,0.152,0.045,,
18,18.064,4070.55,1947.25,,,0.083,0.406,,
19,19.457,14637721.84,4834107.96,,,0.207,0.049,,
20,21.084,564291.18,196337.79,,,0.13,0.045,,
21,21.649,15393452.08,4953361.57,,,0.232,0.049,,
22,22.38,3146.03,1785.71,,,0.064,0.037,,
23,22.691,6738.36,2170.67,,,0.103,0.046,,
24,23.104,77932.17,29230.17,,,0.11,0.042,,
25,23.566,6931.81,3481.86,,,0.067,0.038,,
26,23.746,15915070.94,5011690.96,,,0.24,0.051,,
27,24.277,5728.63,2722.3,,,0.072,0.031,,
28,24.428,432082.21,151755.56,,,0.134,0.045,,
29,25.132,7031.56,2118.94,,,0.131,0.044,,
30,25.738,16610968.58,5041994.67,,,0.234,0.052,,
31,26.959,4726.19,1640.61,,,0.103,0.75,,
32,27.435,314991.13,106164.9,,,0.137,0.045,,
33,27.648,17047385.1,5071554.37,,,0.254,0.053,,
34,28.765,4389.43,1535.24,,,0.088,0.054,,
35,29.434,6782.63,2041.89,,,0.117,0.065,,
36,30.179,273437.69,94684.93,,,0.158,0.046,,
37,31.172,7773.1,3032.94,,,0.094,0.042,,
38,31.517,7263.79,2311.85,,,0.116,0.05,,
39,32.689,271237.12,89589.14,,,0.137,0.048,,
40,32.854,7492.63,2239.71,,,0.116,0.053,,
41,34.068,5779.21,1860.78,,,0.073,0.056,,
42,34.489,31492.29,7068.51,,,0.185,0.056,,
43,35.02,291927.72,90608.97,,,0.144,0.051,,
44,36.392,9660.65,2976.33,,,0.103,0.055,,
45,36.778,20820.72,6873.36,,,0.118,0.049,,
46,37.198,318937.78,95828.15,,,0.179,0.05,,
47,38.591,7919.58,2318.24,,,0.11,0.076,,
48,39.253,307334.48,87668.49,,,0.172,0.054,,
49,40.757,18753.37,3936.14,,,0.172,0.246,,
50,41.177,245815.99,65475.5,,,0.177,0.058,,
51,42.977,157696.97,42962.37,,,0.155,0.057,,
52,44.659,86895.07,22911.21,,,0.159,0.059,,
53,46.259,38512.97,9821.67,,,0.103,0.069,,
54,53.754,423041.29,21459.68,,,0.69,0.361,,

