#Peaks: + TIC Scan - DR_Fly_002.D (DR_Fly_002.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.156,5510.81,3659.74,,,0.055,0.018,,
2,5.018,82972.36,17559.32,,,0.214,0.062,,
3,5.735,50581.62,4401.38,,,0.345,0.252,,
4,6.494,35122.27,4131.66,,,0.275,0.123,,
5,7.211,77539.44,24893.15,,,0.102,0.067,,
6,7.287,158494.75,34012.32,,,0.207,0.061,,
7,8.617,3735.39,2294.95,,,0.062,0.017,,
8,9.045,70737.82,16899.54,,,0.179,0.056,,
9,9.81,306584.16,90147.55,,,0.208,0.047,,
10,10.038,30452.31,7210.91,,,0.157,0.066,,
11,10.638,30516.01,11344.47,,,0.117,0.038,,
12,11.107,78249.77,22640.29,,,0.166,0.051,,
13,11.527,93097.74,22163.18,,,0.217,0.054,,
14,12.203,7963.98,3093.66,,,0.097,0.038,,
15,12.403,5961.16,2053.01,,,0.09,0.15,,
16,12.92,166286.02,46636.26,,,0.167,0.055,,
17,13.044,12664.7,5098.74,,,0.075,0.042,,
18,13.658,13469.81,4993.5,,,0.097,0.04,,
19,14.017,148081.11,49259.61,,,0.185,0.043,,
20,14.706,4423.35,2355.31,,,0.066,0.032,,
21,14.947,34530.73,10009.27,,,0.138,0.046,,
22,15.196,50295.75,16314.28,,,0.131,0.049,,
23,17.113,13547.7,5095.94,,,0.086,0.044,,
24,17.25,11461.18,5686.44,,,0.087,0.028,,
25,17.512,7057.15,3453.81,,,0.089,0.027,,
26,18.65,25701.56,7182.47,,,0.138,0.056,,
27,19.416,4230.98,1828,,,0.069,0.035,,
28,19.712,10537.83,3721.9,,,0.097,0.042,,
29,21.112,33727.15,7893.52,,,0.145,0.07,,
30,21.615,20449.68,8873.88,,,0.075,0.037,,
31,21.932,3739.19,1469.2,,,0.069,0.276,,
32,22.139,267443.96,92023.25,,,0.197,0.044,,
33,22.967,9149.25,3210.88,,,0.11,0.035,,
34,23.47,3376.62,2168.52,,,0.067,0.024,,
35,23.725,16027.59,3793.81,,,0.138,0.104,,
36,24.049,18877.31,7207.2,,,0.087,0.048,,
37,24.442,7629.18,3461.02,,,0.074,0.037,,
38,24.504,12172.48,5976.2,,,0.066,0.034,,
39,24.629,5419.89,2194.39,,,0.079,0.045,,
40,25.001,3840.99,1974.34,,,0.062,0.034,,
41,25.187,40251.57,14553.53,,,0.122,0.042,,
42,25.339,8097.43,2937.42,,,0.083,0.046,,
43,25.697,272123.58,90138.48,,,0.194,0.043,,
44,26.097,76091.13,29461.92,,,0.123,0.039,,
45,26.532,4170.94,1534.22,,,0.103,0.457,,
46,26.959,296936.31,90054.73,,,0.185,0.046,,
47,27.476,13288.1,3593.73,,,0.13,0.098,,
48,27.607,89343.6,32379.54,,,0.11,0.044,,
49,27.994,49304.72,17403.95,,,0.117,0.044,,
50,28.697,20259,7842.01,,,0.116,0.04,,
51,28.938,73587.68,25505.63,,,0.111,0.045,,
52,29.042,12662.88,5340.44,,,0.087,0.041,,
53,29.152,215795.75,66672.72,,,0.186,0.046,,
54,29.435,4583972.78,1563163.37,,,0.145,0.045,,
55,29.524,146866.92,52246.94,,,0.103,0.051,,
56,29.683,20715.72,7602.65,,,0.097,0.043,,
57,29.841,5092.86,2955.47,,,0.059,0.03,,
58,29.972,11007.61,4142.83,,,0.09,0.045,,
59,30.2,1009540.28,260957.9,,,0.233,0.052,,
60,30.586,36877.24,14683.37,,,0.082,0.038,,
61,30.703,80629.08,24224.94,,,0.124,0.047,,
62,31.172,1131752.94,396956.93,,,0.172,0.044,,
63,31.607,114116.01,41405.83,,,0.116,0.042,,
64,31.717,16807.85,5025.79,,,0.11,0.044,,
65,31.986,18587.53,6742,,,0.099,0.041,,
66,32.22,260330.32,81005,,,0.11,0.052,,
67,32.317,820383.94,280261,,,0.083,0.057,,
68,32.413,6731716.84,2194115,,,0.131,0.047,,
69,32.517,529895.16,166380,,,0.11,0.049,,
70,32.662,396078.3,112485,,,0.131,0.051,,
71,32.965,61282487.28,12058674.95,,,0.296,0.079,,
72,33.317,209447.26,71374.32,,,0.13,0.041,,
73,33.448,56042.91,17790.98,,,0.092,0.049,,
74,33.703,65742.32,24829.6,,,0.098,0.044,,
75,33.861,11318.15,5718.95,,,0.058,0.036,,
76,34.034,405419.79,83492.07,,,0.33,0.052,,
77,34.468,2425603.68,810705.43,,,0.214,0.046,,
78,34.923,88898.69,26525.81,,,0.178,0.046,,
79,35.22,122007.21,31719.08,,,0.145,0.063,,
80,35.551,1944128.45,713287.33,,,0.097,0.045,,
81,35.627,8976186.03,2649150.33,,,0.124,0.05,,
82,35.73,1653088.72,473703.33,,,0.138,0.069,,
83,35.875,196733.9,57005.33,,,0.076,0.067,,
84,36.137,72024678.7,13534236.55,,,0.303,0.086,,
85,36.247,208758.13,54745.52,,,0.178,0.072,,
86,36.509,1615346.73,484628,,,0.217,0.049,,
87,36.82,117908.68,31305.67,,,0.117,0.064,,
88,36.958,20566.51,8604.67,,,0.069,0.04,,
89,37.123,327834.1,80631.17,,,0.143,0.064,,
90,37.213,281910.05,53209.85,,,0.178,0.107,,
91,37.516,4338276.76,1369660.28,,,0.221,0.047,,
92,37.992,89219.45,29994.98,,,0.108,0.045,,
93,38.171,262268.05,69450.27,,,0.217,0.049,,
94,38.426,120722.37,34402.83,,,0.103,0.063,,
95,38.606,10769644.43,2661783.24,,,0.186,0.058,,
96,38.716,3528641.33,894805.49,,,0.159,0.062,,
97,39.095,93535876.52,15843479.45,,,0.338,0.093,,
98,39.426,1367265.97,305475.71,,,0.217,0.07,,
99,39.667,27873.16,8016.29,,,0.096,0.063,,
100,39.833,56621.25,11772.36,,,0.164,0.117,,
101,39.998,749975.39,97284.88,,,0.281,0.129,,
102,40.343,2358043.16,711237.54,,,0.247,0.048,,
103,40.757,309233.47,82882.01,,,0.203,0.048,,
104,40.998,411000.17,97713.83,,,0.199,0.054,,
105,41.198,118961.23,39582.8,,,0.09,0.05,,
106,41.391,13584570.57,3035984.28,,,0.197,0.065,,
107,41.481,1202064.49,468628.92,,,0.117,0.052,,
108,41.736,23152212.9,5984602.23,,,0.269,0.058,,
109,42.088,716104.03,186253.21,,,0.153,0.06,,
110,42.343,21498.03,8734.65,,,0.084,0.04,,
111,42.467,54630.1,15353.27,,,0.112,0.065,,
112,42.681,210112.07,41082.57,,,0.142,0.092,,
113,42.853,345133.72,74191.89,,,0.166,0.057,,
114,42.977,473635.71,132904.37,,,0.167,0.053,,
115,43.343,27819.26,9008.78,,,0.094,0.051,,
116,43.494,42440.4,8656.03,,,0.145,0.112,,
117,43.639,532114.34,153722,,,0.109,0.07,,
118,43.729,1196185.33,268665,,,0.131,0.067,,
119,43.937,6516280.81,1588428,,S,0.152,0.063,,
120,44.025,5042629.99,1270367,,,0.179,0.067,,
121,44.253,7444155.95,2071065.25,,,0.248,0.05,,
122,44.604,274689.51,61673.53,,,0.194,0.061,,
123,44.935,153935.47,22836,,,0.174,0.116,,
124,45.184,308756.5,50398.09,,,0.24,0.095,,
125,45.335,188806.39,61559.37,,,0.083,0.058,,
126,45.397,535532.61,112939.25,,,0.204,0.071,,
127,45.632,43331.83,14083.07,,,0.113,0.055,,
128,45.825,51616.26,11468.92,,,0.122,0.078,,
129,46.122,1680959.06,438297.68,,,0.165,0.056,,
130,46.384,8586143.15,1980656.66,,,0.283,0.052,,
131,46.639,404278.08,118297.9,,,0.124,0.052,,
132,46.79,485110.04,126189.94,,,0.165,0.056,,
133,47.004,132433.66,40650.9,,,0.1,0.054,,
134,47.211,81736.54,18147.81,,,0.135,0.084,,
135,47.459,200176.27,52506.63,,,0.129,0.06,,
136,47.659,37292.98,13655.5,,,0.061,0.066,,
137,47.79,103660.41,20642.85,,,0.165,0.073,,
138,48.369,185193.52,39689.24,,,0.172,0.067,,
139,48.59,119447.92,20022.22,,,0.248,0.093,,
140,48.873,70535.46,12118.06,,,0.179,0.111,,
141,50.024,105561.65,13284.72,,,0.324,1.124,,
142,52.162,76688.55,18525.73,,,0.117,0.069,,
143,53.762,1102077.7,33172.13,,,1.185,0.486,,
144,55.906,640152.58,38074.01,,,0.765,0.17,,
145,57.533,634000.36,24218.81,,,0.846,0.478,,

