#Peaks: + TIC Scan - DR_Fly_039_1.D (DR_Fly_039_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,5.032,39836.63,5829.96,,,0.276,0.121,,
2,6.493,320272.02,61092.99,,,0.335,0.06,,
3,7.204,78612.36,12507.47,,,0.22,0.117,,
4,8.603,35144.52,8448.31,,,0.181,0.05,,
5,9.058,161137.37,34460.15,,,0.271,0.058,,
6,9.817,30498.13,9984.62,,,0.138,0.045,,
7,10.762,12586.54,2466.71,,,0.152,0.708,,
8,11.1,108377.67,32078.26,,,0.163,0.048,,
9,11.534,153253.43,30396.87,,,0.226,0.062,,
10,11.968,16775.31,3468.35,,,0.165,0.146,,
11,12.927,211318.73,57266.9,,,0.155,0.056,,
12,13.03,407844.89,143745.35,,,0.159,0.044,,
13,13.513,9582.75,3374.02,,,0.092,0.055,,
14,13.658,10843.8,3736.22,,,0.087,0.048,,
15,13.989,21559.67,6122.67,,,0.159,0.053,,
16,14.471,6101.8,2402.85,,,0.097,0.072,,
17,14.706,8516.81,3497.24,,,0.099,0.039,,
18,14.947,8212.51,3550.04,,,0.083,0.027,,
19,15.575,5190.03,1917.95,,,0.09,0.589,,
20,16.037,5384.16,3040.8,,,0.054,0.042,,
21,16.34,25983.7,10155.99,,,0.095,0.037,,
22,16.712,6861.86,1789.14,,,0.138,0.32,,
23,17.112,88814.83,35041.1,,,0.109,0.04,,
24,17.243,356456.35,130129.3,,,0.122,0.043,,
25,18.671,17081.63,5017.7,,,0.117,0.049,,
26,19.415,13891.58,4978.63,,,0.089,0.043,,
27,19.712,23950.38,8253.2,,,0.117,0.042,,
28,20.381,72781.37,27833.18,,,0.106,0.044,,
29,20.953,148920.29,55907.39,,,0.112,0.041,,
30,21.084,376492.69,84252.92,,,0.166,0.073,,
31,21.236,3192.48,2063.44,,,0.055,0.032,,
32,21.608,806939.04,303971.79,,,0.139,0.042,,
33,21.87,48283.86,18630.29,,,0.079,0.042,,
34,21.932,25931.89,9458.47,,,0.103,0.057,,
35,22.132,87806.2,32256.78,,,0.117,0.043,,
36,22.573,11526.23,4186.41,,,0.086,0.046,,
37,22.918,19368.71,4391.85,,,0.138,0.099,,
38,23.739,5548606.62,1708143.55,,,0.226,0.052,,
39,24.049,27245.29,10579.75,,,0.085,0.042,,
40,24.152,4358.48,2183.01,,,0.058,0.038,,
41,24.428,24655.17,8990.93,,,0.076,0.043,,
42,24.497,25611.57,9780.7,,,0.087,0.042,,
43,24.635,11220.12,5035.24,,,0.071,0.036,,
44,24.739,14319.13,4808.1,,,0.139,0.038,,
45,25.049,50085.01,15044.44,,,0.128,0.048,,
46,25.18,1376558.23,459287.84,,,0.186,0.045,,
47,25.325,24193.21,7444.3,,,0.094,0.06,,
48,25.587,49847.68,15471.54,,,0.087,0.073,,
49,25.821,65290926.72,12729583.45,,,0.29,0.08,,
50,26.104,152413.83,43738.45,,,0.17,0.052,,
51,26.249,7027.25,2928.28,,,0.086,0.046,,
52,27.014,1751301.23,456606.09,,,0.233,0.052,,
53,27.283,109359.24,40365.38,,,0.106,0.044,,
