Peak,Compound,mean_RT,Fly_020,Fly_005,Fly_016,Fly_017,Fly_018,Fly_002,Fly_004,Fly_006,Fly_001,Fly_019
P1,,4.1232,4.108,4.129,4.108,,4.115,4.156,,,,
P2,,4.494,,,,4.494,,,,,,
P3,,5.011,5.011,5.011,5.004,5.018,5.011,5.018,5.011,5.011,5.004,5.011
P4,,5.232,5.232,5.246,,,,,,5.232,5.218,
P5,,5.6582,5.715,5.715,5.563,5.577,5.577,5.735,5.639,5.611,5.701,5.749
P6,,5.859,5.859,,,,,,,,,
P7,,6.2014,6.218,6.17,,6.238,,,,6.225,6.156,
P8,,6.48377777777778,6.411,6.473,,6.528,6.501,6.494,6.528,6.508,6.445,6.466
P9,,6.721,,,6.735,,,,,,6.707,
P10,,7.039125,7.038,7.032,7.038,7.052,7.038,,7.038,7.052,,7.025
P11,,7.202,7.197,7.204,,7.204,7.204,7.211,,,7.19,7.204
P12,,7.27766666666667,,7.273,7.28,7.28,7.28,7.287,7.287,7.28,7.259,7.273
P13,,8.6242,,,,8.631,,8.617,,8.624,8.638,8.611
P14,,8.81257142857143,8.797,8.817,,8.824,8.817,,,8.818,8.797,8.818
P15,,9.0443,9.08,9.045,9.045,9.052,9.038,9.045,9.038,9.038,9.038,9.024
P16,,9.472,,,,,,,9.472,,,
P17,,9.652,9.659,,,9.631,,,,9.666,,
P18,,9.735,9.735,,,,,,,,,
P19,,9.8093,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.803,9.81
P20,,10.0216666666667,10.017,10.024,,10.031,10.024,10.038,10.01,10.017,10.01,10.024
P21,,10.458,,,,10.458,,,,,,
P22,,10.654375,10.638,10.645,,10.645,10.645,10.638,,10.762,10.631,10.631
P23,,10.948,10.948,,,,,,,,,
P24,,11.1023333333333,11.1,11.107,11.107,11.1,11.093,11.107,11.114,11.107,11.086,
P25,,11.5362,11.555,11.541,11.527,11.555,11.541,11.527,11.534,11.521,11.534,11.527
P26,,11.7655,,,11.776,,,,,,11.755,
P27,,12.093,12.093,,,,,,,,,
P28,,12.1995,12.196,12.196,12.189,12.21,,12.203,12.203,,,
P29,,12.279,12.272,12.279,,,,,,,12.286,
P30,,12.41,12.41,12.417,12.417,12.41,,12.403,12.41,,,12.403
P31,,12.686,,,,12.686,,,,,,
P32,,12.9072222222222,12.941,12.9,12.899,12.941,,12.92,12.879,12.886,12.92,12.879
P33,,13.036,13.038,13.044,13.024,,13.024,13.044,13.044,13.044,13.024,13.038
P34,,13.4256666666667,13.41,13.43,,,,,,13.437,,
P35,,13.6648,13.665,,,13.658,13.692,13.658,,,13.651,
P36,,13.7796666666667,13.789,,13.782,13.768,,,,,,
P37,,13.8405,,13.844,,13.837,,,,,,
P38,,14.0221,14.065,14.024,14.023,14.03,14.03,14.017,14.017,14.003,14.016,13.996
P39,,14.548,14.548,14.541,,,,,,14.555,,
P40,,14.623,14.623,,,,,,,,,
P41,,14.6997777777778,14.692,14.699,14.706,14.699,14.713,14.706,,14.692,14.685,14.706
P42,,14.9764,14.989,14.996,14.947,14.947,15.003,14.947,14.947,15.003,14.989,14.996
P43,,15.195125,15.203,,,15.196,15.189,15.196,15.196,15.196,15.196,15.189
P44,,15.299,,,,15.285,15.313,,,,,
P45,,15.5645,15.568,15.575,,,,,,,15.554,15.561
P46,,16.044,16.037,16.051,,16.044,16.037,,,16.051,,
P47,,16.1872,,16.216,,16.216,16.127,,16.195,16.182,,
P48,,16.6435,16.63,,,,,,16.657,,,
P49,,16.789,16.789,,,,,,,,,
P50,,17.009,,,,,,,17.009,,,
P51,C15_ane_NA,17.1155,17.113,17.12,17.119,17.113,17.113,17.113,17.119,17.113,17.119,17.113
P52,,17.260125,17.251,17.257,17.244,,17.251,17.25,17.313,17.264,,17.251
P53,,17.385,17.382,17.382,17.388,17.388,17.375,,,17.395,,
P54,,17.508375,17.513,,,17.506,17.513,17.512,17.506,17.513,17.512,17.492
P55,,18.0526666666667,18.078,18.085,,,,,17.995,,,
P56,,18.257,18.209,,,,,,18.305,,,
P57,,18.5513333333333,18.581,,,,,,18.505,,,18.568
