Peak,Compound,mean_RT,Fly_009,Fly_010,Fly_008,Fly_007,Fly_011,Fly_013,Fly_014,Fly_012,Fly_015,Fly_003
P1,,4.149,4.191,,4.128,4.128,,,,,,
P2,,4.4418,4.453,4.363,4.384,4.515,,,,,,4.494
P3,,4.935,,,,,,,,4.935,,
P4,,5.0124,4.99,5.011,5.011,5.018,5.018,5.011,5.018,5.011,5.018,5.018
P5,,5.2355,,5.232,5.239,,,,,,,
P6,,5.645,,,5.576,5.714,,,,,,
P7,,6.202,,6.225,6.156,6.225,,,,,,
P8,,6.49375,,6.501,6.507,6.473,,,,6.494,,
P9,,6.735,,,,,,,,6.735,,
P10,,7.034,,7.059,,7.018,7.032,,7.018,7.038,,7.039
P11,,7.2155,7.259,7.197,7.204,7.204,,,,7.218,,7.211
P12,,7.28085714285714,,,,7.273,7.273,7.28,7.294,7.287,7.286,7.273
P13,,8.3105,,8.3,,,,,,,,8.321
P14,,8.61271428571429,8.597,,,,8.659,8.604,8.604,8.611,8.603,8.611
P15,,8.80525,,8.804,8.81,8.824,,,,,,8.783
P16,,9.0415,9.066,9.073,9.052,9.038,9.038,9.031,9.024,9.038,9.031,9.024
P17,,9.6555,,9.659,9.652,,,,,,,
P18,,9.8102,9.797,9.81,9.81,9.817,9.81,9.81,9.81,9.817,9.81,9.811
P19,,10.021375,10.003,10.017,10.017,10.024,,,10.024,10.024,10.038,10.024
P20,,10.638,10.624,10.638,10.638,10.638,,10.652,,10.638,,10.638
P21,,10.783,,,,,10.783,,,,,
P22,,11.1019,11.086,11.093,11.107,11.113,11.1,11.107,11.107,11.1,11.106,11.1
P23,,11.5249,11.52,11.527,11.527,11.527,11.52,11.527,11.52,11.527,11.527,11.527
P24,,11.762,,,,,11.762,,,,,
P25,,11.9685,,11.962,11.975,,,,,,,
P26,,12.1925,,,,12.196,,,,,,12.189
P27,,12.2766666666667,,12.279,12.279,12.272,,,,,,
P28,,12.417,,,12.417,,,,,12.417,,
P29,,12.9038,12.934,12.955,12.941,12.879,12.934,12.879,12.872,12.872,12.879,12.893
P30,,13.035875,13.031,,,13.051,13.031,13.037,13.031,13.031,13.037,13.038
P31,,13.424,,13.424,,,,,,,,
P32,,13.534,,13.534,13.534,,,,,,,
P33,,13.6603333333333,13.651,13.665,13.665,,,,,,,
P34,,13.9973,14.003,14.024,14.016,14.003,13.996,13.982,13.982,13.989,13.989,13.989
P35,,14.134,,,14.134,,,,,,,
P36,,14.527,,14.541,14.534,14.527,14.513,,,14.52,,
P37,,14.7006666666667,14.706,14.686,14.692,14.699,14.706,14.699,14.706,14.713,,14.699
P38,,14.9738,14.941,14.996,14.996,14.996,14.947,14.947,14.989,14.941,14.989,14.996
P39,,15.189,,15.189,,,,,,,,
P40,,15.327,,15.327,,,,,,,,
P41,,15.5726666666667,,15.561,15.575,,,,,,,15.582
P42,,16.039,16.023,16.037,16.044,16.051,16.03,16.044,,16.044,,
P43,,16.14,,,16.14,,,,,,,
P44,,16.34525,16.34,16.34,16.347,,,,,,16.354,
P45,,16.6023333333333,,16.623,16.63,16.554,,,,,,
P46,,16.802,,16.802,,,,,,,,
P47,,17.115,,17.12,17.119,17.119,17.12,17.106,17.106,17.113,17.119,17.113
P48,,17.2492,17.244,17.237,17.25,17.257,17.251,17.251,17.251,17.25,17.25,17.251
P49,,17.395,,,,17.395,,,,,,
P50,,17.788,17.788,,,,,,,,,
P51,,18.202,,18.202,,,,,,,,
P52,,18.588,,18.588,,,,,,,,
P53,,18.6655,18.671,18.657,18.664,18.678,18.671,18.671,18.671,18.678,18.657,18.637
P54,,18.788,18.788,,,,,,,,,
P55,,18.9505,,18.947,18.954,,,,,,,
P56,,19.188,,,19.188,,,,,,,
P57,,19.4087142857143,,,19.422,19.416,19.402,19.409,19.402,,19.408,19.402
P58,,19.7141,19.712,19.712,19.719,19.719,19.705,19.712,19.705,19.719,19.719,19.719
P59,,20.112,,,,,,,,20.112,,
