Peak,Compound,mean_RT,Fly_026,Fly_032,Fly_025,Fly_021,Fly_023,Fly_031,Fly_035,Fly_036,Fly_024,Fly_034
P1,,4.108,,,,,,4.108,,,,
P2,,4.501,4.48,,,,4.522,,,,,
P3,,4.804,4.818,4.79,,,,,,,,
P4,,5.0089,5.011,5.004,5.011,5.011,5.011,5.004,5.018,5.011,5.004,5.004
P5,,5.63025,5.577,5.756,5.583,5.715,5.584,5.701,,,5.563,5.563
P6,,6.5096,6.535,6.521,6.501,6.494,6.508,6.494,6.514,6.514,6.507,6.508
P7,,6.6145,6.618,,,,,,,6.611,,
P8,,7.024625,7.045,7.038,7.011,,7.032,6.997,7.025,7.045,7.004,
P9,,7.1998,,7.197,7.204,7.197,,7.197,,,,7.204
P10,,7.27533333333333,7.273,7.273,7.273,7.273,7.28,,7.28,7.273,7.28,7.273
P11,,7.549,,,,,,7.549,,,,
P12,,8.63116666666667,8.624,8.679,,8.604,,8.659,,8.604,8.617,
P13,,8.879,,,,,,,8.879,,,
P14,,9.04188888888889,9.052,,9.045,9.052,9.038,9.038,9.059,9.038,9.024,9.031
P15,,9.355,,9.355,,,,,,,,
P16,,9.4585,,9.389,,,,,9.528,,,
P17,,9.624,,,,9.624,,,,,,
P18,,9.8128,9.81,9.81,9.817,9.817,9.81,9.817,9.81,9.81,9.81,9.817
P19,,10.0005,,,,10.004,,9.997,,,,
P20,,10.472,,,10.472,10.472,,,,,,
P21,,10.769,,,10.769,,,,,,,
P22,,10.948,,,,,,10.948,,,,
P23,,11.1098888888889,11.12,11.113,11.107,11.107,11.114,11.1,11.107,,11.114,11.107
P24,,11.2601428571429,11.258,11.244,11.265,11.252,11.286,11.258,,11.258,,
P25,,11.4685,,,,11.472,,11.465,,,,
P26,,11.5535,11.562,11.617,11.555,11.541,11.548,11.534,11.527,11.576,11.541,11.534
P27,,11.769,,,,,,11.769,,,,
P28,,12.1988,12.196,12.203,12.196,12.203,12.203,12.196,12.203,12.196,12.196,12.196
P29,,12.2755,,,,12.279,,12.272,,,,
P30,,12.4131111111111,12.41,12.41,12.41,12.41,12.41,12.417,12.424,12.417,,12.41
P31,,12.6615,,12.644,,,,,12.679,,,
P32,,12.8941,12.872,12.906,12.941,12.934,12.872,12.872,12.872,12.886,12.879,12.907
P33,,13.0366666666667,13.024,13.037,,13.038,13.031,13.044,13.044,13.044,13.037,13.031
P34,,13.251,,13.251,,,,,,,,
P35,,13.485,,13.485,,,,,,,,
P36,,13.682,,13.74,13.658,13.679,,,,,,13.651
P37,,13.8424444444444,13.844,13.823,13.844,13.844,13.851,13.851,13.858,13.837,,13.83
P38,,14.0021,13.996,14.092,14.003,14.003,13.989,13.982,13.989,13.989,13.989,13.989
P39,,14.216,,14.216,,,,,,,,
P40,,14.5305,14.52,,,,,14.541,,,,
P41,,14.7113333333333,14.713,14.761,14.706,14.706,14.706,14.699,14.706,14.706,14.699,
P42,,14.9466,14.947,14.947,14.94,14.948,14.954,14.948,14.94,14.954,14.94,14.948
P43,,15.1952,15.196,15.195,15.196,15.196,15.21,15.189,15.189,15.196,15.189,15.196
P44,,15.685,,15.685,,,,,,,,
P45,,16.0515555555556,16.058,15.981,16.044,16.12,16.051,16.099,16.03,16.03,16.051,
P46,,16.2206666666667,16.216,,,16.216,,16.223,,16.223,16.23,16.216
P47,,16.3885,,,,16.423,,16.354,,,,
P48,,16.578,16.561,16.595,,,,,,,,
P49,,16.67,16.658,16.781,16.651,16.651,16.699,16.658,16.623,16.657,16.651,16.671
P50,,16.978,17.016,16.947,17.023,16.926,,,,,,
P51,C15_ane_NA,17.1168,17.12,17.119,17.113,17.113,17.12,17.12,17.112,17.119,17.119,17.113
P52,,17.2525,17.257,17.25,17.257,17.251,17.251,17.251,17.257,17.25,17.25,17.251
P53,,17.3883333333333,17.395,17.388,17.395,17.382,17.382,,,17.388,,
P54,,17.5031,17.506,17.457,17.506,17.506,17.506,17.513,17.512,17.506,17.506,17.513
P55,,17.685,,17.685,,,,,,,,
P56,,18.069375,18.078,18.002,18.071,18.078,18.078,18.078,,,18.099,18.071
P57,,18.14,,18.14,,,,,,,,
P58,,18.305,,18.305,,,,,,,,
P59,,18.6737,18.664,18.691,18.671,18.664,18.678,18.664,18.678,18.664,18.685,18.678
P60,,18.887,,18.94,,18.933,,,18.788,,,
P61,,19.036,,19.036,,,,,,,,
P62,,19.167,,19.167,,,,,,,,
P63,,19.2535,,19.264,,,,19.243,,,,
P64,,19.4166,19.423,19.402,19.423,19.416,19.423,19.416,19.416,19.402,19.429,19.416
P65,,19.65,,19.65,,,,,,,,
P66,,19.7182,19.712,19.746,19.719,19.719,19.712,19.712,19.712,19.719,19.712,19.719
P67,,19.888,,,,,,,,19.891,,19.885
P68,,20.098,,20.098,,,,,,,,
P69,,20.181,,20.153,20.215,20.209,,,,20.147,,
P70,,20.257,,20.257,,,,,,,,
P71,,20.545,20.54,20.546,,,,,,20.54,,20.554
P72,,20.613,,20.615,,,,20.609,,20.615,,
P73,,20.732,,20.732,,,,,,,,
P74,,20.822,,20.822,,,,,,,,
P75,,20.898,,20.898,,,,,,,,
P76,C17_diene_NA,20.9579,20.953,20.946,20.96,20.96,20.96,20.96,20.96,20.96,20.953,20.967
P77,,21.022,,21.022,,,,,,,,
