Peak,Compound,mean_RT,Fly_027,Fly_029,Fly_039,Fly_037,Fly_028,Fly_040,Fly_030,Fly_022,Fly_033,Fly_038
P1,,4.11033333333333,4.115,,,,,,4.101,4.115,,
P2,,4.499,4.501,4.501,,,4.487,,4.508,4.515,4.487,4.494
P3,,5.0103,5.004,5.011,5.032,5.011,5.004,5.011,5.011,5.004,5.004,5.011
P4,,5.618,5.611,,,5.577,,,5.721,5.563,,
P5,,6.4965,6.494,6.507,6.493,6.501,6.501,6.494,6.487,6.514,6.487,6.487
P6,,6.721,6.721,,,,,,,,,
P7,,7.02433333333333,,,,7.031,,,7.004,7.038,,
P8,,7.204,7.204,,7.204,7.211,7.204,7.211,7.197,7.211,7.197,7.197
P9,,7.275625,7.28,7.28,,7.273,7.273,7.28,,7.273,7.266,7.28
P10,,7.621,,,,,,,7.556,7.686,,
P11,,8.25666666666667,,8.245,,,,8.245,,,,8.28
P12,,8.626125,8.666,8.604,8.603,8.652,8.604,,,8.61,8.611,8.659
P13,,8.9,8.9,,,,,,,,,
P14,,9.0552,9.086,9.059,9.058,9.079,9.052,9.038,9.045,9.045,9.066,9.024
P15,,9.6275,,,,,,9.603,,9.652,,
P16,,9.8142,9.817,9.817,9.817,9.817,9.81,9.81,9.817,9.81,9.81,9.817
P17,,10.01,,,,,,,10.01,,,
P18,,10.417,,,,,,10.417,,,,
P19,,10.7515,10.748,,10.762,,10.755,10.741,,,,
P20,,10.9515,,,,,,,10.962,,,10.941
P21,,11.10525,11.093,,11.1,11.107,11.107,11.107,11.107,11.107,,11.114
P22,,11.272,,,,,,11.258,11.286,,,11.272
P23,,11.465,,,,,,,11.465,,,11.465
P24,,11.5354,11.541,11.527,11.534,11.534,11.527,11.534,11.534,11.555,11.534,11.534
P25,,11.7643333333333,11.762,,,,11.769,11.762,,,,
P26,,11.9962,12.01,,11.968,11.969,,12.072,11.962,,,
P27,,12.2313333333333,12.196,12.196,,12.203,12.203,12.272,12.279,12.189,12.272,12.272
P28,,12.562,,,,,,12.562,,,,
P29,,12.9108333333333,,,12.927,,12.913,12.927,12.92,12.92,,12.858
P30,,13.0345,13.031,13.03,13.03,13.037,13.038,13.037,13.044,13.03,13.031,13.037
P31,,13.334,,,,,,,,13.334,,
P32,,13.527,,,13.513,13.534,,,13.534,,,
P33,,13.6552,13.686,,13.658,,13.644,13.637,,13.651,,
P34,,13.8095,,,,,,,,13.775,,13.844
P35,,13.9939,14.003,13.989,13.989,13.989,13.996,13.989,13.996,14.003,13.996,13.989
P36,,14.244,,,,,,,14.244,,,
P37,,14.4941428571429,14.52,14.513,14.471,14.485,14.492,,14.465,14.513,,
P38,,14.7039,14.699,14.699,14.706,14.706,14.699,14.72,14.706,14.699,14.706,14.699
P39,,14.9453,14.948,14.94,14.947,14.954,14.941,14.934,14.954,14.947,14.941,14.947
