"","Ca_TRUE.mean_RT","Ca_TRUE.Fly_003","Ca_TRUE.Fly_007","Ca_TRUE.Fly_008","Ca_TRUE.Fly_009","Ca_TRUE.Fly_010","Ca_TRUE.Fly_011","Ca_TRUE.Fly_012","Ca_TRUE.Fly_013","Ca_TRUE.Fly_014","Ca_TRUE.Fly_015"
"P1",4.14066666666667,0,4.128,4.128,4.191,0,0,0,0,0,0
"P2",4.39166666666667,0,0,4.384,4.453,4.363,0,0,0,0,0
"P3",4.4995,4.494,4.515,0,0,0,0,0,0,0,0
"P4",4.93,0,0,0,0,0,0,4.935,0,0,0
"P5",5.0094,5.018,5.018,5.011,4.99,5.011,5.018,5.011,5.011,5.018,5.018
"P6",5.2305,0,0,5.239,0,5.232,0,0,0,0,0
"P7",5.571,0,0,5.576,0,0,0,0,0,0,0
"P8",5.709,0,5.714,0,0,0,0,0,0,0,0
"P9",6.197,0,6.225,6.156,0,6.225,0,0,0,0,0
"P10",6.48875,0,6.473,6.507,0,6.501,0,6.494,0,0,0
"P11",6.73,0,0,0,0,0,0,6.735,0,0,0
"P12",7.03233333333333,7.039,7.018,0,0,7.059,7.032,7.038,0,7.018,0
"P13",7.20883333333333,7.211,7.204,7.204,7.259,7.197,0,7.218,0,0,0
"P14",7.28014285714286,7.273,7.273,0,0,0,7.273,7.287,7.28,7.294,7.286
"P15",8.3055,8.321,0,0,0,8.3,0,0,0,0,0
"P16",8.61057142857143,8.611,0,0,8.597,0,8.659,8.611,8.604,8.604,8.603
"P17",8.80025,8.783,8.824,8.81,0,8.804,0,0,0,0,0
"P18",9.0385,9.024,9.038,9.052,9.066,9.073,9.038,9.038,9.031,9.024,9.031
"P19",9.6505,0,0,9.652,0,9.659,0,0,0,0,0
"P20",9.8072,9.811,9.817,9.81,9.797,9.81,9.81,9.817,9.81,9.81,9.81
"P21",10.017625,10.024,10.024,10.017,10.003,10.017,0,10.024,0,10.024,10.038
"P22",10.6315714285714,10.638,10.638,10.638,10.624,10.638,0,10.638,10.652,0,0
"P23",10.788,0,0,0,0,0,10.783,0,0,0,0
"P24",11.0989,11.1,11.113,11.107,11.086,11.093,11.1,11.1,11.107,11.107,11.106
"P25",11.5219,11.527,11.527,11.527,11.52,11.527,11.52,11.527,11.527,11.52,11.527
"P26",11.767,0,0,0,0,0,11.762,0,0,0,0
"P27",11.9635,0,0,11.975,0,11.962,0,0,0,0,0
"P28",12.1875,12.189,12.196,0,0,0,0,0,0,0,0
"P29",12.2716666666667,0,12.272,12.279,0,12.279,0,0,0,0,0
"P30",12.412,0,0,12.417,0,0,0,12.417,0,0,0
"P31",12.9008,12.893,12.879,12.941,12.934,12.955,12.934,12.872,12.879,12.872,12.879
"P32",13.033375,13.038,13.051,0,13.031,0,13.031,13.031,13.037,13.031,13.037
"P33",13.419,0,0,0,0,13.424,0,0,0,0,0
"P34",13.529,0,0,13.534,0,13.534,0,0,0,0,0
"P35",13.652,0,0,13.665,13.651,13.665,0,0,0,0,0
"P36",13.9943,13.989,14.003,14.016,14.003,14.024,13.996,13.989,13.982,13.982,13.989
"P37",14.129,0,0,14.134,0,0,0,0,0,0,0
"P38",14.524,0,14.527,14.534,0,14.541,14.513,14.52,0,0,0
"P39",14.6967777777778,14.699,14.699,14.692,14.706,14.686,14.706,14.713,14.699,14.706,0
"P40",14.9708,14.996,14.996,14.996,14.941,14.996,14.947,14.941,14.947,14.989,14.989
"P41",15.184,0,0,0,0,15.189,0,0,0,0,0
"P42",15.322,0,0,0,0,15.327,0,0,0,0,0
"P43",15.5676666666667,15.582,0,15.575,0,15.561,0,0,0,0,0
"P44",16.034,0,16.051,16.044,16.023,16.037,16.03,16.044,16.044,0,0
"P45",16.135,0,0,16.14,0,0,0,0,0,0,0
