Compound,Class,Chain.length,RI,Mod.position,Fly_020.x,Fly_005.x,Fly_016.x,Fly_017.x,Fly_018.x,Fly_002.x,Fly_004.x,Fly_006.x,Fly_001.x,Fly_019.x,Fly_001.y,Fly_002.y,Fly_004.y,Fly_005.y,Fly_006.y,Fly_016.y,Fly_017.y,Fly_018.y,Fly_019.y,Fly_020.y,Fly_009.x,Fly_010.x,Fly_008.x,Fly_007.x,Fly_011.x,Fly_013.x,Fly_014.x,Fly_012.x,Fly_015.x,Fly_003.x,Fly_003.y,Fly_007.y,Fly_008.y,Fly_009.y,Fly_010.y,Fly_011.y,Fly_012.y,Fly_013.y,Fly_014.y,Fly_015.y,Fly_026.x,Fly_032.x,Fly_025.x,Fly_021.x,Fly_023.x,Fly_031.x,Fly_035.x,Fly_036.x,Fly_024.x,Fly_034.x,Fly_021.y,Fly_023.y,Fly_024.y,Fly_025.y,Fly_026.y,Fly_031.y,Fly_032.y,Fly_034.y,Fly_035.y,Fly_036.y,Fly_027.x,Fly_029.x,Fly_039.x,Fly_037.x,Fly_028.x,Fly_040.x,Fly_030.x,Fly_022.x,Fly_033.x,Fly_038.x,Fly_022.y,Fly_027.y,Fly_028.y,Fly_029.y,Fly_030.y,Fly_033.y,Fly_037.y,Fly_038.y,Fly_039.y,Fly_040.y
C15,Alkane,15,1500,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12,17.119,17.113,17.113,17.12,17.12,17.112,17.119,17.119,17.113,0.028543598578662097,0.022851049507533173,0.011890079010197563,0.01575158934990294,0.012641243003283146,0.0160439397320558,0.022106076162059958,0,0.016532985518690486,0.015626125207522736,17.12,17.112,17.112,17.119,17.113,17.113,17.113,17.112,17.113,17.112,0.020342583124836236,0,0,0,0.04526060410064186,0,0.026192923501746262,0.027960997429084745,0.030148776353547412,0.03674494978649832
C17:ene,Alkene,17,1677,"NA",21.105,21.119,21.091,21.105,21.119,21.112,21.119,21.112,21.112,21.098,0.023197583283995505,0,0.017999507309236034,0.02766376125834269,0.06003683367944633,0,0,0,0,0.021173329956834713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C17,Alkane,17,1700,"NA",21.608,21.615,21.608,21.615,21.615,21.615,21.608,21.615,21.608,21.615,0.019181491528615806,0,0.0337686908919357,0.01622707106994685,0.019021765021031922,0,0,0,0,0.023366481803324086,21.608,21.615,21.615,21.608,21.608,21.615,21.608,21.602,21.608,21.609,0.01562155838711387,0,0.08230503550553722,0.22884197658345315,0.10350367667748253,0.24392449909105912,0,0.06729928829742056,0.22380352340848256,0.2201959042200417,21.615,21.615,21.615,21.615,21.615,21.615,21.615,21.615,21.608,21.615,0.06250156665782503,0.08067854747915171,0.030123863204372613,0.045133773332594204,0.03780459553288283,0.05646723779999512,0.05677222651704084,0.0399331873289622,0.06884922194321627,0.03858890750315504,21.615,21.608,21.608,21.615,21.608,21.615,21.615,21.608,21.608,21.615,0.04041316684056492,0.19010485935176863,0.19136423561535518,0.23780040848377856,0.2059862058774605,0.2360928550423624,0.2151944030099101,0.12378507588353482,0.27392074778397085,0.14855595103243613
C19:ene,Alkene,19,1872,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.187,25.18,25.18,25.18,25.18,25.187,25.187,25.18,25.18,25.18,0.07575631687634944,0.05363881454409806,0.14196799165396995,0,0.6421489151829962,0.2824435378049893,0.12189793780754264,0.35581208129360115,0.4672817165095635,0.15905072361997794
C19:ene,Alkene,19,1873,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.187,25.187,25.18,25.18,25.187,25.18,25.18,25.187,25.187,0.041929616200681134,0.033052184300202625,0.14604130072895039,0,1.3947937971681659,0.0960307999747866,0.0311147324260646,0,0.13866250600579963,0.12885828570623772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19:ene,Alkene,19,1874,"NA",25.187,25.187,25.187,25.18,25.18,25.187,25.18,25.187,25.187,25.18,0.10981789839926805,0.01454346095336118,0.06824535147285833,0.13141496024396576,0.3371179772307098,0,0.06608095845055784,0.06904704743350604,0.1917736422767038,0.2966242184248896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,Alkane,19,1900,"NA",25.697,25.697,25.697,25.697,25.704,25.697,25.704,25.698,25.697,25.697,0.18522274634265434,0.09832209427405832,0.832585293109705,0.32911092529047026,0.5051259550844742,0.291035205418239,0.10966168728862792,0.5765055471428735,0.12242215319475391,0.14418910410453112,25.828,25.76,25.759,25.704,25.746,25.725,25.746,25.697,25.725,25.698,0.11650850742055657,0.11801199919891478,8.957731368007142,30.787185623172835,11.736206220866126,21.52376677563793,0.1644874356929843,7.287665027682374,18.074955926930336,17.288821560551877,25.704,25.704,25.704,25.704,25.704,25.704,25.704,25.697,25.697,25.704,0.2609413963795763,0.6552976924704383,0.22046993570603415,0.2567621654417301,0.326625525577453,0.2658061342164968,0.2573015293145845,0.3070080786691235,0.37747939693611077,0.21808938546236037,25.815,25.814,25.821,25.78,25.801,25.704,25.746,25.697,25.78,25.704,0.2908559216847883,12.486090533719775,20.562844008610934,26.168630138441035,5.297111210971431,20.53917107010798,9.724896065692008,0.5252215370801013,22.163433151841115,0.4604774829444938
C20,Alkane,20,2000,"NA",27.607,27.607,27.607,27.6,27.601,27.607,27.607,27.608,27.6,27.594,0.047567577066373115,0.03228110501112677,0.1091642553359282,0.057484480322889414,0.09420113694621628,0.04680266155740174,0.04330503014880304,0.08547122521855782,0.032227850048033996,0.03155151015855881,27.614,27.607,27.607,27.6,27.607,27.607,27.601,27.6,27.6,27.608,0.03662740397694267,0.16968336208826826,0.6923039153296261,1.909664727443578,0.7467494069080329,1.3543031575481126,0.2611296392827584,0.39461190032813176,0.9744511714859988,2.1724859889199717,27.607,27.6,27.6,27.601,27.608,27.607,27.607,27.6,27.6,27.601,0.032726669023824394,0.058924310246907224,0.032817283120727986,0.03113807645400001,0.037154514434182585,0.02137258890163703,0.0952886556953803,0.03552453907004003,0.031947281470476825,0.02762845937384241,27.614,27.614,27.614,27.614,27.608,27.607,27.607,27.6,27.607,27.6,0.04707933581477696,0.6755560980002671,1.229251251409313,1.6258389407562202,0.29649107514352646,1.20353956236624,0.8971143132066608,0.04170008856270179,1.1986456605090061,0.0531086816656654
C21:diene,Alkadiene,21,2065,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.828,28.828,28.821,28.828,28.821,28.828,28.828,28.828,28.821,28.828,0.10541963910775028,0.02638920557159554,0,0,0.05863770060511688,0,0.027723110843141382,0.04040464292718419,0.04065194579603845,0.047005382673259447
C21:diene,Alkadiene,21,2067,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,28.828,0.02427862303220212,0.03916826029355127,0.010876665824123825,0.013772275465846124,0.014980666324102433,0.014908958381210782,0.021783343268285973,0.011863013831574447,0.024037289087404757,0.011424748823840722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C21:ene,Alkene,21,2071,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.938,28.931,28.938,28.938,28.945,28.931,28.931,28.938,28.945,28.931,0.04919432270599175,0.01854972626023331,0.03943076234400221,0,0.038713081346105495,0,0.03734395030624645,0.02193799757552529,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.938,28.938,28.938,28.945,28.938,28.938,28.945,28.945,28.931,28.938,0.9816291811285001,0.1792379458830853,0.21593686033573598,0.1266919583326238,0.3773767293267513,0.2025875516592778,0.22891068597395905,0.28731419406362596,0.24320394859081795,0.3811076755126254
