#Peaks: + TIC Scan - DR_NM_164_1.D (DR_NM_164_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,23.636,817986.37,320036.19,,,0.109,0.041,,
2,23.877,365490.5,103577,,,0.195,0.046,,
3,25.277,630681.26,220505.33,,,0.172,0.043,,
4,27.056,724481.57,211869.88,,,0.206,0.043,,
5,29.249,564258.98,170826.57,,,0.193,0.046,,
6,29.524,508447.92,170665.4,,,0.2,0.044,,
7,30.359,10469210.73,1937894.72,,,0.317,0.064,,
8,30.759,1331724.12,268548.53,,,0.255,0.082,,
9,31.262,415396.83,83996.62,,,0.18,0.079,,
10,32.338,11689941.52,3644070.03,,,0.193,0.047,,
11,32.496,1440497.94,429034.57,,,0.124,0.049,,
12,32.765,384643.27,93393.99,,,0.172,0.058,,
13,32.958,6755491.23,2295975.96,,,0.2,0.045,,
14,35.71,2461395.31,717350.26,,,0.165,0.048,,
15,35.82,340905.61,95397.24,,,0.128,0.063,,
16,36.13,14861672.11,4653740.93,,,0.228,0.048,,
17,36.592,392310.25,87207.92,,,0.185,0.071,,
18,37.599,889379.76,257553.66,,,0.241,0.049,,
19,38.688,2213900.71,576787.08,,,0.165,0.053,,
20,38.792,456633.52,106651.5,,,0.159,0.074,,
21,39.088,32544897.21,8489496.07,,,0.255,0.059,,
22,39.509,495981.27,101313.17,,,0.225,0.073,,
23,40.164,2915035.9,645667.16,,,0.283,0.054,,
24,40.433,959764.89,206804.26,,,0.276,0.058,,
25,41.474,3676344.12,947443.96,,,0.145,0.068,,
26,41.522,3511478.74,884688.74,,,0.193,0.061,,
27,41.805,17965564.06,5042159.79,,,0.234,0.051,,
28,43.75,333819.98,98006.5,,,0.11,0.065,,
29,43.839,1878911.55,415560.56,,,0.145,0.065,,
30,44.046,12682292.47,2898068.59,,,0.159,0.087,,
31,44.122,8308742.18,1962522.95,,,0.179,0.069,,
32,44.343,5251342.78,1093073.25,,,0.29,0.057,,
33,45.735,419462.09,93110.09,,,0.248,0.059,,
34,46.225,4039823.45,902075,,,0.179,0.062,,
35,46.487,15334362.72,2573614.25,,,0.393,0.063,,
36,46.728,421837.26,83924.11,,,0.145,0.084,,
37,52.321,2182412.86,296673.42,,,0.48,0.086,,
38,56.127,478608.21,60295.08,,,0.35,0.114,,

