#Peaks: + TIC Scan - DR_NM_258.D (DR_NM_258.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,13.086,1513221.08,251191.02,,,0.315,0.093,,
2,18.905,5059651.5,880244.54,,,0.329,0.088,,
3,29.255,7718179.67,2637197.19,,,0.195,0.045,,
4,29.573,30635305.11,8444818.77,,,0.179,0.058,,
5,30.248,5340111.95,1109850,,S,0.186,0.079,,
6,30.338,5599344.76,1149364.39,,,0.283,0.06,,
7,31.276,1566661.94,528168.07,,,0.136,0.046,,
8,32.351,20991795.42,5931948.86,,,0.207,0.052,,
9,32.517,9988017.94,3087272.56,,,0.124,0.048,,
10,32.627,5015569.91,1656884.85,,,0.117,0.046,,
11,32.765,1091495.44,253285.98,,,0.138,0.063,,
12,33.055,73353406.62,14348551.09,,,0.269,0.083,,
13,34.565,2207142.8,713436.06,,,0.2,0.047,,
14,35.723,10340949.47,2538947,,,0.193,0.053,,
15,35.834,7454393.67,2114698,,,0.159,0.05,,
16,36.192,58570681.46,12467582.01,,,0.269,0.076,,
17,36.647,1066230.66,184088.76,,,0.264,0.094,,
18,37.364,38018643.93,9514564.12,,,0.269,0.062,,
19,37.626,3048258.39,842748.71,,,0.213,0.054,,
20,38.309,100191476.05,18919095.3,,,0.303,0.085,,
21,38.702,8981119.39,2106731.57,,,0.159,0.063,,
22,38.819,10162566.24,2554205.6,,,0.145,0.06,,
23,39.137,59039352.26,12283123.2,,,0.283,0.076,,
24,39.516,1738875.28,326011.47,,,0.212,0.088,,
25,40.192,18161375.64,4848577.68,,,0.145,0.059,,
26,40.254,6513066.9,2097668.4,,,0.145,0.054,,
27,40.44,1444360.86,414313.35,,,0.167,0.052,,
28,41.474,13665951.52,1705739.46,,,0.345,0.149,,
29,41.812,20836977.81,5817909.88,,,0.241,0.053,,
30,42.191,1155507.85,259114.86,,,0.193,0.064,,
31,42.901,9245700.74,2370370.24,,,0.145,0.066,,
32,42.977,13526695.22,3330004.5,,,0.214,0.068,,
33,43.839,2389890.61,511167.24,,,0.208,0.063,,
34,44.032,8441214.15,1732220.97,,,0.172,0.074,,
35,44.129,8124037.36,2048696.33,,,0.11,0.061,,
36,44.232,4096825.48,952366.35,,,0.097,0.088,,
37,44.349,8776494.26,2207827.92,,,0.234,0.053,,
38,44.791,1541573.17,486872.8,,,0.141,0.049,,
39,45.48,20008131.08,4556236.6,,,0.159,0.074,,
40,45.556,21873895.88,5613013.6,,,0.2,0.07,,
41,46.232,1894819.25,485954.9,,,0.152,0.056,,
42,46.48,6236725.43,1443766.52,,,0.221,0.058,,
43,46.618,30507779.84,6673707.4,,,0.269,0.063,,
44,47.859,11390897.12,2421402.76,,S,0.176,0.074,,
45,47.907,8484319.21,2033032.67,,,0.269,0.058,,
46,48.576,1013739.98,283150.51,,,0.124,0.056,,
47,48.997,3217349.92,650987.93,,,0.317,0.072,,
48,50.231,6326300.07,520604.35,,,0.614,0.152,,
49,51.259,2384115.8,369475.69,,,0.414,0.083,,
50,54.603,1061232.23,136253.18,,,0.481,0.106,,
51,56.168,1215672.83,75819.29,,,0.494,0.281,,

