#Peaks: + TIC Scan - DR_NM_183_1.D (DR_NM_183_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.115,139196.67,68233.83,,,0.041,0.041,,
2,4.156,588993.59,102155.99,,,0.338,0.083,,
3,5.087,44304.25,11335.33,,,0.145,0.061,,
4,7.363,121243.99,29479.39,,,0.214,0.051,,
5,7.742,17389.75,3937.57,,,0.136,0.09,,
6,8.728,22193.98,5414.84,,,0.114,0.075,,
7,9.093,21608.81,4816.81,,,0.145,0.059,,
8,9.735,13757.38,2829.25,,,0.165,0.523,,
9,9.914,42049.74,11549.39,,,0.166,0.054,,
10,10.541,5279.61,2376.6,,,0.076,0.53,,
11,11.596,59889.91,16305.83,,,0.17,0.048,,
12,12.293,10161.41,3800.98,,,0.117,0.518,,
13,12.955,27961.26,9533.65,,,0.117,0.043,,
14,13.127,51694.63,18414.88,,,0.122,0.044,,
15,14.072,22395.59,3904.36,,,0.165,0.504,,
16,14.61,5985.93,2433.93,,,0.072,0.049,,
17,14.803,63591.62,24291.3,,,0.105,0.042,,
18,15.058,3785.49,1932.59,,,0.06,0.051,,
19,16.423,8441.09,4727.01,,,0.061,0.032,,
20,17.113,101330.9,37179.67,,,0.103,0.044,,
21,17.209,42032.58,17102.63,,,0.086,0.039,,
22,17.347,89158.72,34109.87,,,0.103,0.042,,
23,17.471,16886.25,5936.67,,,0.106,0.036,,
24,17.602,158151.59,60194.68,,,0.127,0.04,,
25,17.768,42232.26,15586.99,,,0.09,0.047,,
26,17.919,13404.32,6175.32,,,0.095,0.035,,
27,18.05,33567.06,11151.76,,,0.128,0.04,,
28,18.175,276475.92,86045.38,,,0.151,0.048,,
29,18.402,132687.68,31790.98,,,0.179,0.065,,
30,18.609,168667.64,39822.8,,,0.217,0.051,,
31,18.857,69176.4,27941.9,,,0.074,0.04,,
32,18.919,21900.38,11201.87,,,0.056,0.034,,
33,19.009,14601.37,5889.29,,,0.069,0.047,,
34,19.147,41800.29,15555.91,,,0.094,0.042,,
35,19.278,22529.32,10115.63,,,0.066,0.039,,
36,19.354,85638.25,30611.47,,,0.108,0.042,,
37,19.519,1825320.29,694383.65,,,0.17,0.041,,
38,19.816,27015.66,10863.17,,,0.095,0.039,,
39,20.271,7551.84,3638.13,,,0.084,0.029,,
40,20.353,6116.51,3033.17,,,0.067,0.034,,
41,20.698,3273.46,2114.23,,,0.057,0.032,,
42,21.064,55030.92,20163.32,,,0.091,0.045,,
43,21.215,254275.28,66417.74,,,0.219,0.061,,
44,21.56,3187.32,2125.95,,,0.042,0.028,,
45,21.719,439005.32,166281.87,,,0.119,0.042,,
46,21.926,312649.72,107539.62,,,0.116,0.045,,
47,22.119,81417.5,30439.18,,,0.1,0.043,,
48,22.243,72845.2,18792.19,,,0.118,0.066,,
49,22.408,4185.37,3759.33,,,0.042,0.021,,
50,22.546,43429.91,14596.63,,,0.096,0.044,,
51,22.65,28619.61,10384.02,,,0.081,0.043,,
52,22.843,661296.48,180339.13,,,0.198,0.047,,
53,23.036,126345.46,44474.25,,,0.151,0.038,,
54,23.222,155160.78,61019.93,,,0.096,0.042,,
55,23.339,25439.29,7383.03,,,0.09,0.073,,
56,23.422,63575.28,18603.22,,,0.102,0.055,,
57,23.539,18964.53,10562.5,,,0.055,0.032,,
58,23.67,146992.48,39727.57,,,0.131,0.061,,
59,23.81,3364766.14,1181338.92,,S,0.152,0.044,,
60,23.932,35627.6,15294.23,,,0.074,0.04,,
61,24.008,11326.47,8354.12,,,0.048,0.023,,
62,24.139,47070.27,12251.95,,,0.1,0.067,,
63,24.229,38817.52,15828.08,,,0.079,0.04,,
64,24.346,18652.17,6972.87,,,0.079,0.044,,
65,24.539,57321.57,17337.99,,,0.21,0.042,,
66,24.78,4791.87,2165.4,,,0.061,0.045,,
67,24.849,2977.01,2093.6,,,0.041,0.068,,
68,25.16,25292.98,10470.4,,,0.083,0.036,,
69,25.291,1306128.87,459199.89,,,0.241,0.042,,
70,25.677,26933.27,6903.33,,,0.145,0.078,,
71,25.808,1267971.02,451077.38,,,0.155,0.043,,
72,26.084,41117.89,15984.03,,,0.082,0.042,,
73,26.208,234840.34,93527.47,,,0.074,0.05,,
74,26.256,350169.37,110751.89,,,0.12,0.061,,
75,26.415,86689.82,28029.48,,,0.171,0.041,,
76,26.642,21313.9,7924.12,,,0.083,0.051,,
