#Peaks: + TIC Scan - DR_NM_259.D (DR_NM_259.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,25.284,1244613.81,445567.94,,,0.207,0.043,,
2,29.524,2992450.52,1032564.46,,,0.22,0.045,,
3,31.269,926941.34,284537.74,,,0.178,0.05,,
4,32.338,10969921.27,3646633.81,,,0.159,0.046,,
5,32.42,539572.61,236598.94,,,0.041,0.055,,
6,32.51,8835905.74,2798262.3,,,0.131,0.047,,
7,32.627,3346927.48,1102398.47,,,0.145,0.045,,
8,33.027,51254733.21,11901365.04,,,0.262,0.071,,
9,34.565,1389306.8,457553.44,,,0.198,0.046,,
10,35.716,9326461.71,2520681.61,,,0.186,0.05,,
11,35.834,4605658.41,1342733.64,,,0.152,0.05,,
12,36.171,38715194.16,9831901.12,,,0.262,0.063,,
13,36.606,670919.32,141270.16,,,0.29,0.07,,
14,37.606,1280678.63,387733.04,,,0.237,0.048,,
15,38.192,598569.5,189883.5,,,0.107,0.049,,
16,38.695,5879117.97,1625977.57,,,0.159,0.052,,
17,38.805,3618723.42,971076.95,,,0.179,0.053,,
18,39.081,27889884.32,7453488.31,,,0.283,0.058,,
19,39.509,1253032.61,253749.27,,,0.33,0.068,,
20,40.433,652673.63,157760,,,0.274,0.054,,
21,41.467,3655472.31,919815,,,0.145,0.072,,
22,41.522,3575143.45,777507,,,0.193,0.08,,
23,41.798,12336774.84,3460028.33,,,0.234,0.052,,
24,42.191,838955.35,177980.3,,,0.22,0.068,,
25,43.832,1506589.29,314991.35,,,0.214,0.067,,
26,44.032,6333461.03,1409019.75,,,0.179,0.067,,
27,44.122,6791243.24,1601098.34,,,0.186,0.061,,
28,44.342,7007791.54,1754111.89,,,0.29,0.052,,
29,46.218,817786.45,236329.8,,,0.13,0.055,,
30,46.473,6438189.66,1508373.06,,,0.244,0.054,,
31,56.23,1337332.91,59974.22,,,0.957,0.306,,

