#Peaks: + TIC Scan - DR_NM_195.D (DR_NM_195.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.156,627514.18,125884,,,0.219,0.06,,
2,4.377,12390.36,6918.62,,,0.058,0.029,,
3,5.073,36460.45,11586.6,,,0.119,0.047,,
4,5.639,142572.24,10507.5,,,0.448,0.212,,
5,7.363,71256.28,21961.69,,,0.165,0.044,,
6,7.728,22392.3,4271.44,,,0.165,0.099,,
7,8.693,17258.29,4961.13,,,0.117,0.058,,
8,9.086,46187.2,10367.38,,,0.194,0.061,,
9,9.521,8286.54,3017.52,,,0.076,0.043,,
10,9.735,3854.41,2905.02,,,0.053,0.018,,
11,9.9,101305.03,33482.81,,,0.155,0.044,,
12,10.872,4448.31,2118.39,,,0.069,0.697,,
13,11.196,13602.71,4426.58,,,0.102,0.049,,
14,11.376,5392.52,2279.99,,,0.077,0.045,,
15,11.596,106016.63,28960.12,,,0.179,0.05,,
16,11.782,9289.65,4192.07,,,0.081,0.034,,
17,12.286,7777.04,3028.19,,,0.068,0.143,,
18,12.962,16590.11,5366.84,,,0.145,0.043,,
19,13.12,22856.04,8200.52,,,0.088,0.044,,
20,13.865,12189.34,4361.65,,,0.083,0.101,,
21,14.051,41638.96,14581.63,,,0.136,0.043,,
22,14.472,3567.02,2087.66,,,0.065,0.029,,
23,14.603,157714.63,56899.54,,,0.125,0.043,,
24,14.796,11291.36,5430.91,,,0.082,0.036,,
25,15.099,28060.54,6460.45,,,0.132,0.092,,
26,15.361,71400.55,14352.87,,,0.204,0.07,,
27,16.43,4837.95,1918.41,,,0.069,0.164,,
28,16.706,14487.75,2815.92,,,0.159,0.297,,
29,17.113,16230.77,4348.26,,,0.138,0.049,,
30,17.216,114380.91,43527.79,,,0.117,0.041,,
31,17.34,29823.11,11989.31,,,0.094,0.037,,
32,17.602,92927.34,38653.86,,,0.123,0.038,,
33,17.761,20942.58,8101.57,,,0.089,0.045,,
34,18.168,14507.43,3839.62,,,0.152,0.207,,
35,18.747,14971.47,4152.13,,,0.159,0.039,,
36,19.354,140728.64,52686.91,,,0.131,0.041,,
37,19.512,15243.65,5642.97,,,0.097,0.041,,
38,19.816,13973.15,5823.73,,,0.074,0.042,,
39,21.208,63067.24,15536,,,0.152,0.062,,
40,21.712,105444.87,38474.25,,,0.116,0.043,,
41,21.926,4337.39,2685.54,,,0.06,0.029,,
42,22.05,5941.7,2375.27,,,0.09,0.065,,
43,22.243,20023.36,7471.5,,,0.089,0.047,,
44,22.401,12128.41,4826.66,,,0.082,0.041,,
45,23.663,74239.24,27082.42,,,0.093,0.043,,
46,23.746,30610.31,5946.27,,,0.154,0.108,,
47,24.146,14992.06,5160.33,,,0.086,0.046,,
48,24.539,14698.66,4828.17,,,0.103,0.046,,
49,24.732,11736.59,3433.8,,,0.11,0.047,,
50,25.291,409507.85,147615.63,,,0.165,0.042,,
51,25.566,4679.54,2386.03,,,0.067,0.123,,
52,25.67,1329.96,1561.95,,,0.036,0.021,,
53,25.801,367160.87,128391.86,,,0.144,0.044,,
54,26.208,28614.08,7282.25,,,0.169,0.06,,
55,27.028,76698.96,24271.82,,,0.151,0.05,,
56,27.594,39843.36,12052.45,,,0.138,0.049,,
57,27.711,45611.06,16252.26,,,0.109,0.041,,
58,28.104,31044.93,11324.96,,,0.096,0.044,,
59,28.793,33769.28,7546.89,,,0.204,0.052,,
60,29.035,146509.09,41993,,,0.138,0.049,,
61,29.152,123808.87,42180.49,,,0.097,0.045,,
62,29.255,409449.73,108855.56,,,0.2,0.045,,
63,29.428,23918.07,8618.69,,,0.062,0.09,,
64,29.538,6129057.61,2103139.96,,,0.234,0.046,,
65,29.931,12647.51,4705.33,,,0.083,0.049,,
66,30.152,28380.75,10082.97,,,0.09,0.05,,
67,30.276,494498.05,129751.18,,,0.248,0.048,,
68,30.545,17712.64,6362.18,,,0.096,0.051,,
69,30.662,18093.5,6027.22,,,0.102,0.046,,
70,30.779,71214.66,15085.7,,,0.138,0.079,,
71,31.055,57727.36,16912.46,,,0.124,0.05,,
72,31.179,23008.39,8110.4,,,0.083,0.044,,
73,31.283,909960.04,308233.87,,,0.145,0.046,,
74,31.49,17115.47,5717.5,,,0.09,0.047,,
75,31.717,45058.22,17067.93,,,0.092,0.043,,
76,32.331,3129611.93,1039293.3,,,0.138,0.044,,
77,32.51,4728688.51,1054253.3,,,0.193,0.055,,
78,32.634,1020396.6,309967.3,,,0.117,0.054,,
79,32.772,1864630.73,437803.3,,,0.145,0.069,,
80,33.041,62593494.12,13749172.44,,,0.276,0.076,,
81,33.42,61197.59,24474.28,,,0.084,0.041,,
82,33.551,83031.27,22949.25,,,0.189,0.052,,
83,34.144,233191.55,50800.65,,,0.24,0.055,,
84,34.261,25790.13,9398.43,,,0.069,0.073,,
85,34.344,46436.49,15608.43,,,0.083,0.051,,
86,34.413,47346.93,13477.95,,,0.097,0.079,,
87,34.572,2562107.77,833601.24,,,0.221,0.047,,
88,34.765,23084.04,8068.85,,,0.092,0.049,,
89,35.034,32728.98,12918.35,,,0.091,0.041,,
90,35.365,40192.02,14514.7,,,0.104,0.044,,
91,35.716,6761122.41,1289669.35,,,0.228,0.068,,
92,35.841,1414611.28,395173.01,,,0.145,0.067,,
93,36.013,343556.07,90289.65,,,0.097,0.074,,
94,36.185,46784172.33,11181144.5,,,0.262,0.068,,
95,36.627,781366.79,164926.31,,,0.219,0.074,,
96,36.889,23438.73,8161.34,,,0.097,0.047,,
97,37.233,66052.04,22716.8,,,0.097,0.044,,
98,37.33,320255.12,77109,,,0.15,0.064,,
99,37.62,2096298.72,675428.8,,,0.203,0.047,,
100,38.102,62056.38,19873.3,,,0.105,0.05,,
101,38.206,41206.18,13120.1,,,0.076,0.065,,
102,38.281,220549.78,53670.79,,,0.204,0.051,,
103,38.702,3931935.55,619400.66,,,0.269,0.091,,
104,38.812,776339.48,276743.11,,,0.048,0.055,,
105,38.874,1440181.07,349313.48,,,0.11,0.081,,
106,39.109,39651033.48,9673919.72,,,0.269,0.065,,
107,39.516,1898430.41,441381.25,,,0.229,0.06,,
108,39.881,35367.2,7754.42,,,0.142,0.102,,
109,40.254,9397547.35,2126777.69,,,0.234,0.06,,
110,40.447,1838098.2,497169.02,,,0.22,0.052,,
111,40.867,130140.56,26991.23,,,0.193,0.057,,
112,41.109,166250.8,42451.4,,,0.196,0.056,,
113,41.35,470369.86,120267.14,,,0.113,0.075,,
114,41.543,6381164.65,1130881.83,,,0.186,0.07,,
115,41.598,6052903.34,1104041.17,,,0.159,0.084,,
116,41.819,20323452.71,5599585.25,,,0.221,0.054,,
