#Peaks: + TIC Scan - DR_NM_214_1.D (DR_NM_214_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.115,75184.27,40154.51,,,0.041,0.034,,
2,4.156,215906.27,51668.02,,,0.171,0.067,,
3,4.522,12783.16,3459.32,,,0.11,0.218,,
4,5.073,62121.79,12734.41,,,0.236,0.051,,
5,5.646,44388.67,4493.46,,,0.297,0.196,,
6,6.666,28054.3,5625.88,,,0.172,0.076,,
7,7.142,5881.76,2688.06,,,0.07,0.045,,
8,7.356,651067.48,150884.42,,,0.262,0.054,,
9,7.735,22000.43,3739.3,,,0.194,0.088,,
10,8.1,4791.61,1587.68,,,0.09,0.287,,
11,8.686,29558.33,6144.08,,,0.179,0.062,,
12,9.086,42946.67,9081.56,,,0.196,0.064,,
13,9.728,5691.29,2549.3,,,0.059,0.037,,
14,9.907,119929.79,34362.23,,,0.187,0.048,,
15,10.838,15609.1,4837.77,,,0.123,0.047,,
16,11.183,520998.08,140749.63,,,0.23,0.053,,
17,11.645,439994.09,109785.58,,,0.217,0.061,,
18,12.293,2942.3,1989.77,,,0.049,0.029,,
19,12.486,8133.11,2880.32,,,0.076,0.212,,
20,13.051,792801.99,174980.76,,,0.176,0.071,,
21,13.12,94628.94,25666.26,,,0.152,0.061,,
22,13.734,54984.87,18936.89,,,0.127,0.043,,
23,14.065,59833.12,19276.85,,,0.157,0.041,,
24,14.603,49932.19,18336.24,,,0.11,0.043,,
25,14.789,10552.16,3957.96,,,0.077,0.048,,
26,15.079,41785.69,10402.34,,,0.152,0.051,,
27,15.285,3596.13,2177.64,,,0.059,0.023,,
28,16.14,3856.76,2304.44,,,0.046,0.028,,
29,16.223,11728.98,4635.59,,,0.089,0.041,,
30,17.106,5958.71,2263.24,,,0.074,0.11,,
31,17.209,20811.82,7576.51,,,0.105,0.044,,
32,17.34,56054.21,21081.36,,,0.102,0.042,,
33,17.595,87197.71,34985.18,,,0.115,0.039,,
34,17.768,13573.5,5310.13,,,0.091,0.034,,
35,18.74,11624.51,5039.32,,,0.088,0.033,,
36,19.03,4202.92,2561.96,,,0.062,0.132,,
37,19.347,87385.96,30201.26,,,0.136,0.044,,
38,19.505,13178.39,3787.8,,,0.11,0.083,,
39,19.809,6594.15,3095.34,,,0.082,0.035,,
40,21.057,2932,1973.81,,,0.06,0.016,,
41,21.209,226454.59,69446.2,,,0.158,0.05,,
42,21.553,14172.67,5260.24,,,0.083,0.04,,
43,21.712,113164.81,41730.5,,,0.122,0.042,,
44,22.236,1116442.93,410843.41,,,0.193,0.04,,
45,22.636,15940.39,3483.76,,,0.179,0.223,,
