#Peaks: + TIC Scan - DR_NM_062_1.D (DR_NM_062_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,11.19,3521543.59,1090140.93,,,0.227,0.046,,
2,13.127,1231365.41,261812.78,,,0.268,0.055,,
3,22.25,796855.74,290518.68,,,0.2,0.04,,
4,23.843,759931.43,263658.9,,,0.202,0.043,,
5,25.304,5418514.66,1935824.19,,,0.186,0.044,,
6,25.822,10860147.33,3575329.47,,,0.241,0.046,,
7,27.718,805026.1,285396.86,,,0.186,0.043,,
8,29.262,705798.69,233945.47,,,0.217,0.044,,
9,29.559,12926277.11,4248269.11,,,0.159,0.048,,
10,30.317,1994476.2,529979.45,,,0.252,0.053,,
11,31.283,1209864.72,377661.37,,,0.159,0.049,,
12,32.379,27482164.27,8085695.21,,,0.193,0.052,,
13,32.531,9772749.09,3162129.56,,,0.124,0.048,,
14,32.648,3450895.26,1054340.95,,,0.145,0.049,,
15,33.048,52971663.39,12045060.83,,,0.241,0.072,,
16,34.248,5312562.56,670662.5,,,0.42,0.114,,
17,34.579,1848836.87,623216.28,,,0.157,0.046,,
18,35.33,667567.38,197616.52,,,0.172,0.047,,
19,35.758,18661648.07,4518911.53,,,0.186,0.067,,
20,35.813,14438940.92,3058583.72,,,0.228,0.081,,
21,36.199,46980238.38,10772490.75,,,0.262,0.071,,
22,37.344,13779444.69,2488971.45,,,0.359,0.084,,
23,37.626,1146837.92,313501.36,,,0.213,0.053,,
24,38.254,25545256.46,7574155.99,,,0.233,0.05,,
25,38.709,3469104.81,1033705.81,,,0.131,0.067,,
26,38.785,4158613.44,728888.06,,,0.214,0.093,,
27,39.102,25518221.48,7069017.65,,,0.248,0.056,,
28,39.516,1542824.58,378747.97,,,0.203,0.058,,
29,40.185,3063454.32,656059.7,,,0.265,0.056,,
30,40.447,651248.03,207716.35,,,0.153,0.047,,
31,41.536,2580600.01,319979.18,,,0.338,0.111,,
32,41.812,15789352.63,4548666.65,,,0.255,0.051,,
33,42.205,1036810.81,236930.23,,,0.183,0.064,,
34,42.377,646516.5,109113.11,,,0.297,0.063,,
35,42.984,7448203.71,1559678.86,,,0.31,0.058,,
36,44.053,9845361.16,2437225.47,,,0.159,0.062,,
37,44.15,6827565.51,1905830.59,,,0.097,0.058,,
38,44.253,6288254.29,1401118.97,,,0.11,0.08,,
39,44.37,11017926.56,2682954.7,,,0.234,0.055,,
40,45.549,16745801.88,2707771.29,,,0.301,0.104,,
41,46.246,3094042.11,842907.27,,,0.166,0.053,,
42,46.515,20703764.06,4912330.24,,,0.193,0.057,,
43,46.618,11207402.15,2722505.68,,,0.11,0.068,,
44,46.749,4287921.25,640293.82,,,0.214,0.116,,
45,46.935,577716.71,150184.65,,,0.133,0.062,,
46,47.928,4834986.38,963980.49,,,0.281,0.064,,
47,48.494,1102909.08,380606.11,,,0.09,0.047,,
48,48.59,1009236.7,316092.14,,,0.104,0.052,,
49,48.721,977396.59,175275.85,,,0.208,0.067,,
50,49.007,3067186.58,427756.95,,S,0.326,0.1,,
51,49.335,593044.92,64727.54,,,0.228,0.33,,
52,49.59,673626.83,58569.41,,,0.283,0.477,,
53,50.038,758639.18,215693.16,,,0.12,0.058,,
54,50.19,1707043.88,333092.39,,,0.295,0.068,,
55,52.348,1510310.06,88901.43,,,0.716,0.34,,
56,56.741,6350843.54,822712.46,,,0.371,0.114,,

