#Peaks: + TIC Scan - DR_NM_095.D (DR_NM_095.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,11.183,4206235.43,1318744.53,,,0.223,0.046,,
2,13.044,724653.72,162814.08,,,0.191,0.068,,
3,22.236,1807511.96,664173.07,,,0.227,0.04,,
4,25.291,1089024.8,402744.3,,,0.179,0.042,,
5,29.566,21001863.14,6571861.9,,,0.238,0.05,,
6,31.283,1214307.12,399689.28,,,0.206,0.046,,
7,32.345,12014739.97,3909778.94,,,0.193,0.044,,
8,32.517,10188437.39,3267195.17,,,0.131,0.048,,
9,32.634,1229593.99,379350.79,,,0.131,0.048,,
10,33.041,63099294.71,13547556.44,,,0.241,0.076,,
11,34.572,2236551.94,763243.46,,,0.171,0.045,,
12,35.73,13424467.73,3683522.38,,,0.2,0.049,,
13,35.84,1894688.53,500384.38,,,0.152,0.06,,
14,36.192,52150401.41,12054078.48,,,0.262,0.071,,
15,37.33,3300152.5,807317.5,,,0.262,0.056,,
16,37.613,1188821.18,340786.49,,,0.228,0.05,,
17,38.702,3736949.22,1030946.65,,,0.165,0.053,,
18,38.812,922817.96,190469.02,,,0.165,0.082,,
19,39.088,26186550.17,7246844.55,,,0.241,0.055,,
20,40.178,5794401.56,1281248.9,,,0.29,0.054,,
21,40.44,919293.67,191079.85,,,0.262,0.058,,
22,41.474,1646210.96,238529.15,,,0.303,0.105,,
23,41.812,17102483.15,4805346.53,,,0.234,0.052,,
24,42.97,2822603.86,576158.01,,,0.214,0.065,,
25,44.03,9489993.64,2170220,,S,0.172,0.069,,
26,44.129,5992815.45,1338898,,,0.186,0.066,,
27,44.363,11099803.53,2740495.93,,,0.262,0.052,,
28,45.529,11917807.6,1966947.7,,,0.331,0.071,,
29,46.239,1364037.04,322616.72,,,0.172,0.061,,
30,46.494,12013317.1,2975373.32,,,0.179,0.056,,
31,46.604,8234771.83,1968724.61,,,0.152,0.061,,
32,46.749,1730031.72,316923.33,,,0.172,0.095,,
33,47.914,5361865.6,709895.73,,,0.446,0.118,,
34,48.487,682937.63,191791.26,,,0.105,0.061,,
35,48.831,754236.06,150358.05,,,0.145,0.075,,
36,49.024,1901662.13,220333.25,,,0.359,0.128,,
37,50.183,1815096.49,286921.03,,,0.324,0.077,,
38,56.168,704656.25,34750.21,,,0.807,0.3,,

