#Peaks: + TIC Scan - DR_NM_246.D (DR_NM_246.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.156,300319.36,64089.5,,,0.196,0.072,,
2,4.377,20968.85,6110.01,,,0.097,0.064,,
3,4.99,6778.19,3219.8,,,0.055,0.313,,
4,5.066,101566.64,23476.22,,,0.248,0.051,,
5,6.659,17471.3,2807.28,,,0.219,0.181,,
6,7.121,10415.61,2961.28,,,0.103,0.06,,
7,7.349,270799.6,79445.92,,,0.206,0.045,,
8,8.7,11679.15,3065.24,,,0.151,0.055,,
9,9.093,95317.4,23577.33,,,0.221,0.051,,
10,9.507,8488.94,3410.61,,,0.088,0.035,,
11,9.728,4676.23,2855.46,,,0.06,0.027,,
12,9.893,78091.12,24039.57,,,0.176,0.046,,
13,10.541,1980.44,1445.61,,,0.04,0.208,,
14,11.196,5907.77,1972.95,,,0.081,0.349,,
15,11.355,6505.71,2215.84,,,0.082,0.063,,
16,11.61,174168.41,48873.57,,,0.18,0.05,,
17,11.775,9071.57,3232.5,,,0.101,0.045,,
18,12.286,10383.38,4714.51,,,0.069,0.042,,
19,12.499,3257.1,2858.08,,,0.046,0.022,,
20,12.948,37716.47,13825.6,,,0.124,0.04,,
21,13.12,24859.34,8815.91,,,0.109,0.043,,
22,13.927,3103.6,2218.83,,,0.062,0.021,,
23,14.058,29879.38,8282.57,,,0.169,0.046,,
24,14.596,152241.78,55640.25,,,0.124,0.043,,
25,14.796,15285.31,6706.19,,,0.094,0.034,,
26,15.037,16341.89,5573.12,,,0.097,0.044,,
27,16.133,10286.71,4341.74,,,0.069,0.043,,
28,16.223,9523.27,3195.55,,,0.097,0.06,,
29,16.637,7550.12,3308.68,,,0.093,0.033,,
30,16.74,15942.85,4955.42,,,0.135,0.036,,
31,17.112,6910.04,3868.54,,,0.058,0.032,,
32,17.209,111471.09,43129.05,,,0.106,0.041,,
33,17.34,29792.49,12921.39,,,0.085,0.039,,
34,17.471,3036.33,1724.8,,,0.053,0.041,,
35,17.595,88776.85,36593.81,,,0.107,0.038,,
36,17.754,19969.55,7152.25,,,0.103,0.044,,
37,18.161,6083.21,2387.34,,,0.079,0.054,,
38,18.747,23909.58,9806.28,,,0.094,0.038,,
39,19.347,163662.26,63706.57,,,0.126,0.039,,
40,19.505,21159.07,7548.52,,,0.099,0.044,,
41,19.809,64669.52,20259.66,,,0.124,0.046,,
42,21.057,181226.74,67453.57,,,0.117,0.042,,
43,21.208,495175.85,154048.61,,,0.165,0.046,,
44,21.332,7752.06,2654.92,,,0.083,0.064,,
45,21.553,4775.1,1991.8,,,0.062,0.048,,
46,21.705,471935.37,179963.92,,,0.214,0.04,,
47,21.925,5448.09,2486.08,,,0.069,0.039,,
48,22.036,5249.85,2432.09,,,0.08,0.029,,
49,22.236,27813.03,8917.62,,,0.143,0.045,,
50,23.284,2928.47,1612.4,,,0.067,0.254,,
51,23.387,6799.01,3524.93,,,0.069,0.03,,
52,23.663,89954.87,33185.19,,,0.114,0.043,,
53,23.801,25015.92,9099.7,,,0.121,0.042,,
54,24.146,72799.66,28029.66,,,0.13,0.041,,
55,24.532,16444.64,5926.42,,,0.111,0.046,,
56,25.146,40543.66,14367.8,,,0.094,0.044,,
57,25.284,473212.05,140390.77,,,0.255,0.046,,
58,25.67,8404.09,3570.71,,,0.078,0.049,,
59,25.794,1453112.55,500500.92,,,0.221,0.043,,
60,26.187,31271.59,11873.83,,,0.103,0.044,,
61,27.042,29873.13,9286.58,,,0.106,0.052,,
62,27.2,14454.85,3455.25,,,0.152,0.056,,
63,27.587,39010.87,13279.94,,,0.131,0.043,,
64,27.704,64065.85,23632.96,,,0.111,0.043,,
65,28.097,96791.83,35422.05,,,0.115,0.042,,
66,28.924,47787.14,18115.5,,,0.09,0.043,,
67,29.035,670834.96,216393.73,,,0.131,0.048,,
68,29.145,210784.99,76350.09,,,0.097,0.043,,
69,29.248,358570.67,119307.47,,,0.158,0.045,,
70,29.531,4363572.98,1533986.79,,,0.213,0.045,,
71,29.945,8845.46,3182.92,,,0.076,0.04,,
72,30.138,7140.38,3786.8,,,0.052,0.055,,
73,30.248,114077,22436.18,,,0.268,0.071,,
74,30.552,2751.48,2606.43,,,0.043,0.016,,
75,30.8,185086.28,46703.98,,,0.172,0.051,,
76,30.91,39713.86,14111.37,,,0.092,0.044,,
77,31.172,24013.57,8772.18,,,0.078,0.042,,
78,31.276,1062949.16,354490.99,,,0.193,0.046,,
79,31.703,166265.09,60686.34,,,0.141,0.042,,
80,32.338,9639894.28,3243991.98,,,0.138,0.045,,
81,32.42,1409621.51,467908.58,,,0.062,0.069,,
82,32.517,11764523.31,3516594.16,,,0.124,0.051,,
83,32.627,5671207.6,1889829.29,,,0.124,0.046,,
84,32.758,727244.01,182643.68,,,0.131,0.057,,
85,33.055,74611081.04,14310761.11,,,0.283,0.087,,
86,33.227,169284.6,45229.69,,,0.124,0.078,,
87,33.413,116981.16,43550.54,,,0.097,0.044,,
88,33.544,75768.57,22735.61,,,0.109,0.055,,
89,33.641,25184.18,7733.8,,,0.094,0.055,,
90,33.979,15652.32,6837.63,,,0.067,0.038,,
91,34.137,398650.03,90356.12,,,0.192,0.055,,
92,34.261,107248.41,33503.09,,,0.09,0.053,,
93,34.344,47132.33,12998.05,,,0.157,0.053,,
94,34.565,2286793.14,750339.26,,,0.2,0.046,,
95,35.027,106416.55,33751.66,,,0.16,0.048,,
96,35.351,17235.42,5636.56,,,0.097,0.054,,
97,35.558,147051.95,47004.33,,,0.103,0.063,,
98,35.723,11422633.79,2852904.33,,,0.193,0.051,,
99,35.833,6848660.01,1918249.33,,,0.165,0.05,,
100,35.985,246308.49,65263.33,,,0.069,0.083,,
101,36.199,59799689.27,12810787.94,,,0.29,0.077,,
102,36.33,318433.7,69391.33,,,0.191,0.091,,
103,36.606,774846.8,177910.34,,,0.28,0.065,,
104,36.875,31533.04,9206.83,,,0.103,0.048,,
