#Peaks: + TIC Scan - DR_NM_075_1.D (DR_NM_075_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,6.57,852957.54,141350.59,,,0.398,0.073,,
2,13.134,624412.61,216863.61,,,0.162,0.045,,
3,17.347,710607.14,255547.46,,,0.145,0.043,,
4,21.195,664997.13,205538.11,,,0.198,0.049,,
5,23.836,660279.26,240025.36,,,0.233,0.042,,
6,25.291,583657.44,211076.14,,,0.186,0.042,,
7,25.815,7154727.09,2473004.53,,,0.214,0.043,,
8,27.083,1198845.03,357481.68,,,0.219,0.045,,
9,27.711,501255.92,182845.05,,,0.179,0.042,,
10,29.262,1412311.01,482000.05,,,0.2,0.042,,
11,29.545,6010578.61,2065190.55,,,0.145,0.045,,
12,30.366,11302492.5,2115372.33,,,0.4,0.073,,
13,30.717,382781.33,81412.82,,,0.171,0.08,,
14,31.283,478270.57,163124.73,,,0.118,0.046,,
15,32.372,24130482.32,7292171.84,,,0.2,0.051,,
16,32.517,4711987.31,1382598.87,,,0.124,0.05,,
17,32.634,2550357.66,676069.49,,,0.152,0.052,,
18,32.807,764560.83,123057.18,,,0.159,0.097,,
19,33,23555447.34,6996944.05,,,0.186,0.053,,
20,34.234,3620685.98,479541.7,,,0.428,0.114,,
21,34.572,919918.96,297437.81,,,0.172,0.047,,
22,35.799,15666294.03,2417021.05,,,0.345,0.092,,
23,36.172,31216340.39,8593050.33,,,0.207,0.059,,
24,37.33,10965805.73,2090007.07,,,0.33,0.081,,
25,37.62,1403982.62,416001.84,,,0.189,0.052,,
26,38.233,18669211.1,5927043.83,,,0.22,0.047,,
27,38.702,2228054.21,590384.14,,,0.138,0.062,,
28,38.778,4181125.27,722302.54,,,0.207,0.111,,
29,39.102,33760480.29,8896462.1,,,0.255,0.059,,
30,40.178,1194421.21,178803.03,,,0.255,0.117,,
31,40.447,579536.02,158450.18,,,0.2,0.051,,
32,40.867,4312707.76,1403848.17,,,0.193,0.047,,
33,41.474,2198375.75,321667.5,,,0.317,0.087,,
34,41.798,7025253.9,2024078.81,,,0.241,0.05,,
35,42.977,5372731.33,1219458.96,,,0.29,0.055,,
36,44.032,2041481.74,412937,,,0.172,0.077,,
37,44.129,1826978.66,507057,,,0.09,0.061,,
38,44.239,4690509.26,1066460.59,,,0.124,0.071,,
39,44.35,3351848.1,851467.88,,,0.124,0.062,,
40,44.467,837477.99,204252.97,,,0.164,0.088,,
41,45.536,12094200.31,1966566.41,,,0.303,0.095,,
42,45.749,362499.8,83882,,,0.131,0.093,,
43,46.487,2074675.66,636320.6,,,0.11,0.052,,
44,46.597,6970808.12,1736381.2,,,0.131,0.062,,
45,46.708,2878172.9,416711.64,,,0.221,0.109,,
46,47.914,3747794.69,719736.24,,,0.345,0.064,,
47,49.031,338100.12,94065.87,,,0.124,0.057,,
48,50.838,2047395.92,61556.95,,,0.937,0.657,,
49,52.341,2876150.89,101600.78,,,1.047,0.519,,
50,54.031,2846245.38,59853.52,,,1.397,1.02,,
51,56.168,1352063.13,54369.25,,,0.765,0.764,,
52,56.727,4909882.14,550920.19,,,0.552,0.123,,

