#Peaks: + TIC Scan - DR_NM_104.D (DR_NM_104.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.99,241383.89,45235.31,,,0.321,0.055,,
2,5.625,20050.03,4854.56,,,0.179,0.087,,
3,6.301,11186.03,2823.7,,,0.138,0.435,,
4,7.362,63625.7,16930.88,,,0.214,0.048,,
5,8.693,239015.65,61706.04,,,0.217,0.053,,
6,9.907,27721.63,9032.93,,,0.156,0.04,,
7,11.217,7469.4,2154.94,,,0.103,0.243,,
8,11.582,25315.46,5437.87,,,0.178,0.071,,
9,12.3,3514.48,1650,,,0.062,0.553,,
10,13.01,266905.15,73953.45,,,0.172,0.052,,
11,13.127,343174.09,116478.58,,,0.151,0.045,,
12,13.727,26318.7,8512.14,,,0.11,0.041,,
13,14.065,6523.61,2040.21,,,0.105,0.197,,
14,16.237,8192.94,2808.56,,,0.089,0.055,,
15,16.761,4486.05,2091.79,,,0.09,0.126,,
16,17.209,63684.01,25106.4,,,0.102,0.04,,
17,17.347,661604.5,239722.65,,,0.128,0.043,,
18,17.768,14323.94,4393.72,,,0.097,0.043,,
19,18.747,9091.57,3543.15,,,0.097,0.033,,
20,19.181,2791.01,1735.62,,,0.048,0.374,,
21,19.512,8642.31,2908.78,,,0.102,0.043,,
22,19.822,6993.27,2583,,,0.103,0.042,,
23,21.057,29694.94,10967.29,,,0.103,0.044,,
24,21.188,1426103.2,483352.31,,,0.191,0.045,,
25,21.574,7419.4,2506.21,,,0.078,0.054,,
26,21.712,236766.75,89286.31,,,0.203,0.04,,
27,22.236,752472.43,272311.3,,,0.234,0.04,,
28,23.049,5344.8,2047.14,,,0.093,0.151,,
29,23.291,11351.77,2407.31,,,0.162,0.124,,
30,23.567,5412.28,2461.02,,,0.075,0.035,,
31,23.815,12133.27,3753.47,,,0.097,0.054,,
32,23.946,6030.51,2205.64,,,0.069,0.049,,
33,24.16,28836.09,10961.4,,,0.087,0.044,,
34,24.539,1128367.98,398227.23,,,0.168,0.044,,
35,25.166,21465.01,7973.68,,,0.087,0.046,,
