#Peaks: + TIC Scan - STDH_SSL_2203.D (STDH_SSL_2203.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.129,1256098.84,879711,,,0.081,0.019,,
2,4.253,15762.61,10052.73,,,0.055,0.033,,
3,4.404,17490.96,12059.51,,,0.039,0.027,,
4,4.467,353735.21,255271.24,,,0.062,0.021,,
5,4.515,45196.64,24100.79,,,0.069,0.026,,
6,4.584,16314.32,10108.83,,,0.07,0.048,,
7,4.791,97549.5,17562.2,,,0.152,0.124,,
8,4.86,380398.81,200429.2,,,0.097,0.026,,
9,4.977,810999.39,314918.05,,,0.117,0.041,,
10,5.073,217617.98,131803.41,,,0.09,0.025,,
11,5.163,22536.1,13051.76,,,0.059,0.028,,
12,5.26,84342.84,50546.58,,,0.064,0.027,,
13,5.404,31554.02,15253.66,,,0.07,0.032,,
14,5.48,3614556.06,1861948.88,,,0.148,0.029,,
15,6.011,37421.38,19596.12,,,0.084,0.028,,
16,6.108,13167.03,7453.43,,,0.054,0.028,,
17,6.184,9685.57,6272.9,,,0.047,0.026,,
18,6.266,392043.16,206600.33,,,0.106,0.03,,
19,6.556,21391.2,8050.75,,,0.094,0.033,,
20,6.632,21600.76,7608.66,,,0.067,0.076,,
21,6.701,21726.46,7326.57,,,0.111,0.047,,
22,7.307,26237.57,8545.13,,,0.109,0.056,,
23,7.438,7967.42,4552.14,,,0.058,0.029,,
24,7.535,27470.13,9915.46,,,0.11,0.034,,
25,7.68,37406.75,14749.94,,,0.096,0.038,,
26,7.942,14374.44,7622.7,,,0.063,0.032,,
27,8.149,694733.79,236021.66,,,0.212,0.036,,
28,8.466,11109.85,4860.66,,,0.087,0.031,,
29,8.721,11220.27,4979.71,,,0.059,0.043,,
30,8.866,2211305.31,917044.41,,,0.136,0.037,,
31,8.99,472952.59,196280.81,,,0.138,0.037,,
32,9.521,333208.32,135282.99,,,0.161,0.038,,
33,9.886,11226.83,5344.72,,,0.076,0.033,,
34,10.286,7046.42,3692.51,,,0.063,0.037,,
35,10.548,17408.91,6645.62,,,0.09,0.037,,
36,11.5,17805.48,7477.1,,,0.08,0.039,,
37,11.872,6470.12,3774.65,,,0.066,0.059,,
38,12.224,23081.67,7073.03,,,0.125,0.058,,
39,12.389,10454.49,3349.84,,,0.097,0.111,,
40,12.638,12165.58,3743.97,,,0.097,0.061,,
41,12.824,7415.32,3084.72,,,0.076,0.192,,
42,13.058,10666.45,3524.29,,,0.097,0.051,,
43,13.217,3138857.44,984494.99,,,0.193,0.049,,
