#Peaks: + TIC Scan - STDH_SSL_2204_3.D (STDH_SSL_2204_3.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.205,17075.76,7065.2,,,0.093,0.038,,
2,4.411,231500.05,161484.12,,,0.055,0.022,,
3,4.467,20482.1,14299.17,,,0.063,0.023,,
4,4.536,6302.47,6688.45,,,0.029,0.018,,
5,4.798,216873.22,129859.42,,,0.103,0.024,,
6,4.922,562964.01,232862.76,,,0.103,0.038,,
7,5.011,159274.31,91958.91,,,0.11,0.025,,
8,5.101,8444.91,6421.07,,,0.05,0.02,,
9,5.198,58669.09,34819.96,,,0.089,0.026,,
10,5.328,18000.31,7867.09,,,0.075,0.039,,
11,5.418,771254.26,392039.37,,,0.131,0.028,,
12,5.715,3905.2,2770.4,,,0.041,0.024,,
13,5.935,28989.64,12637.18,,,0.089,0.036,,
14,6.032,16275.65,10108.81,,,0.069,0.025,,
15,6.108,28339.05,15045.09,,,0.068,0.031,,
16,6.19,250469.69,130598.49,,,0.115,0.03,,
17,6.48,10529.21,4731.71,,,0.086,0.037,,
18,6.556,15962.44,6221.92,,,0.069,0.046,,
19,6.625,12341.64,5406.92,,,0.103,0.031,,
20,6.797,4174.46,2897.29,,,0.062,0.021,,
21,7.211,13692.22,5078.97,,,0.088,0.05,,
22,7.356,5689.68,3566.66,,,0.056,0.027,,
23,7.445,27705.45,9183.06,,,0.116,0.037,,
24,7.59,32216.81,12000.04,,,0.122,0.039,,
25,7.866,4405.83,2414.11,,,0.083,0.017,,
26,8.059,464850.95,162872.89,,,0.248,0.035,,
27,8.631,4484.21,2478.35,,,0.055,0.035,,
28,8.783,570587.01,235901.82,,,0.117,0.037,,
29,8.9,312719.18,135215.24,,,0.121,0.036,,
30,9.424,219703.11,88593.22,,,0.141,0.038,,
31,9.555,5398.2,2476.64,,,0.069,0.04,,
32,9.79,7379.44,3545.29,,,0.068,0.034,,
33,10.197,4777.36,2521.66,,,0.06,0.033,,
34,10.452,21311.47,7144.14,,,0.145,0.04,,
35,11.403,12067.17,5627.98,,,0.082,0.033,,
36,11.783,7673.1,2636.92,,,0.103,0.268,,
37,12.114,20173.36,5475.48,,,0.124,0.065,,
38,12.286,7646.76,2779.87,,,0.097,0.044,,
39,12.534,7275.41,2245,,,0.097,0.052,,
40,12.713,3539.28,1672.38,,,0.069,0.041,,
41,12.865,5170.47,2123.28,,,0.087,0.046,,
42,12.948,10759.25,3233.36,,,0.094,0.06,,
43,13.107,358559.07,98536.07,,,0.176,0.058,,
44,13.893,28344.54,3950.95,,,0.234,0.11,,
45,14.286,27903.27,4167.44,,,0.208,0.12,,
46,14.548,8866.63,2591.75,,,0.11,0.054,,
47,14.803,9327.89,2389.82,,,0.117,0.069,,
48,15.134,16053.33,3851.45,,,0.123,0.072,,
49,15.375,1078.82,1759.37,,,0.021,0.067,,
50,16.03,1100.9,1311.73,,,0.034,0.009,,
51,17.326,243075.79,51845.95,,,0.163,0.079,,
