#Peaks: + TIC Scan - STDL_SSL_2203.D (STDL_SSL_2203.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,5.066,44125528.31,6327681.86,,,0.455,0.073,,
2,7.314,38736771.99,7867657.85,,,0.309,0.062,,
3,8.783,4109666.4,615134.28,,,0.356,0.121,,
4,9.824,34842383.24,9063654.96,,,0.255,0.056,,
5,12.396,29930242.99,9386505.59,,,0.225,0.051,,
6,13.217,6458097.87,2050234.62,,,0.214,0.049,,
7,14.913,29644001.99,9520223.03,,,0.241,0.051,,
8,17.333,31090943.6,9810335.68,,,0.154,0.052,,
9,17.43,2925845.17,1038653.06,,,0.204,0.044,,
10,19.636,32392013.82,10018967.51,,,0.234,0.052,,
11,21.277,679943.64,227335.18,,,0.215,0.046,,
12,21.836,33600861.53,10091790.87,,,0.221,0.054,,
13,23.932,34409913.17,10222953.14,,,0.234,0.055,,
14,25.932,35348077.62,10382755.76,,,0.243,0.055,,
15,27.842,35986728.49,10244906.82,,,0.248,0.056,,

