#Peaks: + TIC Scan - STDL_SSL_2204_2.D (STDL_SSL_2204_2.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,5.025,27498447.71,4783226.92,,,0.352,0.064,,
2,5.721,26847,5258.15,,,0.203,0.068,,
3,6.252,5395.14,2542,,,0.083,0.11,,
4,7.025,10565.12,3019.5,,,0.117,0.065,,
5,7.273,27261940.02,5980256.07,,,0.271,0.058,,
6,7.907,13938.3,2858.22,,,0.172,0.073,,
7,8.728,784945.08,203773.75,,,0.232,0.054,,
8,9.555,12145.53,2902.39,,,0.131,0.23,,
9,9.79,24833898.86,6920797.07,,,0.228,0.052,,
10,11.396,4466.32,1962.8,,,0.078,0.139,,
11,11.582,21116.53,3884.72,,,0.175,0.094,,
12,12.362,21381514.01,6906104.5,,,0.198,0.049,,
13,13.003,3561.49,3169.54,,,0.041,0.022,,
14,13.175,1518005.05,533969.08,,,0.163,0.044,,
15,13.934,5487.56,2078.74,,,0.072,0.048,,
16,14.878,21245198.91,7077698.99,,,0.22,0.048,,
17,15.72,3019.25,3086.83,,,0.04,0.014,,
18,17.299,22507169.09,7353034.18,,,0.152,0.049,,
19,17.402,1908970.14,672870.24,,,0.172,0.044,,
20,17.823,1968.4,1628.03,,,0.039,0.186,,
21,18.361,18266.76,3333.85,,,0.184,0.138,,
22,19.057,853697.78,90652.57,,,0.478,0.133,,
23,19.609,23666539.32,7567200.93,,,0.214,0.05,,
24,20.588,2721.95,2515.58,,,0.041,0.014,,
25,21.036,23152.76,5316.83,,,0.131,0.079,,
26,21.243,1717039.65,574901.96,,,0.159,0.046,,
27,21.367,22606.21,8884.24,,,0.08,0.048,,
28,21.636,5776.11,3726.16,,,0.046,0.023,,
29,21.808,24526938.08,7625563.91,,,0.199,0.052,,
30,22.001,94075.75,12716.8,,,0.198,0.127,,
31,22.139,12482.64,5678.3,,,0.048,0.038,,
32,22.374,119850.1,17132.98,,,0.283,0.111,,
33,22.849,22630.63,5986.99,,,0.127,0.071,,
34,23.098,14554.85,4514.02,,,0.103,0.077,,
35,23.263,149457.09,52946.39,,,0.141,0.043,,
36,23.436,7558.73,3083.21,,,0.089,0.051,,
37,23.511,11975.56,4028.13,,,0.09,0.125,,
38,23.732,10600.11,5164.91,,,0.062,0.034,,
39,23.904,25424183.4,7813567.72,,,0.248,0.052,,
40,24.187,76990.37,20527.18,,,0.144,0.06,,
41,24.415,155043.38,43480.9,,,0.135,0.056,,
42,24.594,1315528.44,443414.8,,,0.19,0.047,,
43,25.104,309001.16,62548.09,,,0.178,0.079,,
44,25.256,75560.17,17579.12,,,0.136,0.071,,
45,25.504,15535.61,4886.83,,,0.103,0.049,,
46,25.683,24443.09,6618.97,,,0.131,0.065,,
47,25.904,26411818.23,7967432.09,,,0.234,0.054,,
48,26.235,179708.49,46992.89,,,0.154,0.06,,
49,26.394,9916.98,4124.63,,,0.069,0.042,,
50,26.704,5373.24,1966.84,,,0.093,0.043,,
51,26.897,14349.96,5000.75,,,0.102,0.047,,
52,27.09,143810.51,40308.28,,,0.136,0.056,,
53,27.6,968199,327684.33,,,0.145,0.046,,
54,27.814,26981514.35,7884818.93,,,0.255,0.054,,
55,28.159,21899.73,9854.28,,,0.075,0.035,,
56,28.324,14205.35,5168.96,,,0.076,0.046,,
57,28.476,12556.44,3908.2,,,0.118,0.057,,
58,28.683,24764.23,7299.34,,,0.113,0.054,,
59,28.89,421036.82,121881.7,,,0.235,0.05,,
60,29.124,7993.16,3474.34,,,0.091,0.055,,
61,29.51,22566.02,8295.14,,,0.082,0.043,,
62,29.655,304743.62,58313.19,,,0.245,0.094,,
63,30.007,12299.73,4786.5,,,0.083,0.042,,
64,30.11,6520.98,3726.39,,,0.058,0.031,,
65,30.221,94177.09,31764.3,,,0.105,0.046,,
66,30.352,819091.87,259299.97,,,0.176,0.048,,
67,30.724,36491.56,13939.86,,,0.101,0.041,,
68,30.89,27551.44,7434.25,,,0.152,0.057,,
69,31.345,28134.45,8925.57,,,0.128,0.041,,
70,31.503,15431.21,5757.91,,,0.091,0.051,,
71,31.862,97999.23,31931.33,,,0.134,0.049,,
72,32.868,730168.3,220953.92,,,0.186,0.05,,
73,33.02,37649.44,8649.03,,,0.152,0.06,,
74,33.172,22318.51,6634.12,,,0.097,0.128,,
75,33.275,153338.49,42716.64,,,0.204,0.052,,
76,33.475,7897.2,3579.65,,,0.067,0.04,,
77,33.813,74500.91,22644.02,,,0.156,0.051,,
78,34.275,46466.53,11840.61,,,0.172,0.062,,
79,34.661,204946.65,55390.62,,,0.222,0.052,,
80,35.199,695563.32,196214.49,,,0.212,0.054,,
81,36.061,7062.71,4136.4,,,0.061,0.034,,
82,36.178,27528.06,5311.17,,,0.189,0.11,,
83,36.523,3474616.02,1091971.21,,,0.241,0.046,,
84,36.957,245727.52,69272.38,,,0.225,0.051,,
85,37.378,688472.13,166301.26,,,0.257,0.06,,
86,37.675,20374.3,6158.25,,,0.123,0.057,,
87,38.157,11919.72,4198.38,,,0.083,0.046,,
88,39.116,5309.33,2299.9,,,0.065,0.044,,
89,39.433,559502.11,135839.24,,,0.212,0.061,,
90,39.771,13476.58,4863.21,,,0.09,0.14,,
91,40.226,73087.54,23078.37,,,0.121,0.051,,
92,40.584,15813.38,5505.65,,,0.093,0.047,,
93,40.902,58458.12,15252.96,,,0.154,0.059,,
94,41.35,472053.97,117031.7,,,0.237,0.058,,
95,41.936,27878.39,6871.31,,,0.117,0.063,,
96,42.612,8150.47,3382.75,,,0.074,0.163,,
97,43.143,335139.35,85659.45,,,0.223,0.059,,
98,44.218,18402.84,6921.28,,,0.097,0.054,,
99,44.625,33004.6,7222.42,,,0.145,0.101,,
100,44.839,171200.54,44695.42,,,0.193,0.058,,
101,45.26,21508.27,6450.28,,,0.09,0.071,,
102,45.742,31116.9,9599.04,,,0.103,0.059,,
103,46.432,65704.62,15993.34,,,0.131,0.059,,
104,47.597,62424.88,12431.98,,,0.137,0.093,,
105,47.949,33255.54,8745.07,,,0.117,0.113,,
106,48.535,17608.93,6262.51,,,0.075,0.049,,
107,49.638,31815.29,10590.46,,,0.09,0.052,,
108,49.873,37934.02,9076.63,,,0.117,0.274,,
109,50.603,99624.35,17187.51,,,0.267,0.066,,
110,56.071,14892,6968.26,,,0.076,2.117,,

