Sample.ID,Date,Time,location,Subspecies,Source.hive,Fostered,Foster.hive,Bee.number,Target.hive,Acceptance,Video
Ib_06_049,2021/09/06,11:37,WUE,Ib,6,F,,49,6,T,00072.MTS
Ib_06_050,2021/09/06,11:51,WUE,Ib,6,F,,50,6,T,00074.MTS
Ib_07_051,2021/09/06,11:59,WUE,Ib,7,F,,51,6,F,00075.MTS
Ib_06_052,2021/09/06,12:09,WUE,Ib,6,F,,52,6,T,00076.MTS
Ib_07_053,2021/09/06,12:22,WUE,Ib,7,F,,53,6,F,00077.MTS
Ib_07_056,2021/09/06,12:40,WUE,Ib,7,F,,56,6,T,00080.MTS
Ib_06_057,2021/09/06,12:49,WUE,Ib,6,F,,57,6,T,00081.MTS
Ib_07_059,2021/09/06,13:17,WUE,Ib,7,F,,59,6,T,00083.MTS
Ca_01_061,2021/09/07,10:46,WUE,Ca,1,F,,61,1,T,00088.MTS
Ca_02_062,2021/09/07,10:55,WUE,Ca,2,F,,62,1,T,00091.MTS
Ca_02_063,2021/09/07,11:06,WUE,Ca,2,F,,63,1,T,00090.MTS
Ca_01_064,2021/09/07,11:25,WUE,Ca,1,F,,64,1,T,00094.MTS
Ca_02_067,2021/09/07,12:01,WUE,Ca,2,F,,67,1,T,00096.MTS
Ca_01_068,2021/09/07,12:20,WUE,Ca,1,F,,68,1,T,00097.MTS
Ca_02_071,2021/09/07,12:49,WUE,Ca,2,F,,71,1,T,00101.MTS
Ca_01_073,2021/09/07,13:11,WUE,Ca,1,F,,73,1,T,00103.MTS
Ib_06_074,2021/09/08,10:42,WUE,Ib,6,F,,74,7,T,00104.MTS
Ib_06_075,2021/09/08,10:55,WUE,Ib,6,F,,75,7,F,00113.MTS
Ib_06_076,2021/09/08,10:58,WUE,Ib,6,F,,76,7,T,00107.MTS
Ib_07_077,2021/09/08,11:18,WUE,Ib,7,F,,77,7,F,00114.MTS
Ib_07_080,2021/09/08,12:44,WUE,Ib,7,F,,80,7,F,00115.MTS
Ib_06_085,2021/09/08,13:19,WUE,Ib,6,F,,85,7,F,00119.MTS
Ca_01_087,2021/09/09,10:54,WUE,Ca,1,F,,87,2,T,00121.MTS
Ca_01_089,2021/09/09,11:28,WUE,Ca,1,F,,89,2,T,00124.MTS
Ca_02_090,2021/09/09,11:50,WUE,Ca,2,F,,90,2,T,00125.MTS
Ca_02_091,2021/09/09,12:04,WUE,Ca,2,F,,91,2,T,00126.MTS
Ca_01_092,2021/09/09,12:19,WUE,Ca,1,F,,92,2,T,00127.MTS
Ca_02_093,2021/09/09,12:34,WUE,Ca,2,F,,93,2,T,00128.MTS
Ca_01_094,2021/09/09,12:42,WUE,Ca,1,F,,94,2,T,00129.MTS
Ca_02_095,2021/09/09,12:52,WUE,Ca,2,F,,95,2,T,00130.MTS
Ib_08_099,2021/09/10,9:52,WUE,Ib,8,F,,99,9,T,00134.MTS
Ib_09_100,2021/09/10,10:02,WUE,Ib,9,F,,100,9,T,00135.MTS
Ib_08_101,2021/09/10,10:13,WUE,Ib,8,F,,101,9,T,00137.MTS
Ib_09_104,2021/09/10,10:37,WUE,Ib,9,F,,104,9,T,00140.MTS
Ib_08_106,2021/09/10,10:52,WUE,Ib,8,F,,106,9,T,00142.MTS
Ib_09_107,2021/09/10,11:03,WUE,Ib,9,F,,107,9,T,00143.MTS
Ib_08_108,2021/09/10,11:07,WUE,Ib,8,F,,108,9,T,00145.MTS
Ib_07_112,2021/09/17,10:58,WUE,Ib,7,F,,112,7,T,00150.MTS
Ib_07_114,2021/09/17,11:24,WUE,Ib,7,F,,114,7,T,00153.MTS
Ib_09_116,2021/09/17,12:41,WUE,Ib,9,F,,116,9,T,00157.MTS
Ca_03_122,2021/09/21,11:09,WUE,Ca,3,F,,122,3,T,00165.MTS
Ca_04_124,2021/09/21,11:39,WUE,Ca,4,F,,124,3,T,00166.MTS
Ca_03_125,2021/09/21,11:50,WUE,Ca,3,F,,125,3,T,00167.MTS
Ca_03_126,2021/09/21,12:07,WUE,Ca,3,F,,126,3,T,00168.MTS
Ca_04_127,2021/09/21,12:17,WUE,Ca,4,F,,127,3,T,00169.MTS
Ca_04_128,2021/09/21,12:26,WUE,Ca,4,F,,128,3,F,00170.MTS
Ca_03_131,2021/09/21,12:49,WUE,Ca,3,F,,131,3,T,00173.MTS
Ca_04_132,2021/09/21,12:56,WUE,Ca,4,F,,132,3,T,00174.MTS
Ib_10_136,2021/09/22,11:08,WUE,Ib,10,F,,136,10,T,00178.MTS
Ib_08_137,2021/09/22,11:18,WUE,Ib,8,F,,137,10,T,00179.MTS
Ib_10_139,2021/09/22,11:53,WUE,Ib,10,F,,139,10,T,00182.MTS
Ib_08_140,2021/09/22,12:46,WUE,Ib,8,F,,140,10,T,00188.MTS
Ib_08_141,2021/09/22,12:14,WUE,Ib,8,F,,141,10,T,00184.MTS
Ib_10_144,2021/09/22,12:38,WUE,Ib,10,F,,144,10,T,00187.MTS
Ib_10_145,2021/09/22,12:59,WUE,Ib,10,F,,145,10,T,00190.MTS
Ib_08_147,2021/09/22,13:48,WUE,Ib,8,F,,147,10,T,00193.MTS
Ca_05_161,2021/09/27,12:00,WUE,Ca,5,F,,161,4,T,00209.MTS
Ca_05_162,2021/09/27,12:13,WUE,Ca,5,F,,162,4,F,00210.MTS
Ca_04_163,2021/09/27,12:32,WUE,Ca,4,F,,163,4,T,00211.MTS
Ca_04_164,2021/09/27,13:02,WUE,Ca,4,F,,164,4,T,00212.MTS
Ca_05_165,2021/09/27,13:14,WUE,Ca,5,F,,165,4,T,00213.MTS
Ca_05_166,2021/09/27,13:26,WUE,Ca,5,F,,166,4,T,00214.MTS
Ca_04_167,2021/09/27,13:38,WUE,Ca,4,F,,167,4,T,00215.MTS
Ca_04_169,2021/09/27,14:25,WUE,Ca,4,F,,169,4,T,00217.MTS
Ca_14_192,2021/10/06,16:35,BRA,Ca,14,F,,192,14,T,261
Ca_15_193,2021/10/06,13:10,BRA,Ca,15,F,,193,14,T,249
Ca_14_194,2021/10/06,13:59,BRA,Ca,14,F,,194,14,T,252
Ca_15_195,2021/10/06,12:46,BRA,Ca,15,F,,195,14,T,248
Ca_14_196,2021/10/06,13:43,BRA,Ca,14,F,,196,14,T,251
Ca_15_197,2021/10/06,14:15,BRA,Ca,15,F,,197,14,T,253
Ca_14_198,2021/10/06,13:25,BRA,Ca,14,F,,198,14,T,250
Ca_15_199,2021/10/06,14:39,BRA,Ca,15,F,,199,14,F,254
