"","mean_RT","H_SSL_2204_2","H_SSL_2204_3","L_SSL_2204_2","L_SSL_2204_3"
"P1",4.225,4.225,4.205,0,0
"P2",4.321,0,0,0,4.301
"P3",4.435,4.439,4.411,0,0
"P4",4.487,4.487,4.467,0,0
"P5",4.556,4.556,4.536,0,0
"P6",4.8215,4.825,4.798,0,0
"P7",4.96233333333333,4.942,4.922,0,4.983
"P8",5.03166666666667,5.039,5.011,5.025,0
"P9",5.121,0,5.101,0,0
"P10",5.2215,5.225,5.198,0,0
"P11",5.3555,5.363,5.328,0,0
"P12",5.442,5.446,5.418,0,0
"P13",5.59,5.59,0,0,0
"P14",5.71633333333333,0,5.715,5.721,5.673
"P15",5.9655,5.976,5.935,0,0
"P16",6.059,6.066,6.032,0,0
"P17",6.135,6.142,6.108,0,0
"P18",6.23133333333333,6.232,6.19,6.252,0
"P19",6.507,6.514,6.48,0,0
"P20",6.583,6.59,6.556,0,0
"P21",6.652,6.659,6.625,0,0
"P22",6.8275,6.838,6.797,0,0
"P23",7.042,7.059,0,7.025,0
"P24",7.2535,7.266,7.211,7.273,7.224
"P25",7.383,7.39,7.356,0,0
"P26",7.479,7.493,7.445,0,0
"P27",7.6205,7.631,7.59,0,0
"P28",7.895,0,7.866,7.907,7.872
"P29",8.0895,8.1,8.059,0,0
"P30",8.424,8.424,0,0,0
"P31",8.686,8.673,8.631,8.728,8.672
"P32",8.817,8.831,8.783,0,0
"P33",8.934,8.948,8.9,0,0
"P34",9.47633333333333,9.479,9.424,0,9.486
"P35",9.565,0,9.555,9.555,0
"P36",9.8015,9.852,9.79,9.79,9.734
"P37",10.024,10.024,0,0,0
"P38",10.2275,10.238,10.197,0,0
"P39",10.4895,10.507,10.452,0,0
"P40",11.41125,11.458,11.403,11.396,11.348
"P41",11.561,0,0,11.582,11.52
"P42",11.8093333333333,11.844,11.783,0,11.761
"P43",12.158,12.182,12.114,0,0
"P44",12.3285,12.327,12.286,12.362,12.299
"P45",12.5785,12.603,12.534,0,0
"P46",12.733,0,12.713,0,0
"P47",12.885,0,12.865,0,0
"P48",12.9983333333333,13.024,12.948,13.003,0
"P49",13.15075,13.168,13.107,13.175,13.113
"P50",13.918,13.927,13.893,13.934,13.878
"P51",14.292,14.334,14.286,0,14.216
"P52",14.568,0,14.548,0,0
"P53",14.84175,14.83,14.803,14.878,14.816
"P54",15.1815,15.209,15.134,0,0
"P55",15.395,0,15.375,0,0
"P56",15.702,0,0,15.72,15.664
"P57",16.05,0,16.03,0,0
"P58",17.2775,0,0,17.299,17.236
"P59",17.374,17.395,17.326,17.402,17.333
"P60",17.546,0,0,0,17.526
"P61",17.7155,17.726,17.685,0,0
"P62",17.8225,0,17.802,17.823,0
"P63",17.899,17.899,0,0,0
"P64",18.1665,0,18.133,0,18.16
"P65",18.3845,0,0,18.361,18.388
"P66",19.057,0,0,19.057,0
"P67",19.5635,19.567,19.492,19.609,19.546
"P68",19.711,0,0,0,19.691
"P69",20.588,0,0,20.588,0
"P70",21.025,0,0,21.036,20.994
"P71",21.2165,21.236,21.167,21.243,21.18
"P72",21.339,21.36,21.291,21.367,21.298
"P73",21.636,0,0,21.636,0
"P74",21.7803333333333,21.767,0,21.808,21.746
"P75",22.001,0,0,22.001,0
"P76",22.1296666666667,22.153,0,22.139,22.077
"P77",22.2795,0,22.284,0,22.235
"P78",22.367,22.36,0,22.374,0
"P79",22.49,0,0,0,22.47
"P80",22.835,0,0,22.849,22.801
"P81",23.098,0,0,23.098,0
"P82",23.235,0,23.201,23.263,23.201
"P83",23.436,0,0,23.436,0
"P84",23.511,0,0,23.511,0
"P85",23.704,0,0,23.732,23.656
"P86",23.835,23.849,23.781,0,23.835
"P87",23.904,0,0,23.904,0
"P88",24.187,0,0,24.187,0
"P89",24.406,24.429,24.36,24.415,24.38
"P90",24.5695,24.587,24.525,24.594,24.532
"P91",25.1316666666667,25.173,25.098,25.104,0
"P92",25.259,25.297,25.222,25.256,25.221
"P93",25.504,0,0,25.504,0
"P94",25.683,0,0,25.683,0
"P95",25.8745,25.856,25.863,25.904,25.835
"P96",25.932,25.932,0,0,0
"P97",26.124,0,26.104,0,0
"P98",26.235,0,0,26.235,0
"P99",26.387,26.408,26.339,26.394,0
"P100",26.704,0,0,26.704,0
"P101",26.897,0,0,26.897,0
"P102",27.08625,27.118,27.042,27.09,27.055
"P103",27.57425,27.594,27.525,27.6,27.538
"P104",27.7563333333333,27.78,27.704,0,27.745
"P105",27.814,0,0,27.814,0
"P106",28.159,0,0,28.159,0
"P107",28.2966666666667,28.311,28.235,28.324,0
"P108",28.476,0,0,28.476,0
"P109",28.683,0,0,28.683,0
"P110",28.8916666666667,0,28.89,28.89,28.855
"P111",29.124,0,0,29.124,0
"P112",29.5536666666667,0,29.58,29.51,29.531
"P113",29.6515,29.648,0,29.655,0
"P114",30.0375,0,30.048,30.007,0
"P115",30.117,30.124,0,30.11,0
"P116",30.221,0,0,30.221,0
"P117",30.32725,30.352,30.283,30.352,30.282
"P118",30.724,0,0,30.724,0
"P119",30.827,30.855,30.779,0,0
"P120",30.89,0,0,30.89,0
"P121",31.34425,31.393,31.317,31.345,31.282
"P122",31.503,0,0,31.503,0
"P123",31.647,0,0,0,31.627
"P124",31.8433333333333,31.855,31.793,31.862,0
"P125",32.84725,32.875,32.807,32.868,32.799
"P126",33.0013333333333,0,33,33.02,32.944
"P127",33.075,33.075,0,0,0
"P128",33.172,0,0,33.172,0
"P129",33.275,0,0,33.275,0
"P130",33.4995,33.524,0,33.475,0
"P131",33.813,0,0,33.813,0
"P132",34.1666666666667,34.199,34.117,0,34.144
"P133",34.275,0,0,34.275,0
"P134",34.633,0,34.613,34.661,34.585
"P135",34.689,34.689,0,0,0
"P136",35.1695,35.192,35.124,35.199,35.123
"P137",35.247,0,35.227,0,0
"P138",36.095,0,0,36.061,36.109
"P139",36.199,36.234,36.165,36.178,0
"P140",36.4985,0,0,36.523,36.454
"P141",36.931,36.964,36.882,36.957,36.881
"P142",37.3535,37.371,37.316,37.378,37.309
"P143",37.6513333333333,0,37.654,37.675,37.585
"P144",37.73,37.73,0,0,0
"P145",38.157,0,0,38.157,0
"P146",38.715,0,0,0,38.695
"P147",39.134,39.171,39.095,39.116,0
"P148",39.405,0,0,39.433,39.357
"P149",39.605,39.633,39.557,0,0
"P150",39.7395,0,0,39.771,39.688
"P151",40.0705,40.102,40.019,0,0
"P152",40.20475,40.226,40.15,40.226,40.177
"P153",40.529,40.557,40.481,0,0
"P154",40.584,0,0,40.584,0
"P155",40.7705,40.798,40.723,0,0
"P156",40.896,40.936,40.86,40.902,40.846
"P157",41.143,0,41.123,0,0
"P158",41.219,41.219,0,0,0
"P159",41.3255,41.357,41.274,41.35,41.281
"P160",41.8923333333333,41.895,41.826,41.936,0
"P161",42.4185,42.446,42.371,0,0
"P162",42.612,0,0,42.612,0
"P163",42.7,0,0,0,42.68
"P164",43.1283333333333,0,43.122,43.143,43.08
"P165",43.198,43.198,0,0,0
"P166",44.218,0,0,44.218,0
"P167",44.4285,44.453,44.384,0,0
