"","mean_RT","NM_192_2","NM_193","NM_194","NM_195","NM_196","NM_197","NM_198","NM_199","NM_200","NM_201","NM_212","NM_213","NM_214_1","NM_215","NM_216","NM_217","NM_218","NM_219","NM_220","NM_221_1"
"P1",4.13488888888889,4.122,4.156,4.122,4.156,4.156,4.156,4.163,4.156,4.156,4.156,4.115,4.122,4.115,4.156,4.122,0,4.122,4.122,0,4.115
"P2",4.1556,0,0,4.156,0,0,0,0,0,0,0,0,0,4.156,0,4.149,4.156,0,0,4.156,0
"P3",4.35588888888889,4.349,4.37,4.335,4.377,4.377,4.376,4.377,4.377,0,4.377,4.349,4.349,0,4.342,4.349,4.377,4.349,4.342,4.349,4.335
"P4",4.52,4.515,0,0,0,0,0,0,0,4.528,0,0,0,4.522,0,0,0,0,0,0,0
"P5",4.668,0,0,0,0,0,0,0,4.673,0,0,0,0,0,0,0,0,0,0,0,0
"P6",4.98666666666667,4.984,4.984,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,4.984,4.991,0,4.997
"P7",5.07015,5.066,5.073,5.08,5.073,5.073,5.073,5.073,5.066,5.073,5.08,5.073,5.073,5.073,5.073,5.073,5.073,5.073,5.066,5.073,5.073
"P8",5.65954545454545,0,0,0,5.639,5.652,5.652,5.673,5.694,0,0,0,5.68,5.646,5.673,0,0,5.673,0,5.659,5.639
"P9",6.247,0,0,0,0,0,0,6.252,0,0,0,0,0,0,0,0,0,0,0,0,0
"P10",6.666,6.673,0,0,0,0,0,0,0,6.673,0,6.666,0,6.666,0,0,0,0,6.659,0,6.659
"P11",6.785,0,0,0,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0
"P12",7.10957142857143,7.128,0,7.121,0,7.094,7.135,7.114,0,7.128,7.101,7.08,7.128,7.142,0,7.094,7.094,7.087,7.128,0,0
"P13",7.2815,0,0,7.287,0,0,7.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P14",7.35505,7.349,7.363,7.369,7.363,7.356,7.355,7.362,7.356,7.356,7.363,7.349,7.363,7.356,7.356,7.356,7.356,7.362,7.349,7.356,7.356
"P15",7.73336363636364,7.742,0,7.735,7.728,7.742,7.714,0,7.756,0,0,0,0,7.735,7.721,0,0,7.728,0,7.756,7.735
"P16",8.114,0,0,8.128,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0
"P17",8.693,8.686,8.693,0,8.693,8.707,8.714,8.686,8.686,8.686,8.693,0,8.707,8.686,8.693,8.7,8.714,0,8.7,8.686,8.686
"P18",8.957,0,0,0,0,0,0,8.962,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19",9.0885,9.086,9.093,9.114,9.086,9.093,9.093,9.093,9.093,9.093,9.093,9.086,9.086,9.086,9.086,9.08,9.114,9.093,9.08,9.093,9.079
"P20",9.51745454545454,9.521,9.521,9.521,9.521,9.528,9.52,9.528,9.514,9.535,9.514,0,0,0,0,0,0,0,9.514,0,0
"P21",9.72853846153846,9.734,0,9.734,9.735,9.735,9.734,9.728,9.735,9.728,9.728,9.734,0,9.728,9.735,0,9.728,0,0,0,0
"P22",9.8996,9.893,9.907,9.907,9.9,9.907,9.9,9.907,9.9,9.9,9.907,9.9,9.9,9.907,9.9,9.9,9.907,9.9,9.9,9.9,9.9
"P23",10.114,10.107,0,10.114,0,0,10.12,0,10.121,0,10.114,0,0,0,0,0,0,0,0,10.128,0
"P24",10.5464,10.562,0,0,0,10.541,10.541,10.527,0,0,0,0,0,0,0,0,0,0,0,10.576,0
"P25",10.64,0,0,0,0,0,0,0,10.645,0,0,0,0,0,0,0,0,0,0,0,0
"P26",10.7211666666667,0,0,10.727,0,0,10.734,0,10.721,0,0,10.721,0,0,0,0,10.7,0,0,10.734,0
"P27",10.8411666666667,10.831,0,10.838,10.872,10.838,10.851,10.838,10.838,10.858,10.859,0,10.831,10.838,0,10.852,0,0,0,0,0
"P28",11.1908666666667,11.189,0,11.203,11.196,11.196,11.189,11.182,11.196,11.196,11.19,0,11.217,11.183,0,11.19,0,11.189,11.196,0,11.196
"P29",11.3525,0,0,0,11.376,0,0,0,11.355,0,0,0,0,0,0,0,0,11.348,11.341,0,0
"P30",11.60295,11.672,11.589,11.596,11.596,11.596,11.603,11.596,11.596,11.624,11.589,11.596,11.596,11.645,11.589,11.596,11.583,11.596,11.645,11.589,11.617
"P31",11.7761666666667,0,11.776,11.789,11.782,11.769,11.782,11.789,0,0,0,0,0,0,0,0,0,0,0,0,0
"P32",11.846,11.851,0,0,0,0,0,11.851,0,0,0,0,0,0,0,0,0,0,0,0,0
"P33",12.1723333333333,0,0,12.175,0,0,12.182,0,0,0,0,12.175,0,0,0,0,0,0,0,0,0
"P34",12.2958823529412,12.286,12.279,12.368,12.286,0,12.292,0,12.279,12.293,12.3,12.293,12.293,12.293,12.293,12.286,12.293,12.293,0,12.362,12.286
"P35",12.5006,12.513,0,0,0,0,0,0,0,0,0,12.506,0,12.486,0,0,0,0,12.5,0,12.493
"P36",12.753,0,0,12.762,0,0,12.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P37",12.9558823529412,12.968,12.955,12.955,12.962,12.962,12.982,0,12.962,12.962,12.969,12.948,12.948,0,0,12.962,12.955,12.941,12.941,12.962,12.961
"P38",13.1134444444444,0,13.127,13.134,13.12,0,0,13.106,0,13.127,0,0,0,13.051,13.127,0,13.127,13.127,0,0,0
"P39",13.1205454545455,13.12,0,0,0,13.12,13.127,0,13.134,0,13.127,13.12,0,13.12,0,13.113,0,0,13.12,13.12,13.12
"P40",13.7282307692308,13.72,0,13.727,0,13.727,13.727,13.768,13.72,13.734,13.72,0,0,13.734,0,13.72,0,0,13.727,13.734,13.734
"P41",13.9083333333333,0,0,0,13.865,0,0,0,0,0,0,13.948,0,0,0,0,0,13.927,0,0,0
"P42",14.0579,14.065,14.058,14.065,14.051,14.058,14.071,14.079,14.065,14.058,14.058,14.058,14.058,14.065,14.044,14.051,14.065,14.058,14.051,14.065,14.065
"P43",14.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.168,0,0,0
"P44",14.4635,0,0,0,14.472,0,0,14.465,0,0,0,0,0,0,0,0,0,0,0,0,0
"P45",14.60315,14.603,14.61,14.609,14.603,14.61,14.602,14.609,14.61,14.603,14.61,14.603,14.61,14.603,14.603,14.61,14.603,14.603,14.603,14.603,14.603
"P46",14.79835,14.782,14.81,14.803,14.796,14.803,14.851,14.796,14.796,14.796,14.803,14.803,14.803,14.789,14.803,14.796,14.803,14.803,14.803,14.789,14.789
"P47",15.06485,15.085,15.037,15.092,15.099,15.051,15.078,15.037,15.092,15.092,15.092,15.092,15.079,15.079,15.044,15.037,15.058,15.044,15.037,15.085,15.037
"P48",15.2833333333333,0,0,0,0,0,15.285,0,0,0,0,0,15.285,15.285,0,0,0,0,0,0,0
"P49",15.3684,15.368,0,0,15.361,0,0,0,0,0,0,0,0,0,15.368,0,0,0,15.389,0,15.361
"P50",15.662,0,0,15.664,0,0,0,0,0,0,15.678,0,15.658,0,0,0,0,0,0,15.658,0
"P51",16.1332727272727,16.133,0,0,0,16.14,16.133,16.133,16.14,0,0,0,16.134,16.14,16.14,16.134,0,16.14,0,16.134,0
"P52",16.2644444444444,0,0,16.32,0,16.313,16.312,16.237,16.244,0,16.237,0,0,16.223,16.223,0,0,16.306,0,0,0
"P53",16.4692,0,0,0,16.43,0,0,0,0,16.458,16.513,0,0,0,0,0,0,0,16.444,16.506,0
"P54",16.632,0,0,0,0,0,0,0,0,0,0,0,0,0,16.637,0,0,0,0,0,0
"P55",16.71525,0,0,0,16.706,0,0,0,0,0,16.713,16.726,0,0,0,0,0,0,0,16.726,0
"P56",16.914,0,0,16.926,0,0,16.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P57",17.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.044,0,0,0,0,0
"P58",17.1177333333333,17.113,0,17.119,17.113,17.119,17.154,17.119,0,17.119,17.113,17.147,0,17.106,17.113,17.113,17.127,0,0,17.12,17.106
"P59",17.2092105263158,17.216,17.216,17.216,17.216,17.202,0,17.216,17.209,17.216,17.216,17.209,17.216,17.209,17.209,17.209,17.209,17.209,17.209,17.209,17.209
"P60",17.33995,17.347,17.347,17.34,17.34,17.347,17.347,17.354,17.347,17.347,17.34,17.34,17.333,17.34,17.347,17.333,17.34,17.347,17.34,17.333,17.34
"P61",17.473,0,0,0,0,0,0,0,0,0,0,17.478,0,0,0,0,0,0,0,0,0
"P62",17.5974,17.602,17.602,17.602,17.602,17.602,17.602,17.602,17.602,17.602,17.602,17.602,17.595,17.595,17.595,17.602,17.602,17.602,17.595,17.595,17.595
"P63",17.7595,17.754,17.768,17.761,17.761,17.761,17.76,17.768,17.768,17.761,17.761,17.754,17.761,17.768,17.761,17.754,17.775,17.754,17.768,17.761,17.761
"P64",17.907,0,0,17.919,0,0,17.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P65",18.1655,18.161,0,18.174,18.168,18.168,18.174,0,18.174,0,0,0,0,0,0,18.175,18.161,18.161,18.168,18.161,18.161
"P66",18.376,0,0,18.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P67",18.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.664,0
"P68",18.7495833333333,18.747,0,18.747,18.747,0,0,18.767,18.761,0,18.747,18.747,18.795,18.74,0,18.747,0,0,18.74,0,18.74
"P69",18.8313333333333,0,0,0,0,18.809,18.864,0,0,0,0,0,0,0,0,0,0,18.836,0,0,0
"P70",18.947,18.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.947,0,0
"P71",19.0376,0,0,0,0,0,0,0,0,0,19.057,19.023,0,19.03,0,0,19.037,0,0,19.036,0
"P72",19.34865,19.354,19.354,19.354,19.354,19.354,19.353,19.354,19.354,19.354,19.347,19.347,19.347,19.347,19.354,19.354,19.347,19.347,19.347,19.354,19.347
"P73",19.50775,19.498,19.512,19.512,19.512,19.512,19.519,19.505,19.519,19.526,19.512,19.505,19.512,19.505,19.512,19.498,19.512,19.512,19.512,19.512,19.498
