"","mean_RT","NM_202","NM_203","NM_204","NM_205","NM_206","NM_207","NM_208","NM_209","NM_210","NM_211","NM_222","NM_223","NM_224","NM_225","NM_226","NM_227","NM_228","NM_229","NM_230","NM_231","NM_242","NM_243","NM_244","NM_245","NM_246","NM_247","NM_248","NM_249","NM_250","NM_251","NM_262","NM_263","NM_264","NM_265","NM_266","NM_267","NM_268","NM_269","NM_270","NM_271"
"P1",4.14045,4.156,4.156,4.156,4.156,4.156,4.156,4.156,4.156,4.122,4.122,4.121,4.122,4.122,4.122,4.115,4.122,4.122,4.156,4.156,4.115,4.149,4.115,4.115,4.122,4.156,4.115,4.115,4.156,4.115,4.156,4.115,4.115,4.156,4.156,4.115,4.156,4.149,4.156,4.149,4.122
"P2",4.15925,0,0,0,0,0,0,0,0,0,0,0,4.156,0,0,0,0,0,0,0,4.156,0,4.156,0,0,0,4.149,0,0,4.156,0,4.156,0,0,0,4.149,0,0,0,0,4.156
"P3",4.36041935483871,4.384,4.383,4.377,4.37,4.377,4.384,4.384,4.377,4.342,0,4.349,4.342,4.349,4.342,4.349,4.342,4.342,0,0,4.349,4.377,0,4.342,4.342,4.377,4.377,4.342,0,4.342,4.342,4.329,4.335,0,4.342,4.335,4.384,4.37,0,0,0
"P4",4.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.522,0,0,0,0,0,0,0
"P5",4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P6",4.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.984,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P7",5.07345,5.066,5.08,5.066,5.073,5.073,5.08,5.066,5.073,5.066,5.073,5.066,5.073,5.073,5.073,5.073,5.073,5.066,5.066,5.073,5.066,5.066,5.073,5.073,5.073,5.066,5.073,5.06,5.059,5.066,5.066,5.08,5.073,5.073,5.066,5.066,5.066,5.066,5.066,5.073,5.066
"P8",5.66873684210526,0,5.666,0,5.632,5.652,0,0,5.666,0,0,0,0,5.645,5.666,5.625,5.646,5.68,5.632,5.666,5.721,5.646,5.639,0,0,0,0,0,0,0,0,5.708,5.666,5.756,5.652,5.687,0,0,0,0,0
"P9",5.768,0,0,0,0,0,0,0,0,0,0,5.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.763,0,0,0,0,0,0,0,0,0,0,0,0
"P10",6.2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.245,0,0,0,0,0,0,0,0,6.238,0,0,0,0,0,0,0,0,0,0,0,0
