"","mean_RT","NM_061_1","NM_062_1","NM_063_1","NM_064_1","NM_067_1","NM_068_1","NM_071_1","NM_073_1","NM_087","NM_089","NM_090","NM_091","NM_092","NM_093","NM_094","NM_095","NM_122","NM_124","NM_125","NM_126","NM_127","NM_128","NM_131","NM_132","NM_161","NM_162","NM_163","NM_164_1","NM_165","NM_166","NM_167","NM_169"
"P1",4.15488,4.17,4.163,4.163,4.156,4.17,4.163,4.17,4.115,4.156,4.156,4.156,4.156,4.156,4.156,4.156,4.156,0,0,4.115,0,0,0,0,0,4.122,4.122,4.122,4.115,4.115,4.156,4.149,4.163
"P2",4.168,0,0,0,0,0,0,0,4.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P3",4.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.266,0,0,0,0,0
"P4",4.38725,0,0,0,0,0,0,0,0,4.384,0,4.384,0,4.377,0,0,4.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5",4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.535,0
"P6",5.0003125,4.997,4.997,4.991,5.004,4.997,5.004,4.991,4.998,4.99,4.997,4.997,5.004,4.997,4.991,4.99,4.997,4.991,4.99,4.997,4.991,4.99,4.99,4.99,4.99,4.977,4.99,4.997,4.984,4.99,4.99,4.991,4.99
"P7",5.081,0,5.08,5.073,0,5.073,0,0,5.073,5.08,5.073,5.08,5.08,5.08,5.073,5.08,5.073,0,0,0,0,0,0,0,0,5.066,5.066,5.066,0,5.066,5.073,5.066,5.073
"P8",5.30866666666667,0,0,0,0,0,0,0,0,0,5.301,5.308,0,5.301,0,0,0,0,0,0,0,0,0,0,0,5.287,5.301,0,0,0,5.294,0,0
"P9",5.64069230769231,5.652,0,5.653,0,0,0,0,0,5.673,0,0,0,0,0,0,0,5.611,5.618,5.625,5.625,5.632,5.652,5.611,5.625,5.646,0,0,5.611,0,0,0,0
"P10",5.78842857142857,0,5.777,0,0,5.776,5.79,5.784,5.797,0,5.804,5.783,5.77,0,0,5.777,5.77,0,0,0,0,0,0,0,0,0,5.756,5.77,0,0,5.804,0,5.79
"P11",5.972,0,0,0,0,0,0,0,0,0,0,0,0,0,5.921,0,0,0,0,0,0,0,0,0,0,5.977,0,0,0,0,0,5.983,0
"P12",6.28894736842105,0,0,6.315,0,0,6.287,6.321,0,0,6.232,6.287,0,6.294,6.287,6.301,0,6.28,6.301,0,0,6.28,6.266,0,6.307,6.232,6.287,6.232,6.232,6.294,6.28,0,0
"P13",6.56572727272727,0,6.57,6.549,6.569,6.487,6.604,6.577,6.577,0,6.57,6.535,6.535,6.583,6.528,6.535,6.535,0,0,0,0,0,0,0,0,6.563,6.556,6.583,6.549,6.563,6.569,6.604,6.535
"P14",6.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.652,0,0,0,0,0,0,0,0,0,0,0,0
"P15",6.79686666666667,0,6.797,6.804,6.79,0,6.797,6.797,6.79,6.797,6.79,6.79,6.797,6.783,6.79,6.79,6.783,0,0,0,0,0,0,0,0,0,0,0,0,6.783,0,0,0
"P16",7.09375,7.114,7.101,7.101,7.087,7.087,7.087,7.087,7.08,7.094,0,7.094,7.087,7.087,7.087,7.08,7.094,0,0,0,0,0,0,0,0,0,0,0,0,7.073,0,0,0
"P17",7.28486956521739,7.293,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.287,7.28,7.287,7.28,7.28,7.273,7.273,7.28,0,0,0,0,0,0,0,0,7.28,7.266,7.273,7.28,7.266,7.266,7.273,0
"P18",7.362,7.369,0,0,0,7.356,7.356,0,7.356,7.362,7.349,7.356,7.356,7.363,7.356,7.356,7.356,7.356,7.356,7.356,7.363,7.349,7.356,7.349,7.348,7.349,7.349,7.349,7.349,7.349,7.342,7.349,7.356
"P19",7.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.618,0,7.59,0,7.618,7.638,7.631,7.631
"P20",7.72833333333333,0,0,0,0,0,7.742,7.714,7.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P21",7.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.928,0,0,0,0,0,0,0,0,0,0,0,0
"P22",8.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.018
"P23",8.3655,0,0,0,0,0,0,0,0,0,8.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.362,0
"P24",8.6989375,8.7,8.7,8.7,8.7,8.7,8.693,8.693,8.693,8.686,8.693,8.693,8.693,8.693,8.693,8.7,8.693,8.687,8.693,8.693,8.693,8.686,8.693,8.686,8.686,8.686,8.686,8.693,8.687,8.686,8.686,8.686,8.686
"P25",8.92557142857143,0,8.907,8.969,8.9,8.9,8.976,0,0,8.955,8.893,8.955,8.962,8.9,8.955,8.969,8.921,0,0,0,0,0,0,0,0,8.907,8.879,8.88,8.886,8.9,8.886,8.893,8.879
"P26",9.10725,0,9.121,9.121,9.141,9.107,9.107,9.107,9.114,9.093,0,9.086,9.086,9.08,9.093,9.093,9.086,0,9.107,9.107,9.1,9.107,9.093,9.121,9.1,9.093,0,9.086,9.1,9.079,9.079,9.093,9.093
"P27",9.52125,9.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.493,0,0,0,0,0,0,0,0,0,9.541,0,0,0,0,9.507
"P28",9.74266666666667,9.734,9.748,9.742,0,9.741,9.748,9.748,9.728,9.734,9.741,9.741,9.735,9.748,9.735,9.741,9.728,0,0,0,9.748,0,0,0,9.734,0,9.741,9.714,9.707,9.735,9.727,9.728,9.728
"P29",9.9106875,9.907,9.907,9.914,9.907,9.907,9.914,9.914,9.914,9.907,9.9,9.9,9.907,9.907,9.9,9.907,9.907,9.9,9.9,9.907,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.893,9.893,9.9,9.9,9.9
"P30",10.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0
"P31",10.1158636363636,0,10.114,10.121,10.121,10.114,10.107,10.114,10.121,10.107,10.114,10.107,10.107,10.1,10.107,10.107,10.114,0,0,0,0,0,0,0,0,10.1,10.1,10.107,10.1,10.1,10.1,10.107,0
"P32",10.4028333333333,10.41,0,0,0,10.39,10.404,10.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.383,0,0,10.403,0,0
"P33",10.537,0,10.521,10.555,0,0,10.521,10.541,0,10.534,10.541,10.548,10.521,10.514,10.521,10.527,10.528,0,10.548,0,0,0,0,0,0,0,0,0,0,0,0,10.528,0
"P34",10.7338181818182,0,10.734,10.728,10.734,10.727,10.734,10.734,10.735,10.727,10.728,10.727,10.728,10.728,10.728,10.727,10.727,0,0,0,0,0,0,0,0,10.721,10.72,10.721,10.714,10.721,10.72,10.721,0
"P35",10.840875,0,0,0,0,0,10.838,10.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.824,10.824,10.831,10.824,10.838,0,10.817,0
"P36",11.0142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.003,11.038,10.996,10.996,11.017,10.955,10.99,0
"P37",11.1970357142857,11.203,11.19,11.19,11.189,11.203,11.19,11.19,11.19,11.183,11.183,11.183,11.183,11.183,11.183,11.183,11.183,0,0,11.19,11.196,11.196,11.231,0,11.21,11.196,11.176,11.189,11.19,11.176,11.182,11.176,0
