"","mean_RT","NM_049","NM_050","NM_051","NM_052","NM_053","NM_056","NM_057"
"P1",4.14283333333333,4.142,0,4.136,4.149,4.142,4.136,4.142
"P2",5.078,5.053,5.039,5.053,5.135,5.135,5.066,5.06
"P3",5.73,5.728,5.715,5.722,5.728,5.721,5.756,5.735
"P4",6.387,0,0,0,6.397,0,0,6.377
"P5",6.63928571428571,6.652,6.639,6.639,6.618,6.625,6.652,6.645
"P6",7.1455,0,7.149,0,7.142,7.149,0,7.142
"P7",7.3455,0,7.349,0,7.335,7.356,0,7.342
"P8",7.42666666666667,7.432,7.425,7.425,0,7.425,7.425,7.418
"P9",7.76433333333333,7.797,0,7.763,0,0,0,7.728
"P10",8.75414285714286,8.762,8.749,8.756,8.748,8.755,8.755,8.749
"P11",9.79866666666667,0,9.797,9.797,9.79,9.804,9.804,9.79
"P12",9.98171428571429,9.976,9.976,9.983,9.976,9.997,9.983,9.976
"P13",10.158,0,10.148,0,10.155,10.176,0,0
"P14",10.4745,10.5,10.459,0,0,0,0,0
"P15",10.6205,0,0,10.617,10.624,0,0,0
"P16",10.91625,0,0,10.921,10.913,10.914,10.907,0
"P17",11.2658571428571,11.265,11.272,11.252,11.279,11.265,11.265,11.258
"P18",11.405,0,0,0,11.41,0,0,0
"P19",11.619,0,0,0,11.624,0,0,0
"P20",11.6757142857143,11.672,11.686,11.665,11.679,11.693,11.665,11.665
"P21",11.926,0,0,11.921,0,0,0,0
"P22",12.3617142857143,12.362,12.362,12.362,12.362,12.355,12.369,12.355
"P23",12.486,12.479,12.486,0,12.486,12.486,12.5,12.479
"P24",12.874,0,0,0,12.879,0,0,0
"P25",13.1947142857143,13.196,13.189,13.196,13.189,13.196,13.196,13.196
"P26",13.436,0,0,0,0,0,13.431,0
"P27",14.8675714285714,14.879,14.872,14.858,14.871,14.865,14.865,14.858
"P28",15.125,0,0,15.12,0,0,15.12,0
"P29",16.211,0,16.216,0,16.216,0,0,0
"P30",16.327,0,0,16.292,0,16.306,16.368,0
"P31",16.57,0,16.575,0,0,0,0,0
"P32",16.8258333333333,0,16.823,16.83,16.816,16.823,16.83,16.823
"P33",17.2817142857143,17.285,17.285,17.278,17.285,17.278,17.278,17.278
"P34",17.4097142857143,17.409,17.409,17.409,17.409,17.409,17.409,17.409
"P35",17.6656,0,0,17.664,17.664,17.664,17.657,17.664
"P36",17.824,0,17.816,17.823,17.816,0,17.83,17.83
"P37",18.4655,0,0,18.457,0,0,18.464,0
"P38",18.707,0,0,0,18.712,0,0,0
"P39",19.5838333333333,19.574,19.595,19.588,0,19.574,19.574,19.588
"P40",19.88975,0,19.885,19.898,19.884,0,19.892,0
"P41",21.1315714285714,21.126,21.133,21.119,21.139,21.133,21.133,21.133
"P42",21.2537142857143,21.25,21.25,21.257,21.25,21.25,21.257,21.257
"P43",21.7817142857143,21.781,21.781,21.781,21.781,21.781,21.781,21.781
"P44",22.1,0,0,0,22.105,0,0,0
"P45",22.3125,22.312,22.319,22.305,0,22.305,22.312,22.312
"P46",22.744,0,0,0,0,22.739,0,0
"P47",23.489,0,0,0,0,23.484,0,0
"P48",23.9025714285714,23.898,23.905,23.905,23.904,23.905,23.898,23.898
"P49",24.2247142857143,24.222,24.222,24.229,24.222,24.229,24.222,24.222
"P50",24.6017142857143,24.601,24.601,24.594,24.601,24.601,24.608,24.601
"P51",24.682,0,0,0,0,0,24.677,0
"P52",24.813,0,0,24.808,0,0,24.808,0
"P53",25.2255,0,25.222,0,0,0,25.229,0
"P54",25.3605714285714,25.36,25.36,25.36,25.359,25.36,25.36,25.36
"P55",25.5633333333333,0,0,0,25.587,25.58,0,25.518
"P56",25.8765714285714,25.877,25.877,25.877,25.883,25.87,25.877,25.87
"P57",25.9285,0,0,0,25.932,25.925,0,0
"P58",26.2595,0,26.27,0,0,26.249,0,0
"P59",27.1288,27.132,27.125,27.139,0,0,27.111,27.132
"P60",27.6006666666667,27.601,27.587,27.601,27.6,27.601,27.614,0
"P61",27.7777142857143,27.78,27.78,27.773,27.78,27.78,27.766,27.78
"P62",28.1697142857143,28.173,28.166,28.166,28.166,28.173,28.166,28.173
"P63",28.9831428571429,28.994,29.007,28.938,29,29,28.931,29.007
"P64",29.1175714285714,29.118,29.118,29.111,29.117,29.118,29.118,29.118
"P65",29.2203333333333,0,29.221,29.221,29.221,29.214,29.214,29.221
"P66",29.355,0,29.38,0,29.345,29.345,0,0
"P67",29.6117142857143,29.614,29.621,29.607,29.607,29.607,29.607,29.614
"P68",30.064,0,30.069,0,0,0,0,0
"P69",30.3622857142857,30.345,30.352,30.345,30.358,30.393,30.352,30.386
"P70",30.8737142857143,30.876,30.869,30.876,30.869,30.869,30.876,30.876
"P71",30.9895,0,30.986,30.986,30.993,0,0,30.993
"P72",31.3545714285714,31.352,31.359,31.359,31.351,31.352,31.352,31.352
