"","mean_RT","NM_059_2","NM_074_1","NM_075_1","NM_076","NM_077","NM_080_1","NM_085","NM_099","NM_100","NM_101","NM_104","NM_106","NM_107","NM_108","NM_112","NM_114","NM_116","NM_136","NM_137","NM_139","NM_140","NM_141","NM_144","NM_145","NM_147"
"P1",4.1456,4.122,4.163,4.122,0,4.183,4.121,4.163,4.122,0,0,0,0,0,0,0,0,0,4.156,4.156,4.122,4.122,4.122,4.122,4.121,4.122
"P2",4.3612,0,0,0,0,0,4.349,0,4.349,0,0,0,0,0,0,0,0,0,0,0,0,0,4.349,4.342,4.342,0
"P3",4.54475,0,0,0,0,0,0,0,0,4.577,0,0,0,0,0,0,4.515,0,0,4.508,0,4.529,0,0,0,0
"P4",4.626,0,0,0,0,0,4.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5",4.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0
"P6",4.99916666666667,4.991,4.99,4.991,5.018,5.011,4.99,5.011,4.984,4.99,4.99,4.99,4.991,4.991,4.99,4.99,0,4.991,4.991,4.99,4.984,4.984,4.984,4.984,4.983,4.991
"P7",5.07772727272727,5.066,5.087,5.08,5.094,0,0,5.066,5.073,0,0,0,0,0,0,0,0,0,5.053,5.066,5.06,0,5.052,0,5.073,0
"P8",5.641,5.653,0,0,0,5.687,5.645,0,0,5.618,5.625,5.625,5.618,5.625,5.618,5.625,0,5.625,5.646,5.625,0,5.618,5.618,5.632,0,5.659
"P9",5.79175,0,5.79,0,0,0,0,5.79,5.763,0,0,0,0,0,0,0,0,0,0,0,5.784,0,0,0,0,0
"P10",5.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.983,0
"P11",6.30157142857143,0,0,0,0,0,0,6.301,0,0,6.294,6.301,0,0,0,6.314,0,6.252,6.287,6.307,0,0,0,0,0,0
"P12",6.409,0,0,0,0,0,0,0,0,0,0,0,0,6.404,0,0,0,0,0,0,0,0,0,0,0,0
"P13",6.58141176470588,6.577,6.562,6.57,6.597,6.59,0,6.563,6.563,6.604,0,0,0,0,6.604,0,0,0,6.57,6.562,6.556,6.563,6.563,6.563,6.562,6.59
"P14",6.7945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.776,0,0,0,0,6.783,0,0
"P15",6.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.949,0,0,0,0,0,0,0
"P16",7.104,0,7.086,0,0,0,0,0,7.1,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,7.1,0
"P17",7.2922,7.294,7.273,7.287,7.314,7.321,0,7.28,7.28,0,0,0,0,0,0,0,7.287,0,7.28,7.28,7.28,7.28,7.273,7.273,7.266,0
"P18",7.36754545454545,7.37,0,0,7.39,0,7.362,7.356,7.349,7.362,7.362,7.362,7.356,7.363,7.362,7.362,7.356,7.369,7.349,7.348,7.356,7.356,7.349,7.349,7.349,7.349
"P19",7.6335,0,7.631,7.632,0,0,0,7.638,0,0,0,0,0,0,0,0,0,0,0,0,7.618,0,7.611,0,7.611,0
"P20",7.752,0,0,0,0,7.776,7.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P21",8.099,0,0,0,8.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P22",8.34,0,0,0,8.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P23",8.70228,8.7,8.693,8.693,8.728,8.721,8.686,8.693,8.686,8.686,8.686,8.693,8.686,8.693,8.686,8.693,8.755,8.693,8.686,8.686,8.687,8.687,8.686,8.687,8.686,8.686
"P24",8.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.962,0,0
"P25",9.10989473684211,9.121,9.114,9.114,9.107,0,9.107,9.093,9.1,0,9.141,0,0,0,0,9.086,9.1,9.093,9.086,9.1,9.086,9.093,9.107,9.093,9.086,9.086
"P26",9.361,0,0,0,0,9.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P27",9.506,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,9.5,0,0,0,0,0,0,0,9.493,0,0
"P28",9.74292857142857,9.748,0,9.742,9.755,9.769,9.72,9.728,9.734,0,0,0,0,0,0,0,0,0,9.721,9.734,9.728,9.728,9.728,9.728,0,9.728
"P29",9.91668,9.921,9.907,9.921,9.941,9.948,9.907,9.907,9.9,9.907,9.907,9.907,9.9,9.914,9.914,9.9,9.9,9.907,9.9,9.9,9.907,9.9,9.9,9.9,9.9,9.907
"P30",10.0979,0,10.1,10.107,10.121,10.127,0,0,10.086,0,0,0,0,0,0,0,10.038,0,0,10.086,10.086,0,10.079,0,10.079,0
"P31",10.4146,10.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.39,0,0,10.39,0,10.404,10.41,0
"P32",10.5356666666667,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.528,10.514,0
"P33",10.8564,0,10.844,0,10.92,0,0,0,10.845,0,0,0,0,0,0,0,0,0,10.831,10.838,10.845,10.845,10.824,10.831,10.831,0
"P34",11.034,0,0,0,0,0,0,11.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.003,0,0,0
"P35",11.2065882352941,11.203,11.189,11.203,11.224,11.217,0,11.196,11.182,0,0,11.217,0,0,11.224,0,0,11.217,11.19,11.203,11.203,11.196,11.182,11.176,11.175,0
"P36",11.3595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.348,0,0,11.341,0,0,0
"P37",11.6001176470588,11.631,11.555,0,0,11.596,11.589,0,11.582,11.582,0,11.582,11.589,11.589,0,11.589,11.589,11.596,11.61,11.61,0,0,11.555,11.596,11.617,0
"P38",11.6265555555556,0,11.624,11.631,11.631,0,0,11.617,0,0,0,0,0,0,11.631,0,0,0,0,0,11.624,11.596,11.617,0,0,11.603
"P39",11.8413333333333,0,11.851,0,11.886,0,11.775,0,0,0,0,0,0,0,0,0,0,0,11.851,0,0,11.783,0,11.852,0,0
"P40",12.29235,12.293,12.286,12.293,12.286,12.32,12.279,12.286,12.279,0,12.279,12.3,12.286,0,0,0,12.265,0,12.251,12.286,12.286,12.272,12.286,12.279,12.279,12.286
"P41",12.3964285714286,0,12.375,0,12.403,12.43,12.396,12.382,12.375,0,0,0,0,0,12.396,12.417,0,0,12.382,0,12.369,0,12.368,12.376,12.375,12.396
"P42",12.5265,0,0,0,0,0,0,0,0,0,12.506,0,0,0,0,0,0,0,0,0,0,0,12.527,0,0,0
"P43",12.99825,12.975,13.058,12.962,13.01,13.03,12.968,12.982,13.01,12.975,12.948,13.01,12.955,12.982,13.017,12.968,12.968,12.996,12.996,12.996,12.948,12.982,13.03,0,13.023,12.989
"P44",13.13532,13.134,13.134,13.134,13.161,13.168,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.127,13.12,13.127,13.127,13.127,13.12,13.12,13.12,13.086,13.12,13.12
"P45",13.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12,0,0
"P46",13.51625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.513,0,13.486,0,0,0,13.52,13.486
"P47",13.7394,0,13.747,0,13.768,13.768,0,0,13.72,13.727,13.72,13.727,0,13.727,13.727,13.72,13.713,13.727,13.72,13.72,13.72,13.727,13.72,13.762,13.741,13.727
"P48",13.822,0,0,0,0,0,0,13.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P49",14.0866,0,14.092,14.079,14.113,14.154,14.14,14.058,14.058,14.058,0,14.065,14.106,0,0,14.072,14.058,0,14.065,14.058,14.065,14.065,14.051,14.072,14.058,14.065
"P50",14.6138571428571,0,14.596,0,0,0,14.609,14.616,14.603,0,0,0,0,0,0,0,0,0,14.596,0,14.596,0,14.596,0,0,0
"P51",14.8098235294118,14.81,14.809,14.803,14.83,14.837,14.795,14.796,14.796,0,14.809,0,0,0,0,0,0,0,14.796,14.796,14.789,14.796,14.789,14.803,14.789,14.789
"P52",15.0675384615385,0,15.044,0,0,0,0,15.037,15.071,0,0,0,15.037,0,0,15.058,0,15.037,15.051,15.037,0,15.051,15.113,15.044,15.099,15.044
"P53",15.215,0,0,0,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P54",15.299,0,0,15.299,0,15.326,15.264,0,15.285,0,0,0,0,0,0,15.292,0,0,0,15.292,0,15.272,0,0,15.292,0
"P55",15.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.506,0,0,0,0,0,0,0,0,0,0
"P56",15.6738333333333,0,15.678,0,15.644,0,15.678,0,0,0,15.678,0,0,0,15.671,0,0,0,0,0,0,0,0,0,15.664,0
"P57",16.1543846153846,0,0,16.154,16.175,16.181,0,16.154,16.133,0,16.147,0,0,0,0,16.147,16.147,0,0,16.154,16.127,0,16.133,0,16.133,16.127
"P58",16.224875,16.23,16.195,0,0,0,0,0,16.216,0,0,16.237,0,0,16.223,0,0,0,0,0,0,0,16.209,16.203,16.216,0
"P59",16.3266666666667,0,16.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.32,16.313,0
"P60",16.483,0,16.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P61",16.6523636363636,0,16.637,0,0,0,16.643,16.644,16.63,0,0,0,0,0,16.637,0,0,0,0,16.644,16.637,16.644,16.644,16.637,16.644,0
"P62",16.7642941176471,16.768,16.761,16.747,16.802,16.795,16.747,16.747,0,0,0,16.761,0,0,0,0,16.747,0,16.754,16.747,16.747,16.747,16.747,16.747,16.747,16.747
"P63",16.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.926,0,0,0,0,0,0,0,0,0,0
"P64",17.0458,0,0,17.037,0,0,0,0,17.037,0,0,0,0,0,0,0,0,0,17.023,0,0,0,0,17.037,17.03,0
"P65",17.125375,0,17.126,0,0,0,17.112,0,0,0,17.106,0,0,0,17.119,0,0,0,0,17.112,17.113,0,17.113,0,17.112,0
"P66",17.22316,17.223,17.216,17.216,17.257,17.25,17.216,17.216,17.216,17.209,17.216,17.209,17.209,17.209,17.216,17.216,17.209,17.209,17.209,17.209,17.209,17.209,17.209,17.209,17.209,17.209
"P67",17.35584,17.354,17.354,17.347,17.381,17.388,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.347,17.34,17.34,17.347,17.34,17.347,17.34,17.34,17.34,17.34,17.34,17.34
"P68",17.476,0,0,0,0,0,0,17.485,0,0,0,0,0,0,0,17.457,0,0,0,0,0,0,0,0,0,0
"P69",17.6096666666667,0,0,0,0,17.629,0,0,0,0,0,0,0,0,0,0,0,0,17.595,17.595,0,17.588,0,17.589,0,17.602
"P70",17.7722608695652,17.768,17.76,17.761,17.809,17.802,17.76,17.768,17.761,17.754,17.761,17.768,17.768,17.761,17.761,17.754,0,17.775,17.754,17.761,17.754,17.761,0,17.761,17.761,17.754
"P71",17.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.906,0,0,0,0,0,0,0,0,0,0
"P72",18.18375,0,18.174,18.175,0,18.216,18.174,0,0,18.168,18.174,0,0,0,18.174,0,0,0,0,0,18.175,0,0,0,0,0
"P73",18.4025,0,0,0,0,0,0,18.395,0,0,0,0,18.388,18.395,18.402,0,0,0,0,0,0,0,0,0,0,0
"P74",18.642,0,18.629,0,0,0,0,0,0,0,18.623,0,18.65,0,18.636,0,0,0,0,0,0,0,0,0,0,0
"P75",18.7597333333333,0,0,18.761,0,0,18.76,0,18.754,0,18.747,18.747,0,0,0,0,18.733,18.747,18.747,18.747,18.74,18.747,18.74,18.754,18.747,18.74
"P76",18.855,0,18.857,0,0,0,0,0,0,0,18.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P77",19.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.009,0,0,0
"P78",19.19,0,19.195,0,0,0,19.188,0,0,19.181,19.181,19.181,0,0,19.174,0,0,0,0,0,0,0,0,0,0,0
"P79",19.3823333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.333,0,19.388,0,19.381,0,0,0
"P80",19.5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.498,0,19.505,19.45,0,19.519,0,0,19.505,0,0
"P81",19.52505,19.533,19.519,19.512,19.547,19.553,19.519,19.512,19.512,19.519,19.519,19.512,19.519,0,19.512,0,19.512,0,19.512,19.505,0,19.505,19.505,0,19.505,19.519
"P82",19.72,0,0,0,0,0,0,0,0,0,0,0,19.705,0,0,0,0,0,0,0,0,0,0,0,0,0
"P83",19.8275454545455,0,19.808,19.829,0,19.864,19.815,19.816,19.816,19.816,19.815,19.822,19.816,19.809,19.815,19.816,0,19.816,19.823,19.822,19.816,19.816,19.816,19.809,19.815,19.816
"P84",20.295,0,0,0,20.298,0,0,0,0,0,20.353,0,0,0,0,0,0,0,20.278,20.27,20.264,0,20.271,20.278,20.27,20.278
"P85",20.529,0,0,20.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.533
"P86",20.676,0,0,0,20.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P87",20.747,0,0,0,20.767,0,20.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.747,0,0
"P88",20.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.809,0,0
"P89",21.07325,0,21.07,21.071,21.098,21.105,21.056,21.064,21.064,21.064,21.064,21.057,21.064,21.05,21.064,21.057,21.077,21.064,21.064,21.057,21.057,21.057,21.057,21.057,21.063,21.057
"P90",21.20168,21.195,21.194,21.195,21.257,21.229,21.187,21.188,21.188,21.188,21.186,21.188,21.188,21.181,21.188,21.188,21.181,21.188,21.209,21.208,21.188,21.202,21.188,21.181,21.181,21.181
"P91",21.5825333333333,0,0,21.567,21.601,0,0,21.615,21.567,0,0,21.574,21.602,0,21.567,21.615,0,0,21.546,21.553,21.546,21.546,21.567,21.567,21.56,0
"P92",21.7236,21.726,21.718,21.719,21.753,21.753,21.712,21.719,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.712,21.705,21.705,21.705
"P93",21.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.829,0,0,0
"P94",21.937,0,0,0,0,0,0,0,0,21.932,21.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P95",22.07075,0,0,0,0,0,0,0,0,22.043,0,0,0,0,0,0,22.077,0,0,0,0,0,0,22.036,22.077,0
"P96",22.248625,22.257,22.242,22.236,22.277,22.277,0,22.243,22.236,22.236,22.243,22.236,22.236,22.243,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.229,22.236,22.236
"P97",22.4826,0,22.47,0,0,0,22.484,0,0,0,22.47,0,0,22.484,22.47,0,0,0,0,0,0,0,0,0,0,0
"P98",22.6724,0,0,22.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.636,22.657,22.649,22.65
"P99",22.849,0,22.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.836,0,0,0,0,0
"P100",22.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.919,0,0,0,0,0,0,0
"P101",23.0775294117647,0,23.111,23.077,23.112,0,23.084,0,23.063,0,23.07,23.049,0,0,0,0,23.056,23.056,23.057,23.063,23.063,23.057,23.049,23.057,23.056,23.063
"P102",23.1316666666667,23.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.112,0,0,0,0,23.119,0,0
"P103",23.3061666666667,0,0,0,0,0,0,0,23.284,23.291,0,23.291,23.312,0,0,0,0,0,23.298,0,23.291,0,0,0,0,0
"P104",23.3879285714286,0,23.373,0,0,0,23.36,23.353,0,0,23.36,0,0,23.353,23.353,0,0,0,23.401,23.387,23.394,23.394,23.387,23.381,23.387,23.388
"P105",23.5752,0,0,0,0,0,0,0,0,0,0,23.567,0,0,0,23.567,23.567,0,0,0,0,0,23.56,0,0,23.56
"P106",23.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.643,0,0,23.643,0,0,0,0
"P107",23.7435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.732,0,0,23.725,0,0,0,0
"P108",23.82045,0,23.808,23.836,23.842,23.849,23.808,23.836,23.815,23.801,0,23.815,23.808,0,23.808,23.808,0,23.801,23.801,23.808,23.794,0,23.801,23.801,23.808,23.801
"P109",23.9626153846154,23.953,0,0,0,23.994,23.946,23.953,23.953,0,0,23.946,23.946,0,23.953,23.953,0,0,0,0,0,23.96,23.953,23.939,23.96,0
"P110",24.068,0,0,24.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P111",24.16588,24.167,24.159,24.153,24.194,24.194,24.152,24.153,24.153,24.16,24.153,24.16,24.153,24.153,24.16,24.146,24.18,24.153,24.146,24.159,24.146,24.153,24.153,24.153,24.153,24.146
"P112",24.386,0,0,0,0,0,0,0,0,24.367,0,0,0,0,24.394,24.373,0,0,0,0,0,0,0,0,24.38,0
"P113",24.54728,24.539,24.546,24.539,24.573,24.58,24.539,24.539,24.539,24.539,24.539,24.539,24.539,24.539,24.539,24.539,24.539,24.532,24.532,24.532,24.532,24.532,24.525,24.532,24.532,24.532
"P114",24.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.629,0,0,0,0,0,0,0,0,0,0
"P115",24.74,0,0,0,0,0,0,0,0,0,0,0,24.732,0,0,0,0,0,24.718,0,0,0,0,0,0,0
"P116",25.1648125,25.173,25.166,25.091,25.194,0,0,25.16,25.159,25.166,0,25.166,0,25.16,25.146,0,0,0,25.166,25.152,25.16,25.153,25.159,25.146,0,0
"P117",25.29896,25.298,25.29,25.291,25.332,25.332,25.283,25.291,25.29,25.291,25.284,25.29,25.284,25.291,25.29,25.291,25.29,25.291,25.284,25.283,25.284,25.284,25.284,25.284,25.283,25.284
"P118",25.4346,25.442,25.435,0,0,25.476,25.428,0,25.435,0,25.428,25.428,0,25.442,0,0,0,25.429,0,0,0,0,0,0,0,25.353
"P119",25.5136923076923,25.518,0,25.504,0,0,0,25.504,0,25.497,0,0,25.511,0,25.511,25.504,0,0,25.511,25.497,25.491,25.504,0,25.504,0,25.497
"P120",25.6925,0,25.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.683,25.677,0,25.69,0,0,0
"P121",25.81256,25.815,25.807,25.815,25.842,25.842,25.8,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.801,25.794,25.794,25.794
"P122",25.871,0,0,0,0,0,25.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P123",25.9592,0,0,0,0,0,0,0,0,25.959,0,0,0,0,0,25.952,25.932,0,0,0,25.946,0,25.952,0,0,0
"P124",26.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.097,0,0,0,0,0,0,0
"P125",26.21116,26.201,26.2,26.208,26.242,26.249,26.2,26.201,26.201,26.201,26.201,26.201,26.194,26.194,26.208,26.201,26.201,26.208,26.194,26.194,26.194,26.201,26.194,26.201,26.201,26.194
"P126",26.3633333333333,0,0,0,26.387,0,0,0,0,0,0,0,0,0,0,0,0,0,26.359,26.352,0,0,26.345,0,26.345,26.332
"P127",26.6569523809524,26.67,26.656,26.642,26.683,0,0,26.642,26.642,26.642,0,26.642,0,26.642,26.635,26.642,26.663,26.649,26.635,26.656,26.649,26.649,26.649,26.635,26.649,26.649
"P128",27.05048,27.049,27.028,27.083,27.083,27.069,27.028,27.021,27.035,27.028,27.021,27.021,27.021,27.021,27.028,27.035,27.049,27.028,27.063,27.069,27.063,27.056,27.035,27.035,27.049,27.049
"P129",27.2133333333333,0,0,0,0,0,0,0,0,0,0,0,27.194,0,0,0,0,0,0,0,0,27.221,0,27.18,0,0
"P130",27.425,0,0,0,27.456,0,0,0,27.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P131",27.5417391304348,27.545,27.538,27.539,27.573,27.573,27.531,27.538,27.531,27.532,27.531,27.532,27.532,27.532,27.531,27.532,27.518,27.532,0,0,27.525,27.525,27.531,27.525,27.524,27.525
"P132",27.7058,27.711,27.711,0,27.745,0,27.704,27.711,0,27.704,27.704,27.704,0,27.711,27.711,27.697,27.711,27.704,27.642,27.704,27.697,27.635,27.697,27.704,0,27.649
"P133",27.7203333333333,0,0,27.711,0,27.752,0,0,27.711,0,0,0,27.704,0,0,0,0,0,0,0,0,0,0,0,27.697,27.697
"P134",27.9525,0,0,0,27.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.932,0,0
"P135",28.1099583333333,28.104,28.097,28.104,28.145,28.145,28.097,28.104,28.097,28.097,28.097,28.097,28.097,28.097,28.104,28.097,0,28.09,28.104,28.097,28.104,28.09,28.097,28.104,28.097,28.097
"P136",28.305,0,0,0,0,0,0,0,0,0,0,0,28.29,0,0,0,0,0,0,0,0,0,0,0,0,0
"P137",28.483,0,0,28.511,0,0,0,0,0,0,0,0,0,0,0,0,28.435,0,0,0,0,0,0,0,0,0
"P138",28.646,0,28.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P139",28.8078,28.807,28.8,28.807,28.828,28.841,0,28.8,28.8,28.793,28.8,28.793,0,0,28.8,28.8,28.786,0,28.8,28.8,28.794,28.794,28.793,28.787,28.793,0
"P140",28.8726666666667,0,0,0,0,0,0,0,0,0,0,0,28.862,28.869,28.862,0,0,0,0,0,0,0,0,0,0,0
"P141",28.9411904761905,0,28.938,28.931,28.986,28.972,28.931,0,28.931,28.931,28.931,28.931,0,28.931,28.924,28.924,0,28.924,28.931,28.931,28.925,28.931,28.924,28.925,28.924,28.924
"P142",29.05264,29.049,29.041,29.049,29.09,29.09,29.041,29.042,29.042,29.042,29.048,29.042,29.042,29.042,29.042,29.042,29.035,29.042,29.042,29.041,29.035,29.042,29.035,29.035,29.035,29.035
"P143",29.15916,29.152,29.152,29.152,29.193,29.193,29.145,29.152,29.152,29.145,29.152,29.145,29.152,29.145,29.152,29.152,29.145,29.145,29.145,29.145,29.145,29.145,29.145,29.145,29.145,29.145
"P144",29.266,29.262,29.255,29.262,29.304,29.303,29.255,29.255,29.255,29.255,29.255,29.255,29.255,29.249,29.255,29.255,29.255,29.255,29.255,29.255,29.249,29.249,29.248,29.256,29.248,29.255
"P145",29.343,0,0,0,0,0,0,29.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P146",29.43075,0,0,0,0,0,0,0,29.428,0,0,0,0,0,0,0,0,0,29.407,0,0,0,0,29.407,29.421,0
"P147",29.55072,29.545,29.565,29.545,29.579,29.593,29.552,29.538,29.566,29.531,29.545,29.552,29.531,29.531,29.531,29.531,29.538,29.545,29.538,29.531,29.531,29.531,29.531,29.531,29.531,29.531
"P148",29.654,0,0,29.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P149",29.801,0,29.793,29.8,0,29.841,29.793,0,29.793,0,29.786,29.786,0,29.786,0,0,0,29.786,0,0,0,0,0,0,0,0
"P150",29.939375,0,29.931,0,0,29.965,29.917,29.952,29.945,0,29.917,29.931,0,0,0,0,0,29.917,0,0,0,0,0,0,0,0
"P151",30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.055,0,0,0,0,0,0
