"SK","REF_RPL10","REF_RPL19","Des1","Des2","El1","El2"
3,9.65,"9.82",6.25,6.8,7.45,6.97
3,9.47,"9.61",6.18,6.64,7.16,6.79
3,9.42,"9.57",,6.6,7.08,6.77
4,13.27,"13.17",9.38,9.88,10.43,10.06
4,12.8,"13.12",9.32,9.9,10.57,10.08
4,12.72,"13.04",,9.78,10.43,10.01
5,16.09,"16.55",12.52,12.95,13.76,13.3
5,16.13,"16.62",12.5,13.05,13.83,13.4
5,16.45,"16.47",12.61,13,14.08,13.6
6,19.63,20,15.91,16.45,17.29,16.86
6,19.5,"19.98",15.81,16.27,17.15,16.77
6,19.57,"19.94",15.87,16.35,17.33,17.02
7,23.01,"23.39",19.08,19.58,20.61,20.22
7,23.02,"23.54",18.97,19.51,20.48,20.31
7,22.83,"23.31",19.15,19.52,20.71,20.58
8,26.3,"27.01",22.32,22.76,24,23.58
8,26.39,"27.15",22.34,22.66,24.01,23.71
8,26.26,,22.28,23.05,24.15,23.5
