#Peaks: + TIC Scan - DR_NM_080_1.D (DR_NM_080_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,8.686,383083.38,99048.84,,,0.207,0.055,,
2,13.127,2178573.45,774248.76,,,0.164,0.044,,
3,17.347,3777206.25,1360521.66,,,0.149,0.044,,
4,21.187,3681414.88,1276602.5,,,0.185,0.045,,
5,24.539,2848304.87,997474.75,,,0.181,0.045,,
6,25.8,367265.9,136125.62,,,0.088,0.044,,
7,27.531,2202742.04,746294.89,,,0.186,0.046,,
8,29.552,14070139.74,4584322.81,,,0.224,0.048,,
9,30.282,2043809.5,644097.59,,,0.179,0.05,,
10,31.282,608975.88,206265.49,,,0.147,0.045,,
11,32.517,7258106.53,2271551.85,,,0.131,0.047,,
12,32.627,4500578.2,1467658.34,,,0.159,0.046,,
13,32.82,2298911.06,648851.15,,,0.152,0.053,,
14,33.006,32989287.25,9190912.25,,,0.2,0.057,,
15,34.565,795199.09,254974.78,,,0.193,0.047,,
16,35.13,2066396.4,582782.36,,,0.193,0.055,,
17,35.723,6946064.68,1866183.11,,,0.172,0.051,,
18,35.84,5804480.03,1661784.18,,,0.179,0.049,,
19,36.157,26216930.11,7450681.55,,,0.234,0.055,,
20,37.323,5053774.92,1197884.02,,,0.297,0.059,,
21,37.612,679570.53,181917.51,,,0.228,0.052,,
22,38.702,3811340.04,1005477.1,,,0.166,0.055,,
23,38.812,4249585.13,1155791.61,,,0.165,0.053,,
24,39.074,15567841.28,4705558.23,,,0.234,0.049,,
25,39.378,2303059.18,539877.4,,,0.179,0.061,,
26,39.509,334663.87,58673.7,,,0.275,0.1,,
27,40.177,3542858.99,719051.49,,,0.29,0.058,,
28,41.294,1965828.68,435554.75,,,0.179,0.066,,
29,41.474,3033103.8,482182.75,,,0.303,0.068,,
30,41.791,3211463,862676.35,,,0.255,0.051,,
31,42.963,1613370.89,332921.12,,,0.2,0.067,,
32,43.094,2007728.6,381688.26,,,0.269,0.069,,
33,44.018,6573231.12,1736205.96,,,0.152,0.055,,
34,44.122,2380035.59,497481.51,,,0.186,0.076,,
35,44.349,2209218.45,511772.57,,,0.269,0.056,,
36,44.784,1213218.23,269532.43,,,0.284,0.063,,
37,45.528,7284436.22,1138870.53,,,0.365,0.078,,
38,46.232,477028.49,121737.84,,,0.149,0.06,,
39,46.376,1088798.08,256829.48,,,0.124,0.082,,
40,46.48,3476259.6,890379.85,,,0.117,0.06,,
41,46.597,6647678.9,1641777.85,,,0.172,0.055,,
42,46.742,716356.69,129279.18,,,0.166,0.094,,
43,47.252,471219.07,122915.17,,,0.138,0.057,,
44,47.9,4073255.89,505575.69,,,0.467,0.111,,
45,48.486,820095.15,235557.86,,,0.105,0.056,,
46,48.583,1000953.45,267464.1,,,0.131,0.058,,
47,48.824,1302114.08,301991.21,,,0.145,0.066,,
48,48.962,1256791.43,333143.42,,,0.103,0.081,,
49,49.031,1472523.76,293146.03,,,0.234,0.073,,
50,49.328,386419.73,84270.48,,,0.192,0.065,,
51,50.031,1390443.05,337027.58,,,0.152,0.064,,
52,50.169,3215627.86,681257.2,,,0.317,0.064,,
53,52.334,335887.93,59428.73,,,0.322,0.079,,

