#Peaks: + TIC Scan - DR_NM_184.D (DR_NM_184.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,18.871,844124.31,265532.15,,,0.165,0.045,,
2,19.561,1282868.37,484025.16,,,0.163,0.041,,
3,23.849,1945151.92,713170.38,,,0.144,0.042,,
4,27.752,2432662.75,838351.89,,,0.2,0.045,,
5,29.304,2457080.21,830721.76,,,0.241,0.042,,
6,29.614,21051435.41,6310319.99,,,0.241,0.053,,
7,30.29,3271137.57,727850.2,,,0.179,0.069,,
8,30.373,3629218.37,736016.75,,,0.269,0.063,,
9,31.331,2853229.8,962057.03,,,0.128,0.046,,
10,32.393,9174289.36,2915701.48,,,0.145,0.046,,
11,32.469,802741.43,335811.04,,,0.048,0.062,,
12,32.558,5199496.01,1559361.33,,,0.124,0.049,,
13,32.676,2350929.61,766225.12,,,0.131,0.047,,
14,33.048,25127250.86,7156149.03,,,0.193,0.055,,
15,34.62,3453830.03,1030010,,,0.221,0.049,,
16,35.765,4470013.38,1047638.4,,,0.183,0.052,,
17,35.882,2734995.31,738125.03,,,0.151,0.052,,
18,36.199,22630975.92,6633590.94,,,0.241,0.053,,
19,37.406,29757613.2,7676469.02,,,0.29,0.058,,
20,37.675,3931273.66,1005718,,,0.273,0.056,,
21,38.164,952123.44,251296.69,,,0.145,0.072,,
22,38.337,69097866.24,15298946.29,,,0.269,0.071,,
23,38.75,3780932.6,894183.14,,,0.152,0.063,,
24,38.861,4627199.27,984661.16,,,0.152,0.074,,
25,39.157,35319595.35,8782092.92,,,0.276,0.063,,
26,40.24,17839019.71,3790253.74,,,0.276,0.056,,
27,40.495,2869579.56,873742.77,,,0.182,0.05,,
28,41.522,3091088.01,750160.68,,,0.152,0.081,,
29,41.578,3489932.37,598965.14,,,0.2,0.1,,
30,41.867,20106507.68,5730229.11,,,0.241,0.051,,
31,42.957,6215960.4,1584262.09,,S,0.145,0.068,,
32,43.026,7011774.46,1884792.09,,,0.103,0.071,,
33,43.136,2772493.63,648836.64,,,0.255,0.076,,
34,43.888,1235981.97,265723.5,,,0.221,0.062,,
35,44.087,3543109.58,767332.5,,,0.172,0.074,,
36,44.177,3734177.81,950342.5,,,0.103,0.063,,
37,44.287,2759744.88,615838.5,,,0.11,0.078,,
38,44.398,5565345.88,1354026.4,,,0.262,0.056,,
39,44.846,1067567.52,293858.08,,,0.193,0.053,,
40,45.536,14819143.69,3555209.42,,S,0.166,0.07,,
41,45.598,16683043.6,3924578.62,,,0.248,0.073,,
42,46.528,2075070.07,495714.42,,,0.179,0.061,,
43,46.666,19567575.21,4277500.61,,,0.303,0.059,,
44,47.914,17417234.8,2184515.91,,,0.562,0.115,,
45,48.542,883951.28,252387.49,,,0.111,0.057,,
46,48.638,951680.58,254915.2,,,0.131,0.058,,
47,49.066,3479308.59,708515.24,,,0.283,0.072,,
48,50.266,6694166.51,682025.33,,,0.359,0.139,,
49,50.597,4174309.09,695939.84,,,0.338,0.077,,
50,51.341,3234423.72,539331.15,,,0.407,0.076,,
51,53.32,758031.57,48759.22,,,0.408,0.261,,
52,54.727,1552753.9,202853.54,,,0.476,0.109,,

