#Peaks: + TIC Scan - DR_QLH_005_1.D (DR_QLH_005_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.122,49494.69,7640.39,,,0.234,0.108,,
2,4.928,8914.4,3598.48,,,0.076,0.045,,
3,5.025,62657.87,12262.65,,,0.26,0.062,,
4,5.639,10829.2,2027.03,,,0.186,0.266,,
5,6.514,134108.27,19667.55,,,0.404,0.076,,
6,7.287,50022.31,11925.28,,,0.172,0.057,,
7,8.659,16825.03,4786.23,,,0.134,0.043,,
8,9.045,47711.52,11801.76,,,0.214,0.049,,
9,9.824,101976.07,28798.36,,,0.203,0.048,,
10,11.548,84095.08,23344.84,,,0.176,0.047,,
11,12.203,11336.38,3988.39,,,0.103,0.042,,
12,12.872,5617.23,1860.49,,,0.103,0.048,,
13,13.044,14926.46,4963.48,,,0.135,0.041,,
14,13.996,32196.09,10017.16,,,0.172,0.044,,
15,14.513,860.18,1123.93,,,0.028,0.018,,
16,14.706,10327.3,3706.57,,,0.103,0.045,,
17,14.954,6785.26,3006.59,,,0.076,0.039,,
18,15.168,2980.74,1295.14,,,0.095,0.044,,
19,16.051,6911.72,1687.73,,,0.152,0.47,,
20,16.658,29312.67,10519.8,,,0.118,0.041,,
21,16.94,5556.47,2309.33,,,0.083,0.041,,
22,17.119,594976.13,232301.09,,,0.152,0.04,,
23,17.25,36498.98,10397.33,,,0.142,0.073,,
24,17.526,3655.75,1372.84,,,0.097,0.042,,
25,18.092,2854.37,1449.79,,,0.069,0.146,,
26,18.947,4366.65,1550.67,,,0.083,0.059,,
27,19.416,38852.83,14636.5,,,0.101,0.041,,
28,20.147,4766.23,2029.37,,,0.09,0.037,,
29,20.615,3089.45,1926.56,,,0.062,0.023,,
30,20.96,255517.51,96331.27,,,0.115,0.041,,
31,21.112,798560.51,245121.13,,,0.172,0.048,,
32,21.243,9338.75,3219.41,,,0.102,0.043,,
33,21.464,15222.12,6509.19,,,0.079,0.039,,
34,21.622,2881843.36,1050595.45,,,0.209,0.043,,
35,22.008,344.06,832.06,,,0.014,0.085,,
36,22.146,12971.74,4519.12,,,0.11,0.044,,
37,22.553,5602.05,1781.67,,,0.124,0.309,,
38,23.001,3119.25,1499.05,,,0.067,0.043,,
39,23.187,7366.43,2343.38,,,0.102,0.047,,
40,23.705,71194.42,27233.06,,,0.117,0.041,,
41,24.049,4744.7,2297.96,,,0.079,0.032,,
42,24.436,11730.05,4380.01,,,0.09,0.043,,
43,25.049,126176.78,45262.12,,,0.123,0.043,,
44,25.187,1014418.2,285687.28,,,0.248,0.053,,
45,25.573,30031.67,12221.3,,,0.096,0.04,,
46,25.711,5906320.42,2085537.32,,,0.2,0.044,,
47,26.104,23158.97,10020.98,,,0.087,0.036,,
48,26.249,8385.49,3509.49,,,0.072,0.049,,
49,26.939,75835.93,24959.47,,,0.155,0.044,,
50,27.097,23171.41,7967.67,,,0.117,0.041,,
51,27.6,137223.31,50535.49,,,0.138,0.042,,
52,27.994,9877.94,4427.41,,,0.088,0.037,,
53,28.697,16582.73,5783.87,,,0.097,0.048,,
54,28.828,86787.85,32066.22,,,0.103,0.042,,
55,28.938,775213.02,226456.56,,,0.145,0.053,,
56,29.035,32126.18,9754.23,,,0.083,0.068,,
57,29.152,129725.89,38119.4,,,0.179,0.046,,
58,29.317,32017.94,10849.33,,,0.083,0.054,,
59,29.448,8058888.89,2745382.29,,,0.221,0.046,,
60,29.69,8684.09,3816.18,,,0.094,0.032,,
61,29.835,3135.33,1927.61,,,0.066,0.028,,
62,30.062,27011.18,11062.67,,,0.077,0.043,,
63,30.179,203024.83,57469.03,,,0.208,0.049,,
64,30.586,24265.48,6989.4,,,0.097,0.063,,
65,30.697,42491.72,11354.26,,,0.131,0.06,,
66,31.069,27542.07,9871.35,,,0.083,0.048,,
