#Peaks: + TIC Scan - DR_QLH_010_1.D (DR_QLH_010_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.122,34862.22,6210.5,,,0.202,0.113,,
2,5.018,54124.29,11328.93,,,0.219,0.062,,
3,6.535,14501.04,2838,,,0.207,0.49,,
4,7.287,76342.52,19739.06,,,0.228,0.052,,
5,8.652,14101.38,2883.15,,,0.141,0.092,,
6,9.038,27106.15,5767,,,0.193,0.062,,
7,9.824,114106.59,31485.85,,,0.193,0.051,,
8,11.541,68429.34,18333.18,,,0.216,0.048,,
9,12.203,6404.68,2865.77,,,0.084,0.035,,
10,13.037,18495.68,5790.71,,,0.143,0.052,,
11,13.996,27759.82,7608.12,,,0.209,0.047,,
12,14.527,2287.54,1545.34,,,0.062,0.382,,
13,14.706,8422.06,4293.39,,,0.075,0.029,,
14,14.954,9778.08,4441.41,,,0.084,0.033,,
15,16.651,11923.32,4439.03,,,0.108,0.045,,
16,16.954,2486.65,1574.01,,,0.059,0.034,,
17,17.119,141996.36,55658.81,,,0.116,0.04,,
18,17.25,40483.77,13527.44,,,0.147,0.043,,
19,18.078,5250.87,1741.52,,,0.124,0.056,,
20,19.409,12093.59,5207.44,,,0.088,0.032,,
21,19.719,5232.69,1921.86,,,0.09,0.044,,
22,20.153,7964.29,3197.06,,,0.094,0.04,,
23,20.533,9361.31,3959.44,,,0.07,0.036,,
24,20.615,14652.7,6262.92,,,0.07,0.041,,
25,20.96,84181.01,33523.52,,,0.104,0.041,,
26,21.112,339784,106489.04,,,0.168,0.048,,
27,21.464,5015.81,2046.1,,,0.076,0.04,,
28,21.615,491100.32,183133.72,,,0.146,0.042,,
29,23.16,9487.78,3467.24,,,0.123,0.044,,
30,23.705,23615.19,7728.43,,,0.117,0.047,,
31,23.967,34962.75,13771.18,,,0.086,0.041,,
32,24.056,13637.93,5256.52,,,0.09,0.046,,
33,24.435,17738.81,6334.32,,,0.093,0.046,,
34,25.056,42475.89,16324.98,,,0.1,0.04,,
35,25.18,287503.8,85780.99,,,0.174,0.05,,
36,25.339,5291.11,2454.92,,,0.069,0.041,,
37,25.566,7847.49,2739.26,,,0.097,0.045,,
38,25.697,1276185.98,451236.78,,,0.234,0.043,,
