#Peaks: + TIC Scan - DR_QLH_051_1.D (DR_QLH_051_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.108,17041.25,3497.32,,,0.158,0.117,,
2,4.936,35597.92,10196.88,,,0.109,0.059,,
3,5.018,45287.04,9634.26,,,0.2,0.068,,
4,6.508,39760.95,7273.17,,,0.249,0.071,,
5,7.287,80485.51,20302.93,,,0.217,0.049,,
6,8.611,169656.86,42139.17,,,0.21,0.06,,
7,9.052,21537.76,5364.3,,,0.156,0.06,,
8,9.631,10799.25,3564.06,,,0.09,0.047,,
9,9.817,60477.05,17683.06,,,0.202,0.048,,
10,11.534,24502.34,6397.8,,,0.159,0.054,,
11,11.686,3605.21,1944.45,,,0.062,0.08,,
12,12.196,21068.87,7488.19,,,0.1,0.048,,
13,12.417,6295.77,2058.35,,,0.117,0.051,,
14,12.865,8951.79,3734.54,,,0.09,0.04,,
15,13.038,509171.78,183735.43,,,0.181,0.043,,
16,13.279,13912.86,4652.43,,,0.131,0.038,,
17,13.996,17989.2,4526.35,,,0.159,0.045,,
18,14.513,3921.65,1681.51,,,0.069,0.411,,
19,14.706,20172.49,7687.12,,,0.087,0.047,,
20,14.955,14065.68,4703.46,,,0.103,0.046,,
21,16.113,8129.91,3206.02,,,0.117,0.036,,
22,16.665,12797.7,3045.65,,,0.124,0.081,,
23,16.927,2130,1275.73,,,0.054,0.033,,
24,17.023,1833,1214.29,,,0.049,0.033,,
25,17.113,206977,80782.44,,,0.116,0.04,,
26,17.251,245545.28,89316.35,,,0.116,0.043,,
27,18.085,6067.12,2183.15,,,0.069,0.049,,
28,18.685,5231.85,1908.68,,,0.075,0.054,,
29,18.754,3117.01,1853.42,,,0.055,0.021,,
30,18.94,8443.57,3399.52,,,0.081,0.041,,
31,19.416,35560.23,14154.23,,,0.1,0.039,,
32,19.719,6139.33,1937.43,,,0.11,0.218,,
33,20.154,1369.02,1176.31,,,0.041,0.4,,
34,20.96,442790.69,167791.71,,,0.123,0.041,,
35,21.112,1349791.33,391398.34,,,0.193,0.052,,
36,21.257,9680.2,3374.04,,,0.083,0.045,,
37,21.457,6307.53,3046.88,,,0.062,0.037,,
38,21.615,1051513.98,399326.87,,,0.156,0.041,,
39,22.967,16161.25,3287.06,,,0.185,0.146,,
40,23.188,21582.57,5919.06,,,0.145,0.053,,
41,23.705,45358.27,16674.01,,,0.126,0.042,,
42,23.967,12864.13,5570.37,,,0.088,0.037,,
43,24.056,7622.64,3137.4,,,0.083,0.042,,
44,24.436,23778.8,8754.53,,,0.102,0.042,,
45,25.056,148721.44,54901.79,,,0.121,0.042,,
46,25.18,1312563.59,404025.64,,,0.193,0.049,,
47,25.58,7952.61,3817.28,,,0.064,0.038,,
48,25.698,1909513.42,673846.13,,,0.207,0.044,,
49,26.097,145685.21,55498.07,,,0.117,0.042,,
50,26.242,2920.02,1425.74,,,0.055,0.036,,
51,26.539,5315.24,2119.67,,,0.09,0.038,,
52,26.711,3665.92,2010.67,,,0.056,0.045,,
53,26.952,188525.05,68919.52,,,0.135,0.041,,
54,27.097,19466.98,7010.26,,,0.103,0.043,,
55,27.428,12662.65,4308.52,,,0.09,0.049,,
56,27.601,68043.94,24485.33,,,0.124,0.041,,
57,27.994,17706.92,6075.96,,,0.11,0.041,,
58,28.69,16747.13,6113.69,,,0.094,0.046,,
59,28.828,69517.08,23839.82,,,0.117,0.044,,
60,28.938,601759.99,186022.22,,,0.152,0.05,,
61,29.035,17097.19,6731.58,,,0.069,0.066,,
62,29.145,58290.18,20919.01,,,0.13,0.042,,
63,29.428,2832729.87,988247.48,,,0.195,0.045,,
64,29.828,5525.28,2384.97,,,0.088,0.036,,
65,30.055,5740.82,2988.42,,,0.054,0.031,,
66,30.159,79350.04,17530.85,,,0.233,0.067,,
67,30.579,43387.78,14881.57,,,0.09,0.113,,
68,30.697,59963.19,11530.37,,,0.156,0.1,,
69,30.979,17496.64,6921.87,,,0.082,0.039,,
70,31.172,295114.14,97740.75,,,0.142,0.047,,
71,31.607,69276.36,24033.99,,,0.122,0.045,,
72,31.972,15491.08,5441.4,,,0.09,0.044,,
73,32.234,8769793.84,2910255.67,,,0.138,0.046,,
74,32.317,685813.82,223442,,,0.062,0.069,,
75,32.4,1868070.85,514539.89,,,0.131,0.052,,
76,32.517,182639.65,62455.99,,,0.097,0.048,,
77,32.662,44412.56,11060.83,,,0.117,0.064,,
78,32.883,14009780.81,4391448.1,,,0.2,0.049,,
79,33.014,28936.97,10513.33,,,0.08,0.045,,
80,33.303,59267.08,21990.11,,,0.096,0.043,,
81,33.434,117801.74,32063.49,,,0.186,0.056,,
82,33.855,17405.52,6723.63,,,0.097,0.039,,
83,34.027,111836.34,20916.25,,,0.264,0.08,,
84,34.462,921233.31,309617.53,,,0.199,0.047,,
85,34.924,45606.77,16657.35,,,0.098,0.043,,
86,35.027,17489.9,5256.37,,,0.112,0.067,,
87,35.241,81822.37,24595.17,,,0.126,0.054,,
88,35.606,3565206.73,766567.62,,,0.221,0.052,,
89,35.723,487985.23,160722.47,,,0.127,0.057,,
90,36.068,30110620.84,7664757.11,,,0.255,0.062,,
91,36.523,849572.32,198627.68,,,0.25,0.064,,
92,36.778,84050.78,29495.62,,,0.105,0.045,,
93,37.116,134192.38,25397.16,,,0.193,0.115,,
94,37.261,231893.06,30238.34,,,0.2,0.137,,
95,37.509,3424336.05,1099093.27,,,0.214,0.048,,
96,37.985,176710.07,48105.23,,,0.175,0.054,,
97,38.171,75531.23,23446.92,,,0.142,0.046,,
98,38.585,3256972.83,674972.4,,,0.2,0.067,,
99,38.675,2294516.4,507512.71,,,0.179,0.089,,
100,39.082,89086644.17,15329113.41,,,0.345,0.095,,
101,39.219,257876.46,71892.99,,,0.137,0.073,,
