#Peaks: + TIC Scan - DR_QLH_045_1.D (DR_QLH_045_1.D)
#
Peak,Center X,Area,Height,Type,Saturated,Width,FWHM,SNR
1,4.942,26994.92,8249.69,,,0.095,0.057,,
2,5.011,91455.07,18302.7,,,0.255,0.068,,
3,6.507,140146.6,25452.74,,,0.293,0.071,,
4,7.031,5903.15,1885.32,,,0.104,0.055,,
5,7.28,172897.65,37852.01,,,0.29,0.056,,
6,8.617,182381.89,43412.7,,,0.199,0.064,,
7,9.045,64599.97,15660.09,,,0.233,0.053,,
8,9.638,6590.29,2570.72,,,0.087,0.04,,
9,9.817,141698.22,40625.55,,,0.198,0.047,,
10,9.996,5204.14,1690.66,,,0.076,0.061,,
11,11.541,89104.1,21057.17,,,0.22,0.053,,
12,12.203,18044.46,6830.92,,,0.09,0.043,,
13,12.417,7148.79,3044.5,,,0.097,0.165,,
14,12.851,8719.58,2868.45,,,0.097,0.048,,
15,13.037,600993.71,214164.18,,,0.177,0.044,,
16,13.272,8443.4,1870.26,,,0.141,0.094,,
17,13.989,47210.84,14093.88,,,0.175,0.043,,
18,14.513,3684.93,2282.45,,,0.057,0.039,,
19,14.706,24004.82,9734.31,,,0.117,0.037,,
20,14.947,17366.42,7039.5,,,0.089,0.039,,
21,16.113,20312.2,6537.87,,,0.138,0.039,,
22,16.664,7352.72,2234.69,,,0.095,0.072,,
23,16.94,4932.45,2331.32,,,0.062,0.152,,
24,17.016,4663.8,2185.08,,,0.069,0.049,,
25,17.113,133665.52,52395.44,,,0.113,0.04,,
26,17.25,291325.02,105658.11,,,0.134,0.044,,
27,17.388,2764.76,1725.3,,,0.062,0.02,,
28,18.064,6275.27,2318.52,,,0.082,0.043,,
29,18.333,3776.17,1551.86,,,0.072,0.046,,
30,18.671,14911.55,4458.07,,,0.157,0.039,,
31,18.947,5232.86,2619.01,,,0.093,0.034,,
32,19.25,3810.21,1907.03,,,0.062,0.037,,
33,19.416,26920.2,10656.81,,,0.1,0.039,,
34,19.726,10390.74,4451.01,,,0.076,0.039,,
35,20.14,5069.27,2743.74,,,0.069,0.033,,
36,20.54,11077.32,4971.13,,,0.078,0.035,,
37,20.609,14240.9,6421.27,,,0.069,0.038,,
38,20.96,375895.75,142385.67,,,0.123,0.042,,
39,21.112,1119028.87,326957.37,,,0.193,0.051,,
40,21.236,6443.47,2366.21,,,0.075,0.043,,
41,21.457,6294.28,2640.05,,,0.075,0.038,,
42,21.615,864156.67,330621.65,,,0.14,0.041,,
43,21.726,3203.91,1379.77,,,0.063,0.043,,
44,21.939,10334,3877.7,,,0.083,0.044,,
45,22.974,26466.22,7127.53,,,0.164,0.037,,
46,23.18,26578.56,6335.8,,,0.152,0.075,,
47,23.711,54243.15,16634.6,,,0.135,0.05,,
48,23.96,32483.63,13290.28,,,0.089,0.04,,
49,24.049,33819.91,13085.4,,,0.096,0.042,,
50,24.277,7290.96,3415.04,,,0.073,0.032,,
51,24.442,25443.06,9622.61,,,0.093,0.043,,
52,24.815,7247.86,3200.99,,,0.069,0.037,,
53,25.056,254871.08,92049.99,,,0.131,0.043,,
54,25.187,2274506.15,732120.56,,,0.2,0.047,,
55,25.559,12998.91,5222.75,,,0.073,0.04,,
56,25.704,3055584.87,1112111.84,,,0.2,0.043,,
57,26.097,116293.54,43354.89,,,0.132,0.041,,
58,26.532,25344,7740.52,,,0.117,0.053,,
59,26.697,2082.5,1499.91,,,0.045,0.022,,
60,26.959,336101.56,104802.11,,,0.157,0.045,,
61,27.09,57853.39,17220.01,,,0.128,0.05,,
62,27.428,15576.13,5136.08,,,0.121,0.041,,
63,27.6,175779.23,67401.37,,,0.124,0.04,,
64,27.993,44174.56,15949.66,,,0.11,0.044,,
65,28.518,25946.79,7821.92,,,0.114,0.055,,
66,28.69,65499.4,20955.67,,,0.103,0.05,,
67,28.828,367817.86,124286.61,,,0.124,0.045,,
68,28.938,2487970.64,782133.77,,,0.138,0.049,,
69,29.042,101287.94,32989.23,,,0.09,0.049,,
70,29.152,259173.78,71516.37,,,0.172,0.047,,
71,29.331,38025.91,11956.52,,,0.083,0.065,,
72,29.442,7147468.89,2407520.66,,,0.159,0.047,,
73,29.531,52161.41,14606.73,,,0.145,0.064,,
74,29.835,20878.19,6511.6,,,0.117,0.049,,
75,30.069,15717.25,6507.14,,,0.077,0.037,,
76,30.172,290387.82,68490.23,,,0.234,0.056,,
77,30.455,23517.77,7713.42,,,0.1,0.041,,
78,30.593,93531.12,28852.17,,,0.095,0.051,,
79,30.703,176567.34,43609.76,,,0.145,0.062,,
80,30.841,30415.49,8807.36,,,0.1,0.055,,
81,31.062,31314.76,12381.53,,,0.072,0.042,,
82,31.172,763456.6,258743.37,,,0.143,0.046,,
83,31.42,8368.5,2816,,,0.091,0.064,,
84,31.6,144216.95,51115.58,,,0.119,0.044,,
85,31.986,155783.36,53289,,,0.124,0.045,,
86,32.262,18893455.11,5615044,,,0.152,0.052,,
87,32.331,2848802.11,986764,,,0.062,0.062,,
88,32.42,7912485.55,1962513,,,0.131,0.061,,
89,32.524,966332.09,307687,,,0.117,0.059,,
90,32.662,256264.32,55710,,,0.11,0.11,,
91,32.917,28169015.32,7465309.47,,,0.207,0.06,,
92,33.034,180307.52,49528.92,,,0.172,0.05,,
93,33.303,154236.11,54676.17,,,0.11,0.045,,
94,33.441,217538.82,53487.93,,,0.205,0.059,,
95,33.848,12357.71,5173.47,,,0.073,0.037,,
96,34.034,618012.22,105894.77,,,0.219,0.089,,
97,34.144,133680.33,28744.5,,,0.145,0.09,,
98,34.461,1845946.37,624188.99,,,0.255,0.045,,
99,34.779,19470.27,7572.84,,,0.087,0.043,,
100,34.923,120906.96,40720.9,,,0.118,0.046,,
101,35.034,33679.06,9594.09,,,0.101,0.06,,
102,35.22,270826.33,67579.15,,,0.145,0.067,,
103,35.551,2843505.92,968634.63,,,0.11,0.055,,
104,35.634,10923589.94,3170030.95,,,0.097,0.055,,
105,35.682,3866464.57,934708.56,,,0.179,0.074,,
106,36.116,56298456.73,12314101.34,,,0.283,0.073,,
107,36.516,1288620.68,297209.5,,,0.185,0.07,,
108,36.785,93043.34,34007.92,,,0.102,0.045,,
109,37.13,587405.67,139271.86,,,0.159,0.066,,
110,37.213,1255581.05,227335.19,,,0.234,0.08,,
111,37.516,6062448.24,1900039.99,,,0.262,0.049,,
112,37.875,6360.01,3310.64,,,0.07,0.033,,
113,37.992,236459.58,61079.4,,,0.193,0.052,,
114,38.281,329329.68,65732,,,0.177,0.06,,
115,38.612,14785889.4,3082326.45,,,0.2,0.069,,
116,38.695,7510155.54,1723308.82,,,0.165,0.074,,
117,39.136,141716633.01,19562102.08,,,0.407,0.115,,
118,39.24,421230.37,109218.28,,,0.131,0.067,,
119,39.433,4306367.83,1085510.47,,,0.248,0.054,,
120,39.674,118868.78,25578.95,,,0.117,0.086,,
121,39.819,298474,52435.84,,,0.166,0.1,,
122,40.081,3303531.93,529686.15,,,0.338,0.076,,
123,40.343,4752181.29,1392843.45,,,0.297,0.05,,
124,40.757,712150.2,202639.3,,,0.186,0.05,,
