"Samples" "RG1" "RG2" "TG" "TGb"
"1" "Control 1" 19.62 18.54 26.32 16.32
"2" "Control 1" 19.32 18.35 26.12 16.48
"3" "Control 1" 19.48 18.49 26.24 16.68
"4" "Control 2" 19.63 18.63 26.08 16.75
"5" "Control 2" 19.4 18.72 26.12 16.98
"6" "Control 2" 19.35 18.51 26.23 16.89
"7" "Treatment 1" 19.21 18.45 20.32 17.12
"8" "Treatment 1" 19.32 18.49 20.15 17.23
"9" "Treatment 1" 19.09 18.66 20.26 17.33
"10" "Treatment 2" 19.63 18.75 17.65 16.65
"11" "Treatment 2" 19.46 18.69 17.75 16.54
"12" "Treatment 2" 19.51 18.92 17.6 16.4
"13" "Calibrator" 19.88 18.91 26.69 16.69
"14" "Calibrator" 19.78 18.72 26.49 16.85
"15" "Calibrator" 19.85 18.86 26.63 17.05
